,,Type,Bill ID Count Trend line
Dec 2024,329,Actual,385.4755
Jan 2025,369,Actual,380.8529
Feb 2025,425,Actual,376.2303
Mar 2025,401,Actual,372.0551
Apr 2025,348,Actual,367.4326
May 2025,374,Actual,362.9591
Jun 2025,355,Actual,358.3366
Jul 2025,393,Actual,353.8631
Aug 2025,363,Actual,349.2405
Sep 2025,353,Actual,344.618
Oct 2025,281,Actual,340.1445
Nov 2025,336,Forecast,335.522
Dec 2025,331,Forecast,331.0485
Jan 2026,327,Forecast,326.426
Feb 2026,322,Forecast,321.8034
Mar 2026,317,Forecast,317.6282
