Payment ID,Payment Number,Payment Date,Customer ID,Amount (BCY),Unused Amount (BCY),Created Time,Exchange Rate,Refund Amount (BCY),Currency Code,Last Modified Time
4198696000000568070,3,19 Sep 2023,4198696000000560005,CRC 100.00,CRC 0.00,2023-09-19 11:54:39,1.00,CRC 0.00,CRC,2023-09-19 11:54:39
4198696000000941053,4,01 Nov 2023,4198696000000917003,"CRC 5,000.00",CRC 0.00,2023-11-01 13:19:25,1.00,CRC 0.00,CRC,2023-11-01 14:17:14
4198696000000955003,5,02 Nov 2023,4198696000000945005,"CRC 20,400.00",CRC 0.00,2023-11-02 10:23:45,1.00,CRC 0.00,CRC,2023-11-03 13:08:44
4198696000000981021,6,03 Nov 2023,4198696000000917003,CRC 200.00,CRC 0.00,2023-11-03 11:24:57,1.00,CRC 0.00,CRC,2023-11-03 14:07:45
4198696000000981049,7,03 Nov 2023,4198696000000917003,CRC 200.00,CRC 0.00,2023-11-03 11:33:45,1.00,CRC 0.00,CRC,2023-11-03 13:07:54
4198696000000981077,8,03 Nov 2023,4198696000000705978,"CRC 1,595.00",CRC 0.00,2023-11-03 11:38:39,1.00,CRC 0.00,CRC,2023-11-09 15:17:53
4198696000000981103,9,03 Nov 2023,4198696000000633023,"CRC 3,384.45",CRC 0.00,2023-11-03 11:38:57,1.00,CRC 0.00,CRC,2023-11-09 15:19:13
4198696000000981153,10,03 Nov 2023,4198696000000917003,"CRC 39,000.00",CRC 0.00,2023-11-03 12:16:08,1.00,CRC 0.00,CRC,2023-11-03 13:00:45
4198696000000981241,11,03 Nov 2023,4198696000000917003,"CRC 13,800.00",CRC 0.00,2023-11-03 14:07:07,1.00,CRC 0.00,CRC,2023-11-03 14:07:07
4198696000001024581,12,06 Nov 2023,4198696000000917003,"CRC 13,200.00",CRC 0.00,2023-11-06 13:44:28,1.00,CRC 0.00,CRC,2023-11-06 14:45:08
4198696000001067068,13,07 Nov 2023,4198696000001068069,"CRC 9,600.00",CRC 0.00,2023-11-07 13:47:30,1.00,CRC 0.00,CRC,2023-11-09 15:21:48
4198696000001067126,14,08 Nov 2023,4198696000001067094,"CRC 139,900.00",CRC 0.00,2023-11-08 13:31:37,1.00,CRC 0.00,CRC,2023-11-08 13:31:37
4198696000001067156,15,08 Nov 2023,4198696000001067094,"CRC 15,900.00",CRC 0.00,2023-11-08 15:21:59,1.00,CRC 0.00,CRC,2023-11-08 15:21:59
4198696000001067208,16,08 Nov 2023,4198696000000917003,"CRC 23,000.00",CRC 0.00,2023-11-08 16:44:02,1.00,CRC 0.00,CRC,2023-11-08 16:44:02
4198696000001128003,17,09 Nov 2023,4198696000000917003,"CRC 40,300.00",CRC 0.00,2023-11-09 14:32:33,1.00,CRC 0.00,CRC,2023-11-09 14:32:33
4198696000001128039,18,09 Nov 2023,4198696000000917003,"CRC 41,000.00",CRC 0.00,2023-11-09 16:32:44,1.00,CRC 0.00,CRC,2023-11-09 16:32:44
4198696000001128069,19,09 Nov 2023,4198696000001120099,"CRC 18,400.00",CRC 0.00,2023-11-09 16:53:49,1.00,CRC 0.00,CRC,2023-11-09 16:53:49
4198696000001128097,20,09 Nov 2023,4198696000000917003,"CRC 13,700.00",CRC 0.00,2023-11-09 17:12:52,1.00,CRC 0.00,CRC,2023-11-09 17:12:52
4198696000001142003,21,10 Nov 2023,4198696000001138001,"CRC 14,300.00",CRC 0.00,2023-11-10 09:34:17,1.00,CRC 0.00,CRC,2023-11-10 09:34:17
4198696000001142031,22,10 Nov 2023,4198696000001067094,"CRC 2,400.00",CRC 0.00,2023-11-10 10:15:08,1.00,CRC 0.00,CRC,2023-11-10 10:15:08
4198696000001142057,23,10 Nov 2023,4198696000000917003,"CRC 1,200.00",CRC 0.00,2023-11-10 13:58:12,1.00,CRC 0.00,CRC,2023-11-10 13:58:12
4198696000001142085,24,10 Nov 2023,4198696000000917003,"CRC 3,200.00",CRC 0.00,2023-11-10 13:58:54,1.00,CRC 0.00,CRC,2023-11-10 13:58:54
4198696000001163003,25,11 Nov 2023,4198696000000927001,"CRC 75,600.00",CRC 0.00,2023-11-11 12:16:34,1.00,CRC 0.00,CRC,2023-11-11 12:16:34
4198696000001163029,26,11 Nov 2023,4198696000000917003,"CRC 18,000.00",CRC 0.00,2023-11-11 12:21:31,1.00,CRC 0.00,CRC,2023-11-11 12:21:31
4198696000001163103,27,14 Nov 2023,4198696000001176001,"CRC 79,100.00",CRC 0.00,2023-11-14 10:43:14,1.00,CRC 0.00,CRC,2023-11-14 10:43:14
4198696000001201003,28,14 Nov 2023,4198696000001176001,"CRC 37,400.00",CRC 0.00,2023-11-14 16:50:09,1.00,CRC 0.00,CRC,2023-11-14 16:50:09
4198696000001201097,29,14 Nov 2023,4198696000001122115,CRC 130.00,CRC 0.00,2023-11-14 17:12:19,1.00,CRC 0.00,CRC,2023-11-14 17:12:19
4198696000001201357,30,15 Nov 2023,4198696000001201253,"CRC 31,200.00",CRC 0.00,2023-11-15 11:32:59,1.00,CRC 0.00,CRC,2023-11-15 14:06:47
4198696000001201580,31,15 Nov 2023,4198696000000917003,"CRC 27,700.00",CRC 0.00,2023-11-15 13:35:07,1.00,CRC 0.00,CRC,2023-11-15 13:35:07
4198696000001201632,39,15 Nov 2023,4198696000000917003,"CRC 15,000.00",CRC 0.00,2023-11-15 14:01:44,1.00,CRC 0.00,CRC,2023-11-15 14:01:44
4198696000001201729,40,15 Nov 2023,4198696000000917003,"CRC 9,600.00",CRC 0.00,2023-11-15 16:40:49,1.00,CRC 0.00,CRC,2023-11-15 16:40:49
4198696000001211334,32,15 Nov 2023,4198696000001122149,"CRC 32,349.93",CRC 0.00,2023-11-15 13:40:45,1.00,CRC 0.00,CRC,2023-11-15 13:40:45
4198696000001211360,33,15 Nov 2023,4198696000000633001,"CRC 46,947.22",CRC 0.00,2023-11-15 13:44:14,1.00,CRC 0.00,CRC,2023-11-15 13:44:14
4198696000001211386,34,15 Nov 2023,4198696000000633023,"CRC 55,412.89",CRC 0.00,2023-11-15 13:44:46,1.00,CRC 0.00,CRC,2023-11-15 13:44:46
4198696000001211462,35,15 Nov 2023,4198696000001122213,"CRC 5,994.83",CRC 0.00,2023-11-15 13:45:45,1.00,CRC 0.00,CRC,2023-11-15 13:45:45
4198696000001211488,36,15 Nov 2023,4198696000001122115,"CRC 20,000.00",CRC 0.00,2023-11-15 13:46:23,1.00,CRC 0.00,CRC,2023-11-15 13:46:23
4198696000001211514,37,15 Nov 2023,4198696000001122169,"CRC 13,908.83",CRC 0.00,2023-11-15 13:47:10,1.00,CRC 0.00,CRC,2023-11-15 13:47:10
4198696000001211540,38,15 Nov 2023,4198696000000705978,"CRC 4,262.37",CRC 0.00,2023-11-15 13:47:33,1.00,CRC 0.00,CRC,2023-11-15 13:47:33
4198696000001227027,41,16 Nov 2023,4198696000000917003,"CRC 3,300.00",CRC 0.00,2023-11-16 10:26:17,1.00,CRC 0.00,CRC,2023-11-16 10:26:17
4198696000001237003,42,16 Nov 2023,4198696000001067094,"CRC 22,300.00",CRC 0.00,2023-11-16 12:59:37,1.00,CRC 0.00,CRC,2023-11-16 12:59:37
4198696000001237059,43,16 Nov 2023,4198696000000910994,"CRC 3,000.00",CRC 0.00,2023-11-16 16:30:24,1.00,CRC 0.00,CRC,2023-11-16 16:30:24
4198696000001237087,44,16 Nov 2023,4198696000001243016,"CRC 6,117.48",CRC 0.00,2023-11-16 17:30:28,1.00,CRC 0.00,CRC,2023-11-16 17:30:28
4198696000001237115,45,16 Nov 2023,4198696000001197199,"CRC 24,800.00",CRC 0.00,2023-11-16 17:48:05,1.00,CRC 0.00,CRC,2023-11-16 17:48:05
4198696000001258003,46,16 Nov 2023,4198696000000910994,"CRC 7,600.00",CRC 0.00,2023-11-17 09:13:03,1.00,CRC 0.00,CRC,2023-11-17 09:13:36
4198696000001258332,47,17 Nov 2023,4198696000000917003,"CRC 59,000.00",CRC 0.00,2023-11-17 11:11:07,1.00,CRC 0.00,CRC,2023-11-17 11:11:07
4198696000001273003,48,17 Nov 2023,4198696000001257097,"CRC 56,400.00",CRC 0.00,2023-11-17 12:20:04,1.00,CRC 0.00,CRC,2023-11-17 12:20:04
4198696000001273029,49,17 Nov 2023,4198696000000917003,"CRC 10,500.00",CRC 0.00,2023-11-17 15:11:22,1.00,CRC 0.00,CRC,2023-11-17 15:11:22
4198696000001289106,50,18 Nov 2023,4198696000000917003,"CRC 9,500.00",CRC 0.00,2023-11-18 12:49:32,1.00,CRC 0.00,CRC,2023-11-18 12:49:32
4198696000001304005,51,20 Nov 2023,4198696000000917003,"CRC 10,600.00",CRC 0.00,2023-11-20 11:10:32,1.00,CRC 0.00,CRC,2023-11-20 11:10:32
4198696000001304441,52,20 Nov 2023,4198696000000917003,CRC 900.00,CRC 0.00,2023-11-20 13:09:17,1.00,CRC 0.00,CRC,2023-11-20 13:09:17
4198696000001317001,53,20 Nov 2023,4198696000000917003,"CRC 12,200.00",CRC 0.00,2023-11-20 13:33:46,1.00,CRC 0.00,CRC,2023-11-20 13:33:46
4198696000001317029,54,20 Nov 2023,4198696000000917003,"CRC 9,200.00",CRC 0.00,2023-11-20 13:40:34,1.00,CRC 0.00,CRC,2023-11-20 13:40:34
4198696000001324485,55,20 Nov 2023,4198696000001329001,"CRC 17,000.00",CRC 0.00,2023-11-20 15:46:54,1.00,CRC 0.00,CRC,2023-11-20 15:50:15
4198696000001340008,56,21 Nov 2023,4198696000000917003,"CRC 9,200.00",CRC 0.00,2023-11-21 13:25:06,1.00,CRC 0.00,CRC,2023-11-21 13:25:06
4198696000001340105,57,21 Nov 2023,4198696000001340036,"CRC 56,000.00",CRC 0.00,2023-11-21 13:55:09,1.00,CRC 0.00,CRC,2023-11-21 13:55:09
4198696000001340493,58,21 Nov 2023,4198696000000917003,"CRC 31,800.00",CRC 0.00,2023-11-21 15:34:11,1.00,CRC 0.00,CRC,2023-11-21 15:34:11
4198696000001353504,59,22 Nov 2023,4198696000000917003,"CRC 9,300.00",CRC 0.00,2023-11-22 12:47:05,1.00,CRC 0.00,CRC,2023-11-22 12:47:05
4198696000001353542,60,22 Nov 2023,4198696000000917003,"CRC 10,500.00",CRC 0.00,2023-11-22 12:56:12,1.00,CRC 0.00,CRC,2023-11-22 12:56:12
4198696000001353574,61,22 Nov 2023,4198696000000917003,"CRC 38,400.00",CRC 0.00,2023-11-22 12:59:47,1.00,CRC 0.00,CRC,2023-11-22 12:59:47
4198696000001353602,62,22 Nov 2023,4198696000000917003,"CRC 17,500.00",CRC 0.00,2023-11-22 13:06:41,1.00,CRC 0.00,CRC,2023-11-22 13:06:41
4198696000001353650,63,22 Nov 2023,4198696000001358134,"CRC 35,700.00",CRC 0.00,2023-11-22 13:28:22,1.00,CRC 0.00,CRC,2023-11-22 14:56:57
4198696000001353676,64,22 Nov 2023,4198696000000917003,"CRC 6,100.00",CRC 0.00,2023-11-22 13:38:00,1.00,CRC 0.00,CRC,2023-11-22 13:38:00
4198696000001353702,65,22 Nov 2023,4198696000000917003,"CRC 6,100.00",CRC 0.00,2023-11-22 13:44:27,1.00,CRC 0.00,CRC,2023-11-22 13:44:27
4198696000001353796,66,22 Nov 2023,4198696000001201253,"CRC 162,900.00",CRC 0.00,2023-11-22 14:55:26,1.00,CRC 0.00,CRC,2023-11-22 14:55:26
4198696000001353850,67,22 Nov 2023,4198696000001358326,"CRC 3,325.00",CRC 0.00,2023-11-22 15:08:37,1.00,CRC 0.00,CRC,2023-11-22 15:08:37
