,,Type,Total Total (BCY) Trend line
Dec 2024,"CRC 37,318.85K",Actual,"CRC 39,692.80K"
Jan 2025,"CRC 40,098.41K",Actual,"CRC 37,301.29K"
Feb 2025,"CRC 34,512.09K",Actual,"CRC 36,018.70K"
Mar 2025,"CRC 42,013.37K",Actual,"CRC 35,684.46K"
Apr 2025,"CRC 34,452.35K",Actual,"CRC 36,084.18K"
May 2025,"CRC 33,184.57K",Actual,"CRC 37,099.99K"
Jun 2025,"CRC 35,041.80K",Actual,"CRC 38,648.74K"
Jul 2025,"CRC 42,089.48K",Actual,"CRC 40,486.10K"
Aug 2025,"CRC 42,253.98K",Actual,"CRC 42,583.71K"
Sep 2025,"CRC 44,140.60K",Actual,"CRC 44,730.24K"
Oct 2025,"CRC 54,420.49K",Actual,"CRC 46,708.13K"
Nov 2025,"CRC 46,810.24K",Forecast,"CRC 48,498.36K"
Dec 2025,"CRC 47,952.46K",Forecast,"CRC 49,841.03K"
Jan 2026,"CRC 49,094.68K",Forecast,"CRC 50,674.79K"
Feb 2026,"CRC 50,236.90K",Forecast,"CRC 50,792.48K"
Mar 2026,"CRC 51,379.12K",Forecast,"CRC 50,154.38K"
