Item Name,SKU,Manufacturer,Supplier Code,Status,Total Quantity Available,Total Sales,Stock to Sales Ratio
0.50 BEARING BANCADA YD22/YD25 0.50,800-557,,M1050A,Active,1.00,1.00,15.00
01-05 INYECTOR LANCER ECLIPSE GALANT CHRYSL,800-743,,MR507252,Active,0.00,1.00,0.00
01-09 TOYOTA PRIUS ECHO SCION XA XB 1.5L,800-2994,,23250-21020,Active,0.00,2.00,0.00
0221500802 BOBINA DE BYD B102,800-2257,,221500802,Active,0.00,1.00,0.00
"07,09,14 HYUNDAI I30 I20 1.4 06 KIA CEE 1.4",800-1044,,35310-2B000,Active,0.00,1.00,0.00
1.13/32 X 2.9/32 X 15/32 8660K KOSS RET,800-3573,,8660K,Active,0.00,2.00,0.00
1.7/8 X 2.7/8 X 3/8 X 15/32 9912 KOSS RET,800-3572,,R47-7K,Active,0.00,2.00,0.00
10-15 SORENTO SANTA FE 4X2TRASERO,800-3859,,52751-2B100,Active,0.00,2.00,0.00
"138200-0260 36450-PT3-A01 ACCORD 90- 93 PRELUDE 92-96 2,2L 2,3L",800-1843,,AC181,Active,0.00,1.00,0.00
14138A/14276 KOYO BD KIA K2700 00-05,800-3829,,14138,Active,0.00,1.00,0.00
16100-97404 BOMBA AGUA K3 TERIOS D-52 3TORN,800-3327,,J21871,Active,0.00,1.00,0.00
18117-797D1 5136800-2330 SUZUKI CELERIO 1.0L,800-3109,,18117-68K00,Active,0.00,1.00,0.00
18855-10080 BUIJIAS IRIDIUN LARGA HYUNDAI BLUE CERATO I10 ACCORD PILOT 08+,800-4403,,LZKR6B11,Active,0.00,4.00,0.00
18X32X38X13 RET KOSS SELECTOR MARCHA B13,800-3662,,18323813K,Active,0.00,1.00,0.00
1C232-19700 MODULO ABANICOS MITSUBSHI,800-2064,,1355-A124,Active,0.00,1.00,0.00
2006-2015 SANTA FE,800-869,,39200-2F000,Active,0.00,1.00,0.00
2092022N10 SET DESCARBONADO ACCENT 12V 94- G4N 20,800-4580,,K62697,Active,0.00,1.00,0.00
22224-27900 SELLO DE VALVULA TUCSON D4EA SA,800-3316,,H58675,Active,0.00,16.00,0.00
22224-2B001 SELLO DE VALVULA ACCENT BLUE CR,800-3562,,H58696,Active,0.00,16.00,0.00
2231127022 EMPAQUE CABEZOTE 22311-27020 223,800-3317,,K63676,Active,0.00,1.00,0.00
22441-22012 EMP TP VLV ACCENT 12V,524-0621,KINSEI,K46697,Inactive,0.00,3.00,0.00
22448-6N015 UF-509 UF-350 UF-351 BOBINA NISSAN XTRAIL B15 ALMERA 22448-8H300,529-067,REPUESTOS BIANCHI,22448-8H315,Active,14.00,35.00,6.00
"22690-88G01 250-23503 234-3307 3L PATHFINDER D21 3,0 TRACERO TITANIO",800-2915,,234-3121,Active,0.00,1.00,0.00
"226905E400 234-3075 234-3075250-23109 3L XTERRA FRONTIER 3,3L -3L LARGO",800-3157,,22691-4L003,Inactive,0.00,2.00,0.00
22693-EA000 234-5061 234-5003 234-5060 NISSAN MURANO PATHFINDER 250-25005,800-3182,,22693-7S000,Inactive,0.00,2.00,0.00
234-2058 96-99 CELICA RAV4 FLANGER,529-109,REPUESTOS BIANCHI,89465-80002,Active,2.00,1.00,30.00
234-4042 250-24351 234-4428 234-45,529-098,REPUESTOS BIANCHI,39210-22050,Active,1.00,0.00,
234-4065 250 SENSOR OXIGENO CIVIC,800-1681,,36531-P2E-A01NTK,Inactive,0.00,1.00,0.00
234-4094 234-4125 36532-PPA-A01 15410 HONDA CRV TRACERO 2.4L 02-04 S2B1,800-3967,,36532-PPA-A01,Active,0.00,1.00,0.00
234-4154 234-4161/// 234-4162 4RUNNER TUNDRA,800-3503,,89465-09140,Active,0.00,2.00,0.00
234-4220 234-4733 234-4620 234-4621 234-4352 234-4122 250-24429 HONDA CIVIC D17A,800-3980,,36532-PAA-L41,Inactive,0.00,2.00,0.00
234-4305 80CM SENSOR DE OXIGENO,800-3990,,89465-12840,Active,0.00,1.00,0.00
"234-4329 234-4392 234-4390 S1 MAZDA 3 6 1,6L NACIONAL GRIS",800-985,,Z60118861A,Active,0.00,1.00,0.00
234-4350 S2 CIVIC 06-15,800-3699,,36532-RNA-A01,Active,0.00,1.00,0.00
234-4527 234-4528 25653 SONIC CRUCE 2011- 1.6/ 1.8 1.4 CONECTOR NEGRO,800-3106,,55572215,Active,0.00,1.00,0.00
234-4637 234-4020 234-4636 MD335040 SENSOR DE OXIGENO LANCER 4G13 MIGHTY MAX ECLIPSE DODGE RAM 50 234- 4837 25,800-183,,MD335040,Active,0.00,1.00,0.00
"234-4690 250-24357 HYUNDI ELANTRA, ACCENT TRACE 95-01",800-494,,39210-23026,Active,0.00,1.00,0.00
234-4703 250-24632 24544 XTERRA FRONTIER33,800-3230,,226A0-1S700,Active,0.00,2.00,0.00
234-9011 IMPRESA 02-04 2.0 TURBO,800-2784,,22641-AA042,Active,0.00,2.00,0.00
234-9033 250-54034 4PIN A/F SUZUKI VITARA SX4 18213-54LA0 18213-64J10,800-4215,,18213-80J00,Active,0.00,1.00,0.00
