Invoice Number,Sale Quantity,Quantity Ordered,Sub Total,Total,Profit
Grand Summary:,"2,036,630","41,989.75","587,891,508.01","CRC 376,116,421.95","$211,775,086.06"
INV-000244,"10,002",2.00,"3,116,460.17","CRC 15,890.00","$3,100,570.17"
INV-000245,"10,002",2.00,"3,116,460.17","CRC 15,890.00","$3,100,570.17"
INV-003410,49,49.00,"494,336.28","CRC 192,962.00","$301,374.28"
INV-016748,46,46.00,"367,893.92","CRC 127,105.00","$240,788.92"
INV-015810,451,1.00,"252,500.00","CRC 16,926.54","$235,573.46"
INV-016474,2,2.00,"233,682.26","CRC 8,767.00","$224,915.26"
INV-007785,12,7.00,"319,823.01","CRC 112,147.50","$207,675.51"
INV-006293,8,8.00,"293,716.82","CRC 106,436.00","$187,280.82"
INV-008369,17,10.00,"293,097.34","CRC 114,059.00","$179,038.34"
INV-014306,1,1.00,"628,318.58","CRC 464,734.74","$163,583.84"
INV-015015,1,1.00,"628,318.58","CRC 464,734.74","$163,583.84"
INV-006295,7,7.00,"245,486.73","CRC 87,939.50","$157,547.23"
INV-011532,5,5.00,"282,300.88","CRC 125,971.45","$156,329.43"
INV-011402,7,7.00,"269,203.55","CRC 112,875.70","$156,327.85"
INV-011437,1,1.00,"420,353.98","CRC 265,442.48","$154,911.50"
INV-013422,5,5.00,"266,230.10","CRC 116,274.29","$149,955.81"
INV-013563,7,7.00,"265,530.97","CRC 123,511.21","$142,019.76"
INV-017384,16,16.00,"336,902.64","CRC 194,955.22","$141,947.42"
INV-014154,6,6.00,"261,769.90","CRC 122,057.88","$139,712.02"
INV-012152,14,6.00,"223,628.30","CRC 87,362.00","$136,266.30"
INV-016166,11,11.00,"363,755.00","CRC 233,199.58","$130,555.42"
INV-010590,205,205.00,"560,548.67","CRC 431,059.30","$129,489.37"
INV-000123,3,3.00,"262,300.88","CRC 134,293.50","$128,007.38"
INV-006815,15,15.00,"234,955.75","CRC 107,662.50","$127,293.25"
INV-005453,12,12.00,"286,194.69","CRC 160,830.60","$125,364.09"
INV-006156,1,1.00,"473,451.33","CRC 350,000.00","$123,451.33"
INV-005250,12,12.00,"186,190.27","CRC 72,104.50","$114,085.77"
INV-014806,42,42.00,"423,716.82","CRC 309,904.20","$113,812.62"
INV-009625,2,2.00,"427,433.63","CRC 313,880.53","$113,553.10"
INV-016708,2,2.00,"158,407.08","CRC 45,273.83","$113,133.25"
INV-007597,1,1.00,"410,442.48","CRC 303,425.99","$107,016.49"
INV-016249,13,13.00,"202,345.13","CRC 95,745.78","$106,599.35"
INV-016199,16,16.00,"210,215.93","CRC 104,137.82","$106,078.11"
INV-009761,29,29.00,"402,300.89","CRC 297,239.15","$105,061.74"
INV-009267,10,10.00,"393,982.31","CRC 289,150.00","$104,832.31"
INV-005516,24,24.00,"265,511.51","CRC 162,119.28","$103,392.23"
INV-008786,3,3.00,"155,044.25","CRC 53,646.84","$101,397.41"
INV-016261,4,4.00,"153,362.84","CRC 52,299.43","$101,063.41"
INV-004310,10,10.00,"169,026.55","CRC 68,002.00","$101,024.55"
INV-017059,7,7.00,"174,336.28","CRC 73,420.16","$100,916.12"
INV-005187,4,4.00,"155,752.21","CRC 55,055.00","$100,697.21"
INV-017207,3,3.00,"153,097.34","CRC 53,065.56","$100,031.78"
INV-016400,1,1.00,"175,221.24","CRC 75,367.81","$99,853.43"
