Item Name,Sale Quantity,Quantity Ordered,Sub Total,Total,Profit
Grand Summary:,"2,036,630","41,989.75","587,891,508.01","CRC 376,116,421.95","$211,775,086.06"
AMORTIGUADOR TY Yaris 13-16 (17) Tras G (48530-0D570),222,22.00,"4,690,060.22","CRC 319,000.00","$4,371,060.22"
Cremallera de Dirección sin Rotulas Toyota Rav4 2001-2006 1AZ,38,38.00,"4,437,415.94","CRC 1,757,168.94","$2,680,247.00"
CENTRO DIFERENCIAL TOYOTA HILUX YN 4:55 RATIO/ PROP 9.41 10 HOLES MOUNTING IMPORT DIFF HILUX  4X2 2008-,31,31.00,"3,785,840.75","CRC 1,472,905.26","$2,312,935.49"
Cremallera de Dirección sin Rotulas Toyota Rav4 1997-2000 3SFE,25,25.00,"2,901,751.87","CRC 1,131,900.00","$1,769,851.87"
Cremallera de Dirección sin Rotulas Toyota Rav4 2005-2008 2AZ,38,38.00,"2,719,292.11","CRC 1,021,552.29","$1,697,739.82"
Cremallera de Dirección sin Rotulas Toyota Corolla 1994-2001 (AE111) (44250-12581),20,20.00,"2,296,566.39","CRC 887,590.00","$1,408,976.39"
Radiador Nissan Sentra 96 1.6,54,52.00,"2,054,312.25","CRC 813,909.48","$1,240,402.77"
DISTRIBUIDOR TOYOTA COROLLA 4AFE/ 5AFE ELECTRONIC,33,33.00,"2,034,371.77","CRC 816,885.56","$1,217,486.21"
"90080-19021 90919-02265 BOBINA IGNICION UF316 YARIZ,ECHO,PRIUZ,UF-316",214,214.00,"4,855,313.35","CRC 3,638,000.00","$1,217,313.35"
Cremallera de Dirección sin Rotulas HONDA CR-V 95-01,17,17.00,"2,154,513.28","CRC 960,802.94","$1,193,710.34"
Cremallera de Dirección sin Rotulas TOYOTA RAV4 12-18,29,29.00,"2,136,283.22","CRC 961,615.21","$1,174,668.01"
BUMPER TRASERO TOYOTA HILUX VIGO CHROME  FLAT TYPE 2005-,29,29.00,"1,839,486.09","CRC 731,228.56","$1,108,257.53"
Cremallera de Dirección sin Rotulas TOYOTA YARIS  06-13,27,27.00,"1,782,132.72","CRC 778,422.15","$1,003,710.57"
Bomba de Combustible Hyundai Accent 1999-2004 G4EK,63,63.00,"1,410,787.60","CRC 550,935.00","$859,852.60"
Cremallera de Dirección sin Rotulas TOYOTA COROLLA 92-97 (AE100),12,12.00,"1,485,875.92","CRC 656,827.32","$829,048.60"
Alternador 12V 90A Hyundai Accent IV 1.4 1.6 2010-2018 i20 I 1.4 1.6 2008-2015 i30 1.4 1.6 2007-2011 ix20 1.4 1.6 2010-2019 Solaris 1.4 2017- Veloster 1.6 2011-2017,24,24.00,"1,498,619.40","CRC 672,579.36","$826,040.04"
Cremallera de Dirección sin Rotulas NISSAN TIDA/VERSA,21,21.00,"1,447,867.17","CRC 639,933.00","$807,934.17"
BOBINA ORIGINAL TOYOTA RAV4 01-- 90919-02266 UF-333 90919-02243,125,125.00,"2,860,757.88","CRC 2,125,000.00","$735,757.88"
Cremallera de Dirección sin Rotulas Toyota Corolla 1997-2001 (AE111) (44250-12581),10,10.00,"1,130,761.08","CRC 443,795.00","$686,966.08"
Alternador 12V 80A Toyota Yaris 1.3 1.5 2010-2020 Yaris Vios 1.5 2006-2013  Corolla 1.5 4WD 2006-2012 Allion I 1.5 1.8 4WD 2001-2005 Premio 1.5 1.8 4WD 2001-2007,23,23.00,"1,194,097.59","CRC 529,427.34","$664,670.25"
BOBINA DE IGNICIÓN NISSAN VERSA-SENTRA-KICKS-QASHQAI (07-)   22448-1KT1A  22448-5RB0A 22448-1HC0A 22448-ED000 UF-550 UF-549 UF-719,112,112.00,"2,537,507.40","CRC 1,904,000.00","$633,507.40"
NGK LZKR6B-10E BUJÍA NÍQUEL PARA HYUNDAI Y KÍA PICANTO HEX.16MM ROSCA 12X26.5MM,246,246.00,"1,463,891.57","CRC 846,065.27","$617,826.30"
Radiador Nissan Sentra B13,26,26.00,"1,011,320.38","CRC 419,991.00","$591,329.38"
Cremallera de Dirección sin Rotulas NISSAN XTRAIL,7,6.00,"955,407.07","CRC 369,663.72","$585,743.35"
Alternador 12V 70A Toyota Yaris Echo 1.3 1.4 1.5 1999-2005,19,19.00,"1,031,973.72","CRC 464,889.15","$567,084.57"
COMPENSADOR TOYOTA ETIOS 12- DELANTERO R/L,81,81.00,"1,870,460.17","CRC 1,308,081.15","$562,379.02"
