,,Type,Total Balance (BCY) Trend line
Dec 2024,CRC 0.00,Actual,"CRC 21,232.75"
Jan 2025,CRC 0.00,Actual,"CRC 29,711.81"
Feb 2025,CRC 0.00,Actual,"CRC 41,576.90"
Mar 2025,CRC 0.00,Actual,"CRC 56,325.35"
Apr 2025,CRC 0.00,Actual,"CRC 78,818.26"
May 2025,CRC 0.00,Actual,"CRC 109,108.71"
Jun 2025,CRC 0.00,Actual,"CRC 152,680.08"
Jul 2025,CRC 0.00,Actual,"CRC 211,356.17"
Aug 2025,CRC 0.00,Actual,"CRC 295,788.51"
Sep 2025,"CRC 60,780.44",Actual,"CRC 413,908.41"
Oct 2025,"CRC 3,468,017.88",Actual,"CRC 572,976.51"
Nov 2025,"CRC 1,279,884.09",Forecast,"CRC 801,788.39"
Dec 2025,"CRC 1,439,731.47",Forecast,"CRC 1,109,921.67"
Jan 2026,"CRC 1,599,578.84",Forecast,"CRC 1,553,312.03"
Feb 2026,"CRC 1,759,426.21",Forecast,"CRC 2,173,610.14"
Mar 2026,"CRC 1,919,273.59",Forecast,"CRC 2,944,354.01"
