,Paid,Paid,Partially Paid,Partially Paid,Overdue,Overdue,Open,Open,Summary,Summary
Month & Year,Bills,Amount,Bills,Amount,Bills,Amount,Bills,Amount,Bills,Amount
Grand Summary:,3919,"CRC 544,507,815.12",3,"CRC 545,188.90",2,"CRC 169,996.11",150,"CRC 7,588,479.94",4074,"CRC 552,811,480.07"
Nov 2025,1,"CRC 65,786.34",,,,,,,1,"CRC 65,786.34"
Oct 2025,3,"CRC 3,205,122.77",,,,,1,"CRC 58,760.00",4,"CRC 3,263,882.77"
Sep 2025,2,"CRC 71,171.60",,,,,,,2,"CRC 71,171.60"
Aug 2025,1,"CRC 242,950.00",,,,,,,1,"CRC 242,950.00"
Jul 2025,9,"CRC 2,408,583.47",,,,,,,9,"CRC 2,408,583.47"
Jun 2025,6,"CRC 287,472.83",,,,,1,"CRC 52,569.62",7,"CRC 340,042.45"
May 2025,48,"CRC 2,743,033.45",,,,,1,"CRC 44,799.98",49,"CRC 2,787,833.43"
Apr 2025,112,"CRC 3,698,464.07",,,,,2,"CRC 16,124.54",114,"CRC 3,714,588.61"
Mar 2025,7,"CRC 4,234,070.01",,,,,,,7,"CRC 4,234,070.01"
Feb 2025,11,"CRC 217,597.44",,,,,,,11,"CRC 217,597.44"
Jan 2025,16,"CRC 1,653,170.00",,,,,1,"CRC 60,780.44",17,"CRC 1,713,950.44"
Dec 2024,4,"CRC 56,747.50",,,,,,,4,"CRC 56,747.50"
Oct 2024,318,"CRC 97,799,518.72",,,,,11,"CRC 1,097,523.26",329,"CRC 98,897,041.98"
Aug 2024,189,"CRC 6,681,150.52",,,,,2,"CRC 44,437.03",191,"CRC 6,725,587.55"
May 2024,14,"CRC 1,045,908.62",,,,,,,14,"CRC 1,045,908.62"
Apr 2024,18,"CRC 493,730.90",,,,,,,18,"CRC 493,730.90"
Mar 2024,79,"CRC 2,384,610.58",1,"CRC 28,441.43",,,1,"CRC 28,317.80",81,"CRC 2,441,369.81"
Feb 2024,901,"CRC 29,785,834.56",,,,,26,"CRC 487,882.24",927,"CRC 30,273,716.80"
Jan 2024,44,"CRC 4,380,282.83",,,,,,,44,"CRC 4,380,282.83"
Dec 2023,443,"CRC 58,173,582.05",,,1,"CRC 28,250.00",6,"CRC 412,403.67",450,"CRC 58,614,235.72"
Nov 2023,788,"CRC 31,233,009.58",,,,,20,"CRC 604,035.66",808,"CRC 31,837,045.24"
Oct 2023,772,"CRC 66,248,133.82",1,"CRC 418,568.84",1,"CRC 141,746.11",77,"CRC 4,677,365.39",851,"CRC 71,485,814.16"
Sep 2023,91,"CRC 160,487,012.88",,,,,1,"CRC 3,480.31",92,"CRC 160,490,493.19"
Aug 2023,42,"CRC 66,910,870.58",1,"CRC 98,178.63",,,,,43,"CRC 67,009,049.21"
