Purchase Receive ID,Purchase Order ID,Date,Created Time,Last Modified Time,Status
4198696000000530197,4198696000000528327,12 Sep 2023,2023-09-12 11:04:01,2023-09-12 11:12:11,received
4198696000000588642,4198696000000588403,20 Sep 2023,2023-09-20 15:26:05,2023-09-20 15:26:05,received
4198696000000602709,4198696000000602617,09 Aug 2023,2023-09-21 14:02:30,2023-09-21 14:02:30,received
4198696000000668007,4198696000000632003,28 Sep 2023,2023-09-28 01:36:43,2023-09-28 01:36:43,received
4198696000000777005,4198696000000699019,16 Oct 2023,2023-10-16 12:06:02,2023-10-16 12:06:02,received
4198696000000777033,4198696000000684016,16 Oct 2023,2023-10-16 12:06:56,2023-10-16 12:06:56,received
4198696000000777101,4198696000000703001,16 Oct 2023,2023-10-16 12:08:00,2023-10-16 12:08:00,received
4198696000000777169,4198696000000703053,16 Oct 2023,2023-10-16 12:08:17,2023-10-16 12:08:17,received
4198696000000777237,4198696000000703117,16 Oct 2023,2023-10-16 12:10:05,2023-10-16 12:10:05,received
4198696000000777269,4198696000000703142,16 Oct 2023,2023-10-16 12:11:30,2023-10-16 12:11:30,received
4198696000000777337,4198696000000703194,22 Aug 2023,2023-10-16 12:11:48,2023-10-16 12:11:48,received
4198696000000777405,4198696000000703246,22 Aug 2023,2023-10-16 12:12:01,2023-10-16 12:12:01,received
4198696000000777469,4198696000000703306,22 Aug 2023,2023-10-16 12:12:18,2023-10-16 12:12:18,received
4198696000000777537,4198696000000703358,22 Aug 2023,2023-10-16 12:12:31,2023-10-16 12:12:31,received
4198696000000777605,4198696000000703410,22 Aug 2023,2023-10-16 12:12:56,2023-10-16 12:12:56,received
4198696000000777665,4198696000000703456,22 Aug 2023,2023-10-16 12:13:06,2023-10-16 12:13:06,received
4198696000000777741,4198696000000703508,22 Aug 2023,2023-10-16 12:20:50,2023-10-16 12:20:50,received
4198696000000777989,4198696000000703664,22 Aug 2023,2023-10-16 15:00:18,2023-10-16 15:00:18,received
4198696000000783057,4198696000000703716,22 Aug 2023,2023-10-16 15:00:34,2023-10-16 15:00:34,received
4198696000000783097,4198696000000703747,22 Aug 2023,2023-10-16 15:00:44,2023-10-16 15:00:44,received
4198696000000783117,4198696000000703763,22 Aug 2023,2023-10-16 15:00:54,2023-10-16 15:00:54,received
4198696000000783157,4198696000000703794,22 Aug 2023,2023-10-16 15:01:07,2023-10-16 15:01:07,received
4198696000000783193,4198696000000703828,22 Aug 2023,2023-10-16 15:01:17,2023-10-16 15:01:17,received
4198696000000783257,4198696000000703877,22 Aug 2023,2023-10-16 15:01:28,2023-10-16 15:01:28,received
4198696000000783321,4198696000000705907,22 Aug 2023,2023-10-16 15:01:36,2023-10-16 15:01:36,received
4198696000000783369,4198696000000705879,22 Aug 2023,2023-10-16 15:01:45,2023-10-16 15:01:45,received
4198696000000783405,4198696000000705830,22 Aug 2023,2023-10-16 15:01:54,2023-10-16 15:01:54,received
4198696000000783469,4198696000000705787,22 Aug 2023,2023-10-16 15:02:01,2023-10-16 15:02:01,received
4198696000000783525,4198696000000705747,22 Aug 2023,2023-10-16 15:02:10,2023-10-16 15:02:10,received
4198696000000783577,4198696000000705707,22 Aug 2023,2023-10-16 15:02:18,2023-10-16 15:02:18,received
4198696000000783629,4198696000000705658,22 Aug 2023,2023-10-16 15:02:27,2023-10-16 15:02:27,received
4198696000000783693,4198696000000705642,22 Aug 2023,2023-10-16 15:02:35,2023-10-16 15:02:35,received
4198696000000783713,4198696000000705590,22 Aug 2023,2023-10-16 15:02:42,2023-10-16 15:02:42,received
4198696000000783781,4198696000000705544,22 Aug 2023,2023-10-16 15:02:51,2023-10-16 15:02:51,received
4198696000000783841,4198696000000705489,22 Aug 2023,2023-10-16 15:02:59,2023-10-16 15:02:59,received
4198696000000783905,4198696000000705437,22 Aug 2023,2023-10-16 15:03:06,2023-10-16 15:03:06,received
4198696000000783973,4198696000000705394,22 Aug 2023,2023-10-16 15:03:14,2023-10-16 15:03:14,received
4198696000000784021,4198696000000705342,22 Aug 2023,2023-10-16 15:03:22,2023-10-16 15:03:22,received
4198696000000784089,4198696000000705290,22 Aug 2023,2023-10-16 15:03:30,2023-10-16 15:03:30,received
4198696000000784157,4198696000000705238,22 Aug 2023,2023-10-16 15:03:39,2023-10-16 15:03:39,received
4198696000000784225,4198696000000705186,22 Aug 2023,2023-10-16 15:03:47,2023-10-16 15:03:47,received
4198696000000784293,4198696000000705134,23 Aug 2023,2023-10-16 15:03:55,2023-10-16 15:03:55,received
4198696000000784361,4198696000000705082,22 Aug 2023,2023-10-16 15:04:03,2023-10-16 15:04:03,received
4198696000000784429,4198696000000705030,22 Aug 2023,2023-10-16 15:04:11,2023-10-16 15:04:11,received
4198696000000784497,4198696000000703978,22 Aug 2023,2023-10-16 15:04:19,2023-10-16 15:04:19,received
4198696000000784565,4198696000000703926,22 Aug 2023,2023-10-16 15:04:29,2023-10-16 15:04:29,received
4198696000000791092,4198696000000791055,22 Aug 2023,2023-10-17 13:43:47,2023-10-17 13:43:47,received
4198696000000836370,4198696000000836295,25 Oct 2023,2023-10-25 13:10:21,2023-10-25 13:10:21,received
4198696000000848015,4198696000000844415,22 Sep 2023,2023-10-26 11:59:21,2023-10-26 11:59:21,received
4198696000000848244,4198696000000844891,26 Oct 2023,2023-10-26 11:59:48,2023-10-26 11:59:48,received
4198696000000869133,4198696000000866312,26 Oct 2023,2023-10-26 15:17:06,2023-10-26 15:17:06,received
4198696000000871562,4198696000000869522,26 Oct 2023,2023-10-26 15:40:31,2023-10-26 15:40:31,received
4198696000000876275,4198696000000872076,27 Oct 2023,2023-10-27 06:46:53,2023-10-27 06:46:53,received
4198696000000876761,4198696000000872188,27 Oct 2023,2023-10-27 06:53:17,2023-10-27 06:53:17,received
4198696000000881978,4198696000000876965,27 Oct 2023,2023-10-27 10:58:22,2023-10-27 10:58:22,received
4198696000000882237,4198696000000878495,27 Oct 2023,2023-10-27 10:58:32,2023-10-27 10:58:32,received
4198696000000882416,4198696000000878865,27 Oct 2023,2023-10-27 11:00:35,2023-10-27 11:00:35,received
4198696000000882925,4198696000000879895,27 Oct 2023,2023-10-27 11:00:44,2023-10-27 11:00:44,received
4198696000000885114,4198696000000880285,27 Oct 2023,2023-10-27 11:00:51,2023-10-27 11:00:51,received
4198696000000885298,4198696000000880918,27 Oct 2023,2023-10-27 11:01:03,2023-10-27 11:01:03,received
4198696000000888272,4198696000000888072,27 Oct 2023,2023-10-27 11:58:56,2023-10-27 11:58:56,received
