Vendor Payment ID,Payment Date,Amount (BCY),Created Time,Unused Amount (BCY),Exchange Rate,Refund Amount (BCY),Currency Code,Last Modified Time
4198696000000463041,01 Jul 2022,"CRC 3,429,355.28",2023-08-30 14:28:13,CRC 0.00,685.87,CRC 0.00,USD,2023-09-09 15:21:52
4198696000000463123,23 Nov 2022,"CRC 5,317,243.48",2023-08-30 14:40:02,CRC 0.00,607.16,CRC 0.00,USD,2023-10-24 13:20:24
4198696000000463187,28 Nov 2022,"CRC 2,644,172.70",2023-08-30 14:42:12,CRC 0.00,603.86,CRC 0.00,USD,2023-10-24 13:21:19
4198696000000463261,12 Aug 2022,"CRC 25,660,729.09",2023-08-30 14:51:49,CRC 0.00,668.90,CRC 0.00,USD,2023-08-30 14:51:49
4198696000000463301,27 Dec 2022,"CRC 15,348,001.17",2023-08-30 14:52:38,CRC 0.00,581.06,CRC 0.00,USD,2023-08-30 14:52:38
4198696000000463347,12 Dec 2022,"CRC 7,163,000.00",2023-08-30 14:55:41,CRC 0.00,1.00,CRC 0.00,CRC,2023-09-01 17:48:37
4198696000000463363,28 Dec 2022,"CRC 555,000.00",2023-08-30 14:57:16,CRC 0.00,1.00,CRC 0.00,CRC,2023-09-01 17:49:33
4198696000000463419,27 Dec 2022,"CRC 4,357,147.01",2023-08-30 15:03:28,CRC 0.00,581.06,CRC 0.00,USD,2023-10-24 13:21:51
4198696000000463455,29 Dec 2022,"CRC 5,094,531.70",2023-08-30 15:04:40,CRC 0.00,581.73,CRC 0.00,USD,2023-09-01 16:06:29
4198696000000471061,28 Nov 2022,"CRC 181,159.42",2023-08-31 13:15:03,CRC 0.00,603.86,CRC 0.00,USD,2023-12-12 15:36:23
4198696000000476003,08 Dec 2022,"CRC 89,013.83",2023-08-31 17:36:04,CRC 0.00,601.32,CRC 0.00,USD,2023-08-31 17:36:04
4198696000000481021,02 Jan 2023,"CRC 118,360.18",2023-09-01 16:02:42,CRC 0.00,591.74,CRC 0.00,USD,2023-09-09 15:08:35
4198696000000481199,02 Jan 2023,"CRC 87,595.53",2023-09-01 16:11:34,CRC 0.00,591.74,CRC 0.00,USD,2023-09-01 16:11:34
4198696000000481269,26 Jan 2023,"CRC 419,917.05",2023-09-01 16:19:25,CRC 0.00,563.04,CRC 0.00,USD,2023-09-01 16:19:25
4198696000000481299,07 Feb 2023,"CRC 618,103.15",2023-09-01 16:20:03,CRC 0.00,573.07,CRC 0.00,USD,2023-09-01 16:20:03
4198696000000481327,17 Jan 2023,"CRC 5,677,109.29",2023-09-01 16:21:02,CRC 0.00,571.43,CRC 0.00,USD,2023-09-01 17:40:51
4198696000000481343,19 Jan 2023,"CRC 1,300,000.00",2023-09-01 16:22:25,CRC 0.00,1.00,CRC 0.00,CRC,2023-09-01 17:49:12
4198696000000481359,01 Feb 2023,"CRC 4,400,000.00",2023-09-01 16:23:17,CRC 0.00,1.00,CRC 0.00,CRC,2023-09-01 17:49:01
4198696000000481375,14 Feb 2023,"CRC 4,860,000.00",2023-09-01 16:24:21,CRC 0.00,1.00,CRC 0.00,CRC,2023-09-01 17:48:49
4198696000000481391,06 Mar 2023,"CRC 420,135.01",2023-09-01 16:25:31,CRC 0.00,1.00,CRC 0.00,CRC,2023-09-01 17:50:06
4198696000000481443,30 Jan 2023,"CRC 97,000.00",2023-09-01 16:29:37,CRC 0.00,1.00,CRC 0.00,CRC,2023-09-01 16:29:37
4198696000000481493,30 Jan 2023,"CRC 554,323.73",2023-09-01 16:31:23,CRC 0.00,554.32,CRC 0.00,USD,2023-09-01 16:34:11
4198696000000481571,31 Jan 2023,"CRC 240,254.00",2023-09-01 16:35:08,CRC 0.00,552.18,CRC 0.00,USD,2023-09-01 16:35:08
4198696000000481629,07 Feb 2023,"CRC 582,808.02",2023-09-01 16:38:35,CRC 0.00,573.07,CRC 0.00,USD,2023-09-01 16:38:35
4198696000000481677,07 Feb 2023,"CRC 197,260.75",2023-09-01 16:40:53,CRC 0.00,573.07,CRC 0.00,USD,2023-09-01 16:40:53
4198696000000481767,31 Jan 2023,"CRC 4,835,726.11",2023-09-01 16:47:59,CRC 0.00,552.18,CRC 0.00,USD,2023-09-01 16:47:59
