s.Item_ID,s.SKU
4198696000033148666,800-4502
4198696000032479662,800-4467
4198696000031760194,800-4395
4198696000031243601,800-4335
4198696000029435279,800-4157
4198696000029035040,800-4086
4198696000027877014,800-3897
4198696000027576355,800-3864
4198696000027374964,800-3850
4198696000026530384,800-3731
4198696000026126402,800-3678
4198696000025902593,800-3648
4198696000024931561,518-0621
4198696000024806075,800-3513
4198696000024805299,800-3512
4198696000024699193,800-3505
4198696000024546376,800-3485
4198696000024036140,800-3411
4198696000023852076,800-3398
4198696000023465306,800-3327
