SKU,Product_ID,Last_Purchase_Date,Last_Purchase_Price
376-39,4198696000000677548,,3299.97
509-0511,4198696000000862615,,7092.360000000001
393-124,4198696000001040788,,7672.5
524-0554,4198696000001407965,,6900
524-0591,4198696000001408298,,3100
3-18,4198696000000669651,,1513.83
118-179,4198696000000141544,,687.5
90-152,4198696000000140221,,3338.5
90-191,4198696000000140302,,3971
317-14,4198696000000144298,,8156.5
11-204,4198696000000136819,,7249
11-255,4198696000000137008,,6424
108-50,4198696000000140815,,19866
46-137,4198696000000138961,,5918
246-612,4198696000000143650,,3091
118-176,4198696000000141526,,511.5
214-96,4198696000000142786,,2266
316-22,4198696000000144100,,2381.5
318-2,4198696000000144361,,6787
318-3,4198696000000144370,,10571
112-459,4198696000000140887,,1039.5
3-68,4198696000000670101,,1674.01
95-1003,4198696000000679681,,1735.02
502-026,4198696000000898764,,18267.36
502-080,4198696000000899250,,23560.32
512-033,4198696000001045704,,6065.76
512-092,4198696000001046235,,29787.6
512-113,4198696000001046424,,41036.83
512-127,4198696000001046550,,8698.119999999999
21-2001,4198696000001089307,,9123.27
21-1037,4198696000000678853,,2351.75
127-1003,4198696000001089091,,346.11999999999995
343-4,4198696000000588223,,2162.4
376-81,4198696000000677926,,1908.05
800-011,4198696000001197232,,9800
524-0115,4198696000001407092,,2300
522-0138,4198696000001615094,,14127.71
520-0002,4198696000001610675,,13822.84
800-179,4198696000002664881,,44854
509-0055,4198696000000861202,,7507.289999999999
509-2004,4198696000000864001,,43264.009999999995
509-2519,4198696000000864460,,7064.41
509-2548,4198696000000864721,,16200
509-2562,4198696000000864847,,5493.33
509-2587,4198696000000865072,,12757.41
502-085,4198696000000913969,,19358.97
520-0144,4198696000001531090,,15806.28
507-001,4198696000000836985,,2300
506-023,4198696000000844210,,2400
77-24,4198696000001041022,,22
800-092,4198696000001791080,,12300
11-269,4198696000000137062,,7799
46-91,4198696000000138952,,2739
144-3,4198696000000141868,,935
509-1511,4198696000000863731,,9891.35
522-0103,4198696000001614761,,18453.21
3-115,4198696000000670524,,1959.5900000000001
376-44,4198696000000677593,,3421.83
509-3536,4198696000000865972,,17870.13
509-3537,4198696000000865981,,14791.89
107-3,4198696000001039699,,627
118-139,4198696000001040014,,720.5
118-209,4198696000001040104,,1386
351-189,4198696000001040644,,14965.5
351-86,4198696000001040725,,19767
67-1,4198696000001040923,,19415
529-018,4198696000002572842,,17000
118-151,4198696000000141454,,605
105-45,4198696000000140725,,2909.5
15-121,4198696000000137944,,1056
86-15,4198696000000139699,,27.5
86-6,4198696000000139663,,231
333-98,4198696000000144505,,1798.5
11-120,4198696000000136666,,13436.5
11-272,4198696000000137071,,4818
168-512,4198696000000142453,,5.5
214-62,4198696000000142705,,2920.5
214-72,4198696000000142723,,1661
510-047,4198696000000865639,,98000
510-029,4198696000000865477,,52840.840000000004
512-009,4198696000001045497,,12839.47
512-047,4198696000001045830,,17924.97
512-128,4198696000001046559,,8407.939999999999
512-143,4198696000001046694,,11257.34
528-0023,4198696000001612061,,10065.61
518-0509,4198696000001612133,,14085
518-0523,4198696000001612295,,22097.66
518-0536,4198696000001612439,,42988.84
800-127,4198696000002192886,,23850
343-2,4198696000000588205,,3664.2
376-126,4198696000000678331,,2076.81
376-140,4198696000000678457,,1244.55
376-57,4198696000000677710,,3104.82
509-1526,4198696000000863866,,14734.56
127-1023,4198696000001089271,,314.05
515-008,4198696000001086385,,4200
515-009,4198696000001086394,,5550
525-0002,4198696000001407353,,3990
522-0124,4198696000001614068,,25668.5
522-0136,4198696000001614095,,28900.63
522-0132,4198696000001614275,,33912.4
522-0086,4198696000001614329,,30800
522-0187,4198696000001614914,,16407.100000000002
522-0114,4198696000001615229,,12515.29
520-0061,4198696000001611098,,16950
376-112,4198696000000678205,,2471.04
21-1025,4198696000000678745,,3208.5
72-1004,4198696000000678952,,3761.56
72-1074,4198696000000679528,,3181.1299999999997
509-3010,4198696000000866080,,7060.360000000001
509-2569,4198696000000864910,,6322.57
509-2578,4198696000000864991,,4400
511-008,4198696000000860635,,63500
504-004,4198696000000897216,,7262.650000000001
504-047,4198696000000897603,,3186.65
504-149,4198696000000898521,,10664.93
800-026,4198696000001441123,,3575
505-009,4198696000000844300,,2181
506-020,4198696000000844183,,4200
503-014,4198696000000899628,,2050.36
503-021,4198696000000899691,,9872.66
168-2025,4198696000000677089,,4245.9
509-3518,4198696000000865810,,14569.94
509-3534,4198696000000865954,,14805
90-238,4198696000000140455,,3525.5
168-39,4198696000000142228,,5.5
524-0111,4198696000001407056,,2500
514-003,4198696000000836160,,2346
3-64,4198696000000670065,,1495.21
509-3507,4198696000000865711,,14850
40-434,4198696000001040437,,4983
393-123,4198696000001040779,,7672.5
524-0597,4198696000001408352,,2300
524-0514,4198696000001407605,,22900
105-11,4198696000000140635,,2238.5
15-119,4198696000000137926,,3421
44-214,4198696000000138934,,473
164-1,4198696000000142048,,550
11-334,4198696000000137269,,11962.5
11-235,4198696000000136954,,5115
11-262,4198696000000137017,,27720
11-289,4198696000000137134,,4812.5
108-46,4198696000000140806,,28627.5
114-44,4198696000000140968,,2123
259-148,4198696000000143947,,4818
259-66,4198696000000143803,,4620
214-95,4198696000000142777,,2260.5
393-138,4198696000000144640,,4361.5
95-36,4198696000000140518,,643.5
3-39,4198696000000669840,,1937.2400000000002
3-41,4198696000000669858,,2060.15
509-0123,4198696000000861814,,13953.63
512-069,4198696000001046028,,32223.809999999998
21-2006,4198696000001089352,,5794.44
535-0002,4198696000001441297,,4600
518-0565,4198696000001612736,,28307.28
518-0579,4198696000001612871,,9690.66
21-1034,4198696000000678826,,7210.889999999999
376-54,4198696000000677683,,3833.07
376-60,4198696000000677737,,2278.0499999999997
524-0028,4198696000001406453,,2100
522-0106,4198696000001615130,,16552.47
521-0037,4198696000001613357,,12965.32
520-0060,4198696000001610603,,21621.3
520-0028,4198696000001610810,,21980
520-0045,4198696000001610918,,22234.66
526-0011,4198696000001674850,,6653.6
72-1073,4198696000000679519,,3316.03
72-1030,4198696000000679132,,3606.78
509-3031,4198696000000866269,,5985.46
509-2552,4198696000000864757,,6389.68
504-070,4198696000000897810,,2536.71
504-086,4198696000000897954,,2823.33
504-092,4198696000000898008,,5150.55
505-011,4198696000000844318,,675
503-009,4198696000000899583,,2580.5
130-013,4198696000000899403,,6125
15-62,4198696000000137800,,2964.5
168-202,4198696000000142354,,71.5
512-028,4198696000001045668,,32981.42
512-109,4198696000001046388,,33415.92
106-8,4198696000000602365,,3534.6299999999997
509-0568,4198696000000863128,,6720.82
509-1014,4198696000000863308,,16760.89
85-117,4198696000001039861,,302.5
118-161,4198696000001040059,,605
118-61,4198696000001040149,,605
214-56,4198696000001040293,,1501.5
524-0561,4198696000001408028,,4950
800-106,4198696000001900192,,5150
118-150,4198696000000141445,,841.5
164-75,4198696000000142147,,880
90-27,4198696000000139996,,3591.5
90-305,4198696000000140482,,4845.5
90-52,4198696000000140086,,3470.5
147-10,4198696000000141895,,12226.5
46-299,4198696000000139060,,2838
114-2,4198696000000140914,,2106.5
114-108,4198696000000141022,,1639
246-144,4198696000000143569,,3861
393-37,4198696000000144577,,6880.5
509-0191,4198696000000862426,,12380.43
502-049,4198696000000898971,,11357.1
512-108,4198696000001046379,,28015.29
512-119,4198696000001046478,,23965.14
512-152,4198696000001046775,,8861.55
509-0201,4198696000001391001,,9234.960000000001
528-0018,4198696000001611998,,12000
3-27,4198696000000669732,,727.42
376-124,4198696000000678313,,1671.8
376-144,4198696000000678493,,2314.52
376-145,4198696000000678502,,1199.92
515-011,4198696000001086412,,3550
524-0110,4198696000001407047,,2100
524-0128,4198696000001407209,,2100
522-0035,4198696000001614527,,33573.27
522-0045,4198696000001615301,,18193.37
521-0025,4198696000001613492,,12583.99
520-0119,4198696000001611314,,17108.7
520-0135,4198696000001611593,,19412.22
519-0032,4198696000001610252,,5677.400000000001
800-165,4198696000002614183,,1800
376-21,4198696000000677386,,3680.69
72-1080,4198696000000679582,,4253.86
509-0012,4198696000000860815,,9900
509-0019,4198696000000860878,,8312.81
509-0045,4198696000000861112,,6255
509-0081,4198696000000861436,,5668.78
509-2018,4198696000000864127,,46561.44
509-3005,4198696000000866035,,7516.76
509-2509,4198696000000864370,,5843.31
509-2520,4198696000000864469,,7242.94
504-044,4198696000000897576,,1191.08
504-093,4198696000000898017,,5039.36
502-023,4198696000000898737,,11875.960000000001
11-14,4198696000000136513,,8096
245-89,4198696000000143353,,929.5
43-30,4198696000000138700,,1050.5
522-0058,4198696000001614401,,31400.36
526-0021,4198696000001674940,,5720
800-110,4198696000001900608,,12260.4
72-2006,4198696000003678166,,5100
83-2042,4198696000004421754,,6077.5
511-018,4198696000004910758,,50000
106-2019,4198696000006545534,,30336.5
530-1017,4198696000003952195,,5500
73-1000,4198696000007811705,,1133
524-0624,4198696000007892600,,1800.0200000000002
800-1474,4198696000008244822,,4500
800-1554,4198696000008726514,,25000
524-0149,4198696000009774524,,4400
800-313,4198696000003375207,,5520.43
20-1002,4198696000004629866,,1628
530-2001,4198696000003952644,,3400
531-008,4198696000004161535,,9890
509-0206,4198696000004832034,,18877.08
517-1045,4198696000004993463,,18860
800-860,4198696000005540382,,34900
800-992,4198696000006120357,,20444.11
509-0205,4198696000006693215,,10343.43
