b.Product_ID,i.InQty,o.OutQty,On_Hand_Qty
4198696000000138106,50,2,48
4198696000000142066,112,7,105
4198696000000142075,112,20,92
4198696000000136567,7,1,6
4198696000000136756,61,29,32
4198696000000139294,11,3,8
4198696000000142552,20,1,19
4198696000000138826,100,8,92
4198696000000678763,5,1,4
4198696000000678115,4,1,3
4198696000000677926,2,1,1
4198696000000677557,4,3,1
4198696000000677755,5,3,2
4198696000000679771,73,34,39
4198696000000676936,50,13,37
4198696000000679321,6,2,4
4198696000000678853,3,1,2
4198696000000791001,6,5,1
4198696000000844228,152,125,27
4198696000000836985,121,83,38
4198696000000862993,4,3,1
4198696000000863164,5,1,4
4198696000000861139,10,2,8
4198696000000861598,11,2,9
4198696000000863236,36,30,6
4198696000000863263,20,2,18
4198696000000863578,10,2,8
4198696000000866134,5,3,2
4198696000000861967,7,4,3
4198696000000861994,14,13,1
4198696000000862336,12,9,3
4198696000000863785,10,8,2
4198696000000865612,2,1,1
4198696000000864406,6,2,4
4198696000000864955,33,29,4
4198696000000864964,10,6,4
4198696000000899151,3,2,1
4198696000000898710,6,1,5
4198696000000897666,2,2,0
4198696000000897774,3,3,0
4198696000000898224,2,2,0
4198696000001045722,8,8,0
4198696000001045821,5,1,4
4198696000001046091,5,1,4
4198696000001040959,200,3,197
4198696000001048311,20,1,19
4198696000001089190,48,5,43
4198696000001086430,15,9,6
4198696000001086439,35,10,25
4198696000001108207,4,4,0
4198696000001197232,2,2,0
4198696000001197375,1,1,0
4198696000001531090,6,2,4
4198696000001407965,7,7,0
4198696000001408343,2,1,1
4198696000001406282,4,3,1
4198696000001407344,13,8,5
4198696000001406228,2,1,1
4198696000001406984,3,1,2
4198696000001406777,5,4,1
4198696000001613861,7,3,4
4198696000001613924,3,2,1
4198696000001614059,4,2,2
4198696000001614320,2,1,1
4198696000001614356,3,1,2
4198696000001614689,9,9,0
4198696000001614788,4,2,2
4198696000001614815,5,5,0
4198696000001614851,10,8,2
4198696000001614878,6,4,2
4198696000001614986,4,4,0
4198696000001613555,4,2,2
4198696000001613690,6,4,2
4198696000001611935,2,2,0
4198696000001612610,5,3,2
4198696000001612925,5,3,2
4198696000001610666,8,5,3
4198696000001610891,11,8,3
4198696000001611134,16,12,4
4198696000001611152,8,4,4
4198696000001674769,7,5,2
4198696000001685012,2,1,1
4198696000001685102,9,6,3
4198696000001743119,12,12,0
4198696000001969321,13,13,0
4198696000002192218,2,2,0
4198696000002266151,13,8,5
4198696000002566078,1,1,0
4198696000002622557,2,2,0
4198696000002572824,22,10,12
4198696000002744014,2,1,1
4198696000002744148,3,2,1
4198696000001613294,2,1,1
4198696000002859021,7,5,2
4198696000002921171,3,3,0
4198696000003025182,1,1,0
4198696000003252580,2,1,1
4198696000003159088,9,7,2
4198696000003159097,6,1,5
4198696000003338396,10,7,3
4198696000003359071,3,1,2
4198696000003359080,4,1,3
4198696000003454023,1,1,0
4198696000003484028,1,1,0
4198696000003539648,3,3,0
4198696000003590756,4,4,0
4198696000003678166,2,2,0
4198696000003678257,6,6,0
4198696000003873707,42,33,9
4198696000003594538,160,133,27
4198696000003937104,2,2,0
4198696000004093101,6,3,3
4198696000004093620,2,2,0
4198696000004224366,3,3,0
4198696000004325122,2,1,1
4198696000004421776,2,2,0
4198696000004420087,100,1,99
4198696000004421394,100,3,97
4198696000004592138,4,4,0
4198696000003679448,16,12,4
4198696000003952946,33,23,10
4198696000004655260,4,2,2
4198696000004745091,2,2,0
4198696000004629758,101,7,94
4198696000004764060,101,2,99
4198696000004777058,2,2,0
4198696000004777115,4,1,3
4198696000004882003,8,4,4
4198696000004882242,2,2,0
4198696000004950161,1,1,0
4198696000004993740,2,2,0
4198696000004993013,1,1,0
4198696000004993531,1,1,0
4198696000004993425,2,2,0
4198696000005012519,1,1,0
4198696000005042459,1,1,0
4198696000005166227,2,2,0
4198696000005207406,3,3,0
4198696000005304236,18,8,10
4198696000005326174,1,1,0
4198696000005376180,4,4,0
4198696000005387566,6,4,2
4198696000005450152,1,1,0
4198696000005614082,3,2,1
4198696000005698107,1,1,0
4198696000005814055,1,1,0
4198696000005387800,6,4,2
4198696000005905085,1,1,0
4198696000006085605,2,2,0
4198696000006285641,2,2,0
4198696000006583904,1,1,0
4198696000006632049,16,15,1
4198696000006703235,6,5,1
4198696000006703244,19,9,10
4198696000006780283,3,2,1
4198696000006842815,5,4,1
4198696000006945350,2,1,1
4198696000006945829,3,2,1
4198696000007161449,4,4,0
4198696000007365138,2,2,0
4198696000007365920,2,2,0
4198696000007440260,4,1,3
4198696000007660071,1,1,0
4198696000007744023,16,12,4
4198696000007762063,4,4,0
4198696000007813988,7,5,2
4198696000007971883,10,4,6
4198696000008244822,1,1,0
4198696000008012434,1,1,0
4198696000008411198,2,2,0
4198696000008583055,14,8,6
4198696000008680073,1,1,0
4198696000008899129,2,2,0
4198696000008817849,1,1,0
4198696000008862001,2,2,0
4198696000008865743,3,1,2
4198696000008973001,1,1,0
4198696000007811822,200,3,197
4198696000007811894,300,2,298
4198696000007811444,508,508,0
4198696000009101043,7,6,1
4198696000009101649,3,3,0
4198696000009192231,6,5,1
4198696000009417524,1,1,0
4198696000009452792,8,2,6
4198696000009530254,34,22,12
4198696000009530552,18,16,2
4198696000009774070,1,1,0
4198696000009774524,7,3,4
4198696000009817563,3,3,0
4198696000009867352,18,16,2
4198696000009988305,2,2,0
4198696000010251070,5,1,4
4198696000010251656,12,8,4
4198696000010341624,1,1,0
4198696000010346607,2,2,0
4198696000010435340,3,3,0
4198696000010661104,6,6,0
4198696000010703903,1,1,0
4198696000010840230,3,3,0
4198696000011147510,17,12,5
4198696000011274319,14,6,8
4198696000011274744,20,18,2
4198696000011409527,1,1,0
4198696000011326218,3,1,2
4198696000011326315,6,6,0
4198696000011482220,5,2,3
4198696000011880051,1,1,0
4198696000011718493,1,1,0
4198696000012033473,5,4,1
4198696000012057348,3,2,1
4198696000012057802,2,2,0
4198696000012094017,1,1,0
4198696000012190252,1,1,0
4198696000012225019,12,6,6
4198696000012225161,8,4,4
4198696000012301040,10,6,4
4198696000012316125,10,8,2
4198696000012368115,8,8,0
4198696000012467488,3,3,0
4198696000012700717,3,2,1
4198696000012723954,2,2,0
4198696000012819468,5,3,2
4198696000012835133,2,1,1
4198696000012848223,1,1,0
4198696000012887369,16,14,2
4198696000013095041,5,5,0
4198696000013123634,1,1,0
4198696000013360843,8,4,4
4198696000013375791,2,2,0
4198696000013478851,1,1,0
4198696000013486381,6,6,0
4198696000013569990,4,4,0
4198696000014168500,12,9,3
4198696000014221853,2,2,0
4198696000014348615,2,2,0
4198696000014370621,3,1,2
4198696000014457001,1,1,0
4198696000014520153,1,1,0
4198696000014520230,2,2,0
4198696000014527278,16,9,7
4198696000015097083,1,1,0
4198696000015213033,1,1,0
4198696000015225001,1,1,0
4198696000015289126,1,1,0
4198696000015355001,1,1,0
4198696000015436231,4,1,3
4198696000015436240,4,1,3
4198696000015464679,30,30,0
4198696000015464814,20,20,0
4198696000015465255,30,1,29
4198696000015683005,1,1,0
4198696000015724047,1,1,0
4198696000015745230,1,1,0
4198696000015960396,1,1,0
4198696000016640214,1,1,0
4198696000016994320,3,1,2
4198696000017698123,2,2,0
4198696000017698268,1,1,0
4198696000017698371,1,1,0
4198696000017767605,2,2,0
4198696000018177953,4,2,2
4198696000018170058,3,3,0
4198696000018234482,7,7,0
4198696000018519129,11,7,4
4198696000018668953,1,1,0
4198696000018673083,1,1,0
4198696000018673207,5,5,0
4198696000018727676,2,2,0
4198696000018794005,2,2,0
4198696000018794543,1,1,0
4198696000018835316,1,1,0
4198696000018902226,7,3,4
4198696000018902546,2,2,0
4198696000018914369,1,1,0
4198696000018934367,1,1,0
4198696000018934775,5,2,3
4198696000019067085,1,1,0
4198696000019011081,1,1,0
4198696000019011701,4,4,0
4198696000019073516,1,1,0
4198696000019073525,1,1,0
4198696000019073713,1,1,0
4198696000019394001,1,1,0
4198696000019511349,1,1,0
4198696000019511625,2,2,0
4198696000019560601,1,1,0
4198696000019836353,1,1,0
4198696000019847325,1,1,0
4198696000019847963,1,1,0
4198696000019870231,1,1,0
4198696000020033267,3,3,0
4198696000019941273,2,2,0
4198696000020178361,1,1,0
4198696000020315419,1,1,0
4198696000020419303,1,1,0
4198696000020471048,2,2,0
4198696000020621611,1,1,0
4198696000020666159,2,2,0
4198696000020698483,1,1,0
4198696000020885436,4,2,2
4198696000021263819,1,1,0
4198696000021426070,3,3,0
4198696000021432097,1,1,0
4198696000021997091,4,4,0
4198696000022154337,1,1,0
4198696000022154704,1,1,0
4198696000022194479,2,2,0
4198696000022280821,4,1,3
4198696000022307432,2,2,0
4198696000022307607,1,1,0
4198696000022465196,1,1,0
4198696000022597273,2,2,0
4198696000022650044,2,2,0
4198696000022764711,2,2,0
4198696000022933229,1,1,0
4198696000023132685,1,1,0
4198696000023200764,1,1,0
4198696000023351740,2,2,0
4198696000023429274,1,1,0
4198696000023429407,2,2,0
4198696000023416243,1,1,0
4198696000023629903,5,5,0
4198696000023852076,2,2,0
4198696000023999065,2,2,0
4198696000024047475,3,3,0
4198696000024259921,1,1,0
4198696000024324570,1,1,0
4198696000024415541,1,1,0
4198696000024764324,1,1,0
4198696000024805190,1,1,0
4198696000024993706,1,1,0
4198696000025051106,1,1,0
4198696000000140302,8,2,6
4198696000021263651,4,3,1
4198696000015965081,6,2,4
4198696000025832646,1,1,0
4198696000004421115,100,4,96
4198696000000139600,20,2,18
4198696000025902686,3,3,0
4198696000007121492,6,3,3
4198696000026351713,1,1,0
4198696000026448109,1,1,0
4198696000015864030,6,4,2
4198696000018627980,30,1,29
4198696000021143149,3,1,2
4198696000026792938,1,1,0
4198696000026763774,1,1,0
4198696000000836241,12,3,9
4198696000027128379,1,1,0
4198696000027297634,2,2,0
4198696000027301512,1,1,0
4198696000001045704,9,6,3
4198696000005321121,35,6,29
4198696000000862966,11,8,3
4198696000019847784,4,3,1
4198696000027402687,3,3,0
4198696000000143965,200,4,196
4198696000027643603,1,1,0
4198696000004161499,34.6,21.7,12.900000000000002
4198696000000679141,6,2,4
4198696000027915668,1,1,0
4198696000028005599,1,1,0
4198696000028021198,2,2,0
4198696000028104141,1,1,0
4198696000000141094,40,3,37
4198696000000864874,10,4,6
4198696000028303125,1,1,0
4198696000023124215,12,4,8
4198696000028282748,3,3,0
4198696000028282479,1,1,0
4198696000000861463,2,1,1
4198696000028427007,2,1,1
4198696000028427223,1,1,0
4198696000028506229,1,1,0
4198696000000670380,6,2,4
4198696000028558585,10,10,0
4198696000001674931,4,4,0
4198696000001041040,200,4,196
4198696000028722967,1,1,0
