Created Time,Vendor Name,Purchase Receive ID Count,Purchase Order ID Count
2023-09-12,Ningbo Sunshine Auto Parts Co,1,1
2023-09-12,,1,1
2023-09-20,Lapa Green - 30 Days Credit,1,1
2023-09-20,,1,1
2023-09-21,ACELUB (Aceites y Lubricantes) S.A. - 30 Days Credit,1,1
2023-09-21,,1,1
2023-09-28,ACELUB (Aceites y Lubricantes) S.A. - 30 Days Credit,1,1
2023-09-28,,1,1
2023-10-16,ARH DE ALAJUELA S.A. - 30 Days Credit,30,30
,Repuestos Barrio San Jose de Alajuela S.A. - 30 Days Credit,12,12
2023-10-16,,42,42
2023-10-17,ARH DE ALAJUELA S.A. - 30 Days Credit,1,1
2023-10-17,,1,1
2023-10-25,Capris S.A. - 30 Days Credit,1,1
2023-10-25,,1,1
2023-10-26,Importaciones RERE S.A. - 30 Days Credit,2,2
,Renapa S.A. - 60 Days Credit,2,2
2023-10-26,,4,4
2023-10-27,Gonher Autopartes de Costa Rica S.A.,1,1
,Rafael Pinto & CO S.A. (Prolusa),2,2
,Renapa S.A. - 60 Days Credit,8,8
2023-10-27,,11,11
2023-10-30,Rafael Pinto & CO S.A. (Prolusa),6,6
2023-10-30,,6,6
2023-11-07,Ningbo Sunshine Auto Parts Co,1,1
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2023-11-07,,2,2
2023-11-08,ARH DE ALAJUELA S.A. - 30 Days Credit,4,4
,AUTO REPUESTOS AVENIDA 10 S.A,1,1
,JSM Unity Costa Rica Sociedad Anonima - 30 Days Credit,1,1
,REMUSA - 30 Days Credit,3,3
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,2,2
2023-11-08,,11,11
2023-11-09,JSM Unity Costa Rica Sociedad Anonima - 30 Days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,1,1
,REMUSA - 30 Days Credit,2,2
2023-11-09,,4,4
2023-11-10,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2023-11-10,,2,2
2023-11-14,Renapa S.A. - 60 Days Credit,1,1
2023-11-14,,1,1
2023-11-15,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,2,2
,REMUSA - 30 Days Credit,1,1
2023-11-15,,4,4
2023-11-16,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,REMUSA - 30 Days Credit,1,1
2023-11-16,,2,2
2023-11-17,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2023-11-17,,1,1
2023-11-20,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,2,2
2023-11-20,,2,2
2023-11-21,IMPORTACIONES SOL DE KOBE S.A - 30 Days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,1,1
2023-11-21,,2,2
2023-11-22,IMPORTACIONES SOL DE KOBE S.A - 30 Days Credit,1,1
,REMUSA - 30 Days Credit,1,1
2023-11-22,,2,2
2023-11-23,REMUSA - 30 Days Credit,1,1
,Renapa S.A. - 60 Days Credit,1,1
2023-11-23,,2,2
2023-11-24,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,JSM Unity Costa Rica Sociedad Anonima - 30 Days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,2,2
,Renapa S.A. - 60 Days Credit,1,1
2023-11-24,,5,5
2023-11-27,G P FONTI SOCIEDAD,1,1
,REMUSA - 30 Days Credit,1,1
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2023-11-27,,3,3
2023-11-28,REMUSA - 30 Days Credit,1,1
,Renapa S.A. - 60 Days Credit,2,2
2023-11-28,,3,3
2023-11-29,Renapa S.A. - 60 Days Credit,1,1
2023-11-29,,1,1
2023-11-30,REMUSA - 30 Days Credit,1,1
,Renapa S.A. - 60 Days Credit,2,2
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2023-11-30,,4,4
2023-12-03,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,2,2
,Renapa S.A. - 60 Days Credit,5,5
2023-12-03,,7,7
2023-12-04,G P FONTI SOCIEDAD,1,1
,IMPORTACIONES SOL DE KOBE S.A - 30 Days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,2,2
,RYATMA REPUESTOS - 30 Days Credit,1,1
,Renapa S.A. - 60 Days Credit,1,1
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2023-12-04,,7,7
2023-12-05,KINSEI LIMITADA - 30 Days Credit,1,1
,REMUSA - 30 Days Credit,1,1
2023-12-05,,2,2
2023-12-06,ARH DE ALAJUELA S.A. - 30 Days Credit,1,1
,IMPORTACIONES SOL DE KOBE S.A - 30 Days Credit,4,4
,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,JSM Unity Costa Rica Sociedad Anonima - 30 Days Credit,1,1
,REMUSA - 30 Days Credit,1,1
,ROFERSA MOTOR,1,1
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2023-12-06,,10,10
2023-12-07,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,3,3
,REPUESTOS BIANCHI,1,1
,Renapa S.A. - 60 Days Credit,1,1
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2023-12-07,,6,6
2023-12-08,KINSEI LIMITADA - 30 Days Credit,2,2
,REMUSA - 30 Days Credit,2,2
,REPUESTOS BIANCHI,1,1
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2023-12-08,,6,6
2023-12-09,Renapa S.A. - 60 Days Credit,1,1
2023-12-09,,1,1
2023-12-11,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,JSM Unity Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2023-12-11,,2,2
2023-12-12,REMUSA - 30 Days Credit,1,1
,REPUESTOS BIANCHI,1,1
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2023-12-12,,3,3
2023-12-13,Capris S.A. - 30 Days Credit,1,1
,REPUESTOS BIANCHI,1,1
,Renapa S.A. - 60 Days Credit,1,1
2023-12-13,,3,3
2023-12-14,Ever Winning S.A - 30 Days Credit,1,1
,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,REPUESTOS BIANCHI,2,2
2023-12-14,,4,4
2023-12-15,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,1,1
,REMUSA - 30 Days Credit,1,1
,Renapa S.A. - 60 Days Credit,1,1
2023-12-15,,4,4
2023-12-16,Renapa S.A. - 60 Days Credit,2,2
2023-12-16,,2,2
2023-12-18,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,REMUSA - 30 Days Credit,1,1
,Rafael Pinto & CO S.A. (Prolusa),1,1
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2023-12-18,,4,4
2023-12-19,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,REPUESTOS BIANCHI,1,1
2023-12-19,,2,2
2023-12-20,Capris S.A. - 30 Days Credit,1,1
,Renapa S.A. - 60 Days Credit,1,1
2023-12-20,,2,2
2023-12-21,REMUSA - 30 Days Credit,1,1
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2023-12-21,,2,2
2023-12-22,JSM Unity Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2023-12-22,,1,1
2023-12-26,REPUESTOS BIANCHI,1,1
2023-12-26,,1,1
2023-12-27,REPUESTOS BIANCHI,1,1
2023-12-27,,1,1
2023-12-28,REPUESTOS BIANCHI,2,2
2023-12-28,,2,2
2023-12-29,REPUESTOS BIANCHI,2,2
2023-12-29,,2,2
2024-01-02,JSM Unity Costa Rica Sociedad Anonima - 30 Days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,1,1
2024-01-02,,2,2
2024-01-03,ARH DE ALAJUELA S.A. - 30 Days Credit,1,1
,JSM Unity Costa Rica Sociedad Anonima - 30 Days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,2,2
,Renapa S.A. - 60 Days Credit,1,1
2024-01-03,,5,5
2024-01-04,Capris S.A. - 30 Days Credit,1,1
,REMUSA - 30 Days Credit,1,1
,REPUESTOS BIANCHI,1,1
,Renapa S.A. - 60 Days Credit,1,1
2024-01-04,,4,4
2024-01-05,Ever Winning S.A - 30 Days Credit,1,1
,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,REPUESTOS BIANCHI,1,1
2024-01-05,,3,3
2024-01-06,REMUSA - 30 Days Credit,1,1
,Renapa S.A. - 60 Days Credit,1,1
2024-01-06,,2,2
2024-01-08,KINSEI LIMITADA - 30 Days Credit,2,2
2024-01-08,,2,2
2024-01-09,KINSEI LIMITADA - 30 Days Credit,2,2
2024-01-09,,2,2
2024-01-10,ARH DE ALAJUELA S.A. - 30 Days Credit,2,2
,KINSEI LIMITADA - 30 Days Credit,1,1
,REPUESTOS BIANCHI,1,1
2024-01-10,,4,4
2024-01-11,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,1,1
,REMUSA - 30 Days Credit,1,1
,Renapa S.A. - 60 Days Credit,1,1
2024-01-11,,4,4
2024-01-15,Ever Winning S.A - 30 Days Credit,1,1
,Renapa S.A. - 60 Days Credit,1,1
2024-01-15,,2,2
2024-01-16,KINSEI LIMITADA - 30 Days Credit,3,3
2024-01-16,,3,3
2024-01-17,Capris S.A. - 30 Days Credit,1,1
,REPUESTOS BIANCHI,2,2
,Rafael Pinto & CO S.A. (Prolusa),1,1
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2024-01-17,,5,5
2024-01-18,Capris S.A. - 30 Days Credit,1,1
,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,2,2
,REMUSA - 30 Days Credit,3,3
,Renapa S.A. - 60 Days Credit,2,2
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2024-01-18,,10,10
2024-01-19,Capris S.A. - 30 Days Credit,1,1
,REMUSA - 30 Days Credit,4,4
,Renapa S.A. - 60 Days Credit,1,1
2024-01-19,,6,6
2024-01-20,ARH DE ALAJUELA S.A. - 30 Days Credit,1,1
,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,Repuestos Barrio San Jose de Alajuela S.A. - 30 Days Credit,1,1
2024-01-20,,3,3
2024-01-22,Renapa S.A. - 60 Days Credit,1,1
2024-01-22,,1,1
2024-01-23,REMUSA - 30 Days Credit,1,1
,REPUESTOS BIANCHI,1,1
,Renapa S.A. - 60 Days Credit,2,2
,SERVIREPUESTOS JG SA,1,1
2024-01-23,,5,5
2024-01-24,Capris S.A. - 30 Days Credit,1,1
,ROFERSA MOTOR,1,1
,Renapa S.A. - 60 Days Credit,1,1
2024-01-24,,3,3
2024-01-25,IMPORTACIONES SOL DE KOBE S.A - 30 Days Credit,1,1
,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,REPUESTOS & ACCESORIOS LOS PATICAS,1,1
,REPUESTOS BIANCHI,1,1
,Renapa S.A. - 60 Days Credit,3,3
2024-01-25,,7,7
2024-01-26,KINSEI LIMITADA - 30 Days Credit,1,1
,Renapa S.A. - 60 Days Credit,8,8
2024-01-26,,9,9
2024-01-29,REMUSA - 30 Days Credit,2,2
,REPUESTOS BIANCHI,1,1
,Renapa S.A. - 60 Days Credit,2,2
2024-01-29,,5,5
2024-01-30,KINSEI LIMITADA - 30 Days Credit,1,1
,REMUSA - 30 Days Credit,1,1
2024-01-30,,2,2
2024-01-31,ARH DE ALAJUELA S.A. - 30 Days Credit,1,1
,REPUESTOS TENORIO S.A,1,1
,Renapa S.A. - 60 Days Credit,2,2
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2024-01-31,,5,5
2024-02-01,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,2,2
,REMUSA - 30 Days Credit,1,1
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,2,2
2024-02-01,,6,6
2024-02-02,IMPORTADORA BRIGO INTERNACIONAL S.A. - 30 days Credit,1,1
,KINSEI LIMITADA - 30 Days Credit,1,1
,REMUSA - 30 Days Credit,1,1
,REPUESTOS BIANCHI,1,1
,Renapa S.A. - 60 Days Credit,1,1
,Vazlo Costa Rica Sociedad Anonima - 30 Days Credit,1,1
2024-02-02,,6,6
2024-02-03,REMUSA - 30 Days Credit,1,1
,REPUESTOS BIANCHI,2,2
2024-02-03,,3,3
2024-02-05,IMPORTACIONES SOL DE KOBE S.A - 30 Days Credit,1,1
,JSM Unity Costa Rica Sociedad Anonima - 30 Days Credit,1,1
