SKU,Product_ID,Invoice_Date,Line_Quantity,Line_Total_BCY
,4198696000000633084,25 Sep 2023,1.00,2947.12
,4198696000000633086,25 Sep 2023,1.00,47.96
,4198696000000724004,06 Oct 2023,1.00,1411.5
,4198696000000824494,24 Oct 2023,1.00,176.99
,4198696000000945049,01 Nov 2023,2.00,4424.78
,4198696000001120160,09 Nov 2023,1.00,36283.19
,4198696000001122258,09 Nov 2023,1.00,88.5
,4198696000001122260,09 Nov 2023,1.00,2703.47
,4198696000001122262,09 Nov 2023,2.00,7818.35
,4198696000001122371,09 Nov 2023,4.00,9662.94
,4198696000001122373,09 Nov 2023,1.00,2703.47
,4198696000001122375,09 Nov 2023,1.00,2713.38
,4198696000001122377,09 Nov 2023,1.00,5265.91
,4198696000001122379,09 Nov 2023,1.00,6857.66
,4198696000001122381,09 Nov 2023,1.00,1424.89
,4198696000001166017,11 Nov 2023,1.00,15929.2
,4198696000001197075,14 Nov 2023,2.00,33097.35
,4198696000001201314,15 Nov 2023,2.00,13451.33
,4198696000001201316,15 Nov 2023,2.00,14159.29
,4198696000001338050,21 Nov 2023,4.00,8141.59
,4198696000001344004,21 Nov 2023,1.00,28141.59
,4198696000001358233,22 Nov 2023,1.00,5398.23
,4198696000001490180,29 Nov 2023,1.00,6194.69
,4198696000001490182,29 Nov 2023,1.00,12212.39
,4198696000001490184,29 Nov 2023,6.00,1858.41
,4198696000001490319,29 Nov 2023,1.00,33008.85
,4198696000001490321,29 Nov 2023,1.00,11592.92
,4198696000001491041,29 Nov 2023,1.00,9823.01
,4198696000001523048,30 Nov 2023,1.00,4119.47
,4198696000001523050,30 Nov 2023,1.00,15384.96
,4198696000001523052,30 Nov 2023,1.00,10929.2
,4198696000001523054,30 Nov 2023,1.00,26566.37
,4198696000001531030,30 Nov 2023,1.00,9646.02
,4198696000001563043,02 Dec 2023,1.00,11601.77
,4198696000001563045,02 Dec 2023,1.00,11601.77
,4198696000001563047,02 Dec 2023,1.00,12190.27
,4198696000001567004,02 Dec 2023,1.00,17345.13
,4198696000001567006,02 Dec 2023,1.00,17345.13
,4198696000001567008,02 Dec 2023,2.00,3539.82
,4198696000001567010,02 Dec 2023,2.00,2300.88
,4198696000001631158,04 Dec 2023,1.00,10619.47
,4198696000001640350,05 Dec 2023,1.00,4601.77
,4198696000001640552,05 Dec 2023,1.00,4867.26
