Product_ID,On_Hand_Qty,On_Hand_Source
4198696000000137053,5,INFLOW
4198696000000137341,6,INFLOW
4198696000000138205,50,INFLOW
4198696000000138493,4,INFLOW
4198696000000139357,50,INFLOW
4198696000000139501,30,INFLOW
4198696000000139789,90,INFLOW
4198696000000141085,38,INFLOW
4198696000000141373,36,INFLOW
4198696000000141805,0,INFLOW
4198696000000142669,20,INFLOW
4198696000000143245,19,INFLOW
4198696000000143965,196,INFLOW
4198696000000144109,18,INFLOW
4198696000000144397,10,INFLOW
4198696000000670047,5,INFLOW
4198696000000678583,2,INFLOW
4198696000000679159,2,INFLOW
4198696000000844039,10,INFLOW
4198696000000860923,5,INFLOW
4198696000000861355,7,INFLOW
4198696000000863803,6,INFLOW
4198696000000864667,2,INFLOW
4198696000000864955,4,INFLOW
4198696000000865675,2,INFLOW
4198696000000866107,2,INFLOW
4198696000000897279,3,INFLOW
4198696000000897567,1,INFLOW
4198696000000897711,2,INFLOW
4198696000000897999,1,INFLOW
4198696000000898431,2,INFLOW
4198696000000899151,1,INFLOW
4198696000000899727,12,INFLOW
4198696000001040086,40,INFLOW
4198696000001046091,4,INFLOW
4198696000001046235,5,INFLOW
4198696000001046523,1,INFLOW
4198696000001048311,19,INFLOW
4198696000001096349,3,INFLOW
4198696000001406282,1,INFLOW
4198696000001406570,2,INFLOW
4198696000001407578,1,INFLOW
4198696000001408298,2,INFLOW
4198696000001610540,4,INFLOW
4198696000001610828,4,INFLOW
4198696000001610972,4,INFLOW
4198696000001611692,4,INFLOW
4198696000001611980,2,INFLOW
4198696000001612124,0,INFLOW
4198696000001613132,2,INFLOW
4198696000001613708,7,INFLOW
4198696000001613852,2,INFLOW
4198696000001614428,2,INFLOW
4198696000001614572,1,INFLOW
4198696000001614860,4,INFLOW
4198696000001615004,0,INFLOW
4198696000002566078,0,INFLOW
4198696000002614201,0,INFLOW
4198696000002744001,0,INFLOW
4198696000002921171,0,INFLOW
4198696000003000397,0,INFLOW
4198696000003215001,8,INFLOW
4198696000004224366,0,INFLOW
4198696000004421475,43,INFLOW
4198696000004421776,0,INFLOW
4198696000004483178,0,INFLOW
4198696000004546406,0,INFLOW
4198696000004629839,50,INFLOW
4198696000005387719,2,INFLOW
4198696000005914684,0,INFLOW
4198696000006120547,0,INFLOW
4198696000006361380,3,INFLOW
4198696000007471557,2,INFLOW
4198696000007811372,459,INFLOW
4198696000007811948,199,INFLOW
4198696000007812524,96,INFLOW
4198696000008096143,0,INFLOW
4198696000008289967,2,INFLOW
4198696000009101649,0,INFLOW
4198696000009964065,0,INFLOW
4198696000010698533,0,INFLOW
4198696000010936655,0,INFLOW
4198696000011064218,2,INFLOW
4198696000011064347,0,INFLOW
4198696000011326297,0,INFLOW
4198696000011940232,0,INFLOW
4198696000012064236,0,INFLOW
4198696000012114667,4,INFLOW
4198696000012240128,7,INFLOW
4198696000012368057,4,INFLOW
4198696000012723954,0,INFLOW
4198696000012887314,0,INFLOW
4198696000013663389,0,INFLOW
4198696000014025212,2,INFLOW
4198696000015314494,3,INFLOW
4198696000015950461,1,INFLOW
4198696000016070190,0,INFLOW
4198696000016370480,0,INFLOW
4198696000016723650,0,INFLOW
4198696000017581232,1,INFLOW
4198696000017698123,0,INFLOW
4198696000018627764,50,INFLOW
4198696000018668953,0,INFLOW
4198696000018837153,0,INFLOW
4198696000018863774,1,INFLOW
4198696000019667599,0,INFLOW
4198696000019785073,0,INFLOW
4198696000020251919,0,INFLOW
4198696000020417684,3,INFLOW
4198696000021997091,0,INFLOW
4198696000022154337,0,INFLOW
4198696000022933561,0,INFLOW
4198696000023129616,0,INFLOW
4198696000023434540,0,INFLOW
4198696000026057291,0,INFLOW
4198696000026792938,0,INFLOW
4198696000027395677,1,INFLOW
4198696000028046163,0,INFLOW
4198696000028303125,0,INFLOW
4198696000028506229,0,INFLOW
4198696000029326974,0,INFLOW
4198696000029926159,0,INFLOW
4198696000030354647,0,INFLOW
4198696000030710522,0,INFLOW
4198696000031243601,0,INFLOW
4198696000031526138,0,INFLOW
4198696000033252859,0,INFLOW
4198696000000136540,19,INFLOW
4198696000000137692,43,INFLOW
4198696000000141292,40,INFLOW
4198696000000144604,20,INFLOW
4198696000000602491,42,INFLOW
4198696000000669534,3,INFLOW
4198696000000670686,0,INFLOW
4198696000000676774,12,INFLOW
4198696000000677638,2,INFLOW
4198696000000677926,1,INFLOW
4198696000000678214,2,INFLOW
4198696000000678358,2,INFLOW
4198696000000860842,3,INFLOW
4198696000000861130,2,INFLOW
4198696000000861994,1,INFLOW
4198696000000863578,8,INFLOW
4198696000000864586,4,INFLOW
4198696000000864730,4,INFLOW
4198696000000864874,6,INFLOW
4198696000000865738,5,INFLOW
4198696000000897486,2,INFLOW
4198696000000897774,0,INFLOW
4198696000001045722,0,INFLOW
4198696000001046730,1,INFLOW
4198696000001089208,0,INFLOW
4198696000001406777,1,INFLOW
4198696000001610459,4,INFLOW
4198696000001610891,3,INFLOW
4198696000001611035,4,INFLOW
4198696000001611323,4,INFLOW
4198696000001611755,1,INFLOW
4198696000001612763,2,INFLOW
4198696000001613051,4,INFLOW
4198696000001613339,1,INFLOW
4198696000001614059,2,INFLOW
4198696000001614491,1,INFLOW
4198696000003065056,0,INFLOW
4198696000003142001,9,INFLOW
4198696000003252580,1,INFLOW
4198696000003338396,3,INFLOW
4198696000003484028,0,INFLOW
4198696000003661309,4,INFLOW
4198696000003679439,3,INFLOW
4198696000003944291,0,INFLOW
4198696000003952946,10,INFLOW
4198696000004116299,2,INFLOW
4198696000004150034,0,INFLOW
4198696000004417745,48,INFLOW
4198696000004420033,98,INFLOW
4198696000004421394,97,INFLOW
4198696000004629758,94,INFLOW
4198696000004629902,100,INFLOW
4198696000004630046,197,INFLOW
4198696000005037853,0,INFLOW
4198696000006129106,0,INFLOW
4198696000006468963,0,INFLOW
4198696000006753001,0,INFLOW
4198696000006780198,1,INFLOW
4198696000006945350,1,INFLOW
4198696000007744023,4,INFLOW
4198696000007811723,192,INFLOW
4198696000007812443,200,INFLOW
4198696000007889808,0,INFLOW
4198696000008012434,0,INFLOW
4198696000008184001,0,INFLOW
4198696000008352163,0,INFLOW
4198696000008411198,0,INFLOW
4198696000008680073,0,INFLOW
4198696000008899129,0,INFLOW
4198696000009282081,0,INFLOW
4198696000009409576,0,INFLOW
4198696000009530281,4,INFLOW
4198696000010435172,0,INFLOW
4198696000010547460,3,INFLOW
4198696000010636979,0,INFLOW
4198696000010840401,0,INFLOW
4198696000011063411,0,INFLOW
4198696000011064254,2,INFLOW
4198696000011175187,1,INFLOW
4198696000011482220,3,INFLOW
4198696000011490754,1,INFLOW
4198696000012103090,1,INFLOW
4198696000012121051,4,INFLOW
4198696000012176907,3,INFLOW
4198696000012182367,4,INFLOW
4198696000012225179,4,INFLOW
4198696000012316116,2,INFLOW
4198696000012342122,2,INFLOW
4198696000012342992,1,INFLOW
4198696000012410108,6,INFLOW
4198696000012720591,13,INFLOW
4198696000012819179,1,INFLOW
4198696000012835133,1,INFLOW
4198696000013095054,0,INFLOW
4198696000013123634,0,INFLOW
4198696000013924399,4,INFLOW
4198696000013967165,0,INFLOW
4198696000014307152,0,INFLOW
4198696000015063122,0,INFLOW
4198696000015289363,4,INFLOW
4198696000015960090,2,INFLOW
4198696000016362450,0,INFLOW
4198696000017005147,0,INFLOW
4198696000017812065,2,INFLOW
4198696000018262412,2,INFLOW
4198696000018430019,0,INFLOW
4198696000018627971,26,INFLOW
4198696000018794005,0,INFLOW
4198696000018843371,2,INFLOW
4198696000018902631,0,INFLOW
4198696000018934346,0,INFLOW
4198696000019011701,0,INFLOW
4198696000019061970,0,INFLOW
4198696000019836007,0,INFLOW
4198696000021426934,0,INFLOW
4198696000022194479,0,INFLOW
4198696000022460097,0,INFLOW
4198696000022785504,3,INFLOW
4198696000024047735,0,INFLOW
4198696000024274198,0,INFLOW
4198696000024424260,0,INFLOW
4198696000026045364,0,INFLOW
4198696000026460498,0,INFLOW
4198696000026728512,1,INFLOW
4198696000027576355,0,INFLOW
4198696000027951823,0,INFLOW
4198696000028427007,1,INFLOW
4198696000029319179,0,INFLOW
4198696000030366156,0,INFLOW
4198696000030956094,0,INFLOW
4198696000000137206,6,INFLOW
4198696000000137638,50,INFLOW
4198696000000137782,50,INFLOW
4198696000000139942,10,INFLOW
4198696000000141094,37,INFLOW
4198696000000141814,2,INFLOW
4198696000000142678,13,INFLOW
4198696000000143398,3,INFLOW
4198696000000143542,0,INFLOW
4198696000000588241,13,INFLOW
4198696000000669768,0,INFLOW
4198696000000678016,0,INFLOW
4198696000000678448,3,INFLOW
4198696000000678736,3,INFLOW
4198696000000844048,16,INFLOW
4198696000000863236,6,INFLOW
4198696000000863524,1,INFLOW
4198696000000864100,2,INFLOW
4198696000000864532,4,INFLOW
4198696000000864964,4,INFLOW
4198696000000865828,2,INFLOW
4198696000000898728,5,INFLOW
4198696000000899016,4,INFLOW
4198696000000899736,4,INFLOW
4198696000001039951,6,INFLOW
4198696000001040095,40,INFLOW
4198696000001040383,8,INFLOW
4198696000001040959,197,INFLOW
4198696000001108207,0,INFLOW
4198696000001407011,4,INFLOW
4198696000001481320,4,INFLOW
4198696000001610693,4,INFLOW
4198696000001611557,4,INFLOW
4198696000001612565,4,INFLOW
4198696000001613141,2,INFLOW
4198696000001613861,4,INFLOW
4198696000001614149,0,INFLOW
4198696000001614293,3,INFLOW
4198696000001614869,2,INFLOW
4198696000001674769,2,INFLOW
4198696000001937010,5,INFLOW
4198696000002192421,0,INFLOW
4198696000002318019,0,INFLOW
4198696000002622557,0,INFLOW
4198696000002744014,1,INFLOW
4198696000002976593,0,INFLOW
4198696000003159088,2,INFLOW
4198696000003594330,0,INFLOW
4198696000003952892,3,INFLOW
4198696000004015152,12,INFLOW
4198696000004224515,0,INFLOW
4198696000004325122,1,INFLOW
4198696000004629560,97,INFLOW
4198696000004882544,0,INFLOW
4198696000004993740,0,INFLOW
4198696000005326797,0,INFLOW
4198696000005698107,0,INFLOW
4198696000005766037,1,INFLOW
4198696000006085587,1,INFLOW
4198696000006468147,0,INFLOW
4198696000006545489,11,INFLOW
4198696000006603002,9,INFLOW
4198696000006693137,0,INFLOW
4198696000006998311,1,INFLOW
4198696000007151077,0,INFLOW
4198696000007365046,0,INFLOW
4198696000007660071,0,INFLOW
4198696000007811669,193,INFLOW
4198696000007811957,191,INFLOW
4198696000007812101,191,INFLOW
4198696000007812389,195,INFLOW
4198696000008581189,2,INFLOW
4198696000008585086,1,INFLOW
4198696000008589176,0,INFLOW
4198696000009409281,0,INFLOW
4198696000009417207,0,INFLOW
4198696000009895291,0,INFLOW
4198696000010315310,2,INFLOW
4198696000010596306,4,INFLOW
4198696000010820041,2,INFLOW
4198696000010936677,8,INFLOW
4198696000011011089,1,INFLOW
4198696000011063647,1,INFLOW
4198696000011064227,2,INFLOW
4198696000011064356,0,INFLOW
4198696000011064504,0,INFLOW
4198696000012360300,4,INFLOW
4198696000012410794,4,INFLOW
4198696000012887369,2,INFLOW
4198696000013354829,5,INFLOW
4198696000013387033,0,INFLOW
4198696000013663488,0,INFLOW
4198696000015464715,27,INFLOW
4198696000015465003,24,INFLOW
4198696000015465147,21,INFLOW
4198696000015527335,20,INFLOW
4198696000015683491,0,INFLOW
4198696000015720067,0,INFLOW
4198696000015965072,5,INFLOW
4198696000016070425,2,INFLOW
4198696000016245404,0,INFLOW
4198696000016723659,0,INFLOW
4198696000016879723,0,INFLOW
4198696000017581598,2,INFLOW
4198696000017641019,0,INFLOW
4198696000017698268,0,INFLOW
4198696000017767605,0,INFLOW
4198696000017986590,0,INFLOW
4198696000018177953,2,INFLOW
4198696000018234482,0,INFLOW
