Creditnotes refund ID,Refund Date,Account ID,Amount (BCY),Created Time,Last Modified Time
4198696000000824707,24 Oct 2023,4198696000000000361,CRC 100.00,2023-10-24 16:15:12,2023-10-24 16:15:12
4198696000001067046,07 Nov 2023,4198696000000418009,"CRC 2,800.00",2023-11-07 12:45:55,2023-11-09 15:05:43
4198696000001342013,21 Nov 2023,4198696000000418009,"CRC 7,600.00",2023-11-21 13:27:02,2023-11-21 13:27:02
4198696000001358639,22 Nov 2023,4198696000000418009,"CRC 9,200.00",2023-11-22 17:19:30,2023-11-22 17:19:30
4198696000001858055,13 Dec 2023,4198696000000418009,"CRC 2,600.00",2023-12-13 15:06:28,2023-12-13 15:06:44
4198696000001878634,15 Dec 2023,4198696000000000361,"CRC 5,400.00",2023-12-15 17:41:17,2023-12-15 17:41:17
4198696000001971570,19 Dec 2023,4198696000000418009,"CRC 13,400.00",2023-12-19 17:45:04,2023-12-19 17:45:04
4198696000002104025,26 Dec 2023,4198696000000418009,"CRC 7,600.00",2023-12-26 10:13:27,2023-12-26 10:13:27
4198696000002188294,03 Jan 2024,4198696000000418009,"CRC 9,000.00",2024-01-03 17:44:07,2024-01-09 14:40:57
4198696000002202080,29 Dec 2023,4198696000000418017,"CRC 18,430.00",2023-12-29 17:10:01,2024-01-08 10:23:14
4198696000002250008,04 Jan 2024,4198696000000418009,CRC 200.00,2024-01-04 13:44:47,2024-01-04 13:44:47
4198696000002427705,11 Jan 2024,4198696000000418009,"CRC 35,340.00",2024-01-11 15:39:46,2024-01-11 15:39:46
4198696000002427755,11 Jan 2024,4198696000000418009,"CRC 26,800.00",2024-01-11 16:02:55,2024-01-11 16:02:55
4198696000002461027,12 Jan 2024,4198696000000418009,"CRC 35,100.00",2024-01-12 10:32:23,2024-01-12 10:32:23
4198696000002581009,17 Jan 2024,4198696000000375167,"CRC 6,900.00",2024-01-17 09:49:30,2024-01-17 09:49:30
4198696000002670087,22 Jan 2024,4198696000000375167,"CRC 64,100.00",2024-01-22 11:51:41,2024-01-22 11:51:41
4198696000002670707,23 Jan 2024,4198696000000418009,CRC 700.00,2024-01-23 14:01:23,2024-01-23 14:01:23
