Estimate ID,Estimate Date,Estimate Number,Status,Customer ID,Due Date,Sub Total (BCY),Total (BCY),Adjustment (BCY),Sales Person ID,Last Modified Time,Created Time,Discount (%),Purchase Order#,Currency Code,Exchange Rate,CRM Reference ID
4198696000000943003,01 Nov 2023,EST-000001,sent,4198696000000927001,,"CRC 109,646.01",CRC 123.90K,CRC 0.00,4198696000000396007,2023-11-01 22:40:29,2023-11-01 22:38:53,CRC 0.00,,CRC,CRC 1.00,
4198696000000986035,04 Nov 2023,EST-000002,draft,4198696000000917003,,"CRC 45,663.71",CRC 51.60K,CRC 0.00,4198696000000396007,2023-11-04 12:32:10,2023-11-04 12:29:05,CRC 0.00,,CRC,CRC 1.00,
4198696000001062001,07 Nov 2023,EST-000003,sent,4198696000001061003,,"CRC 61,769.92",CRC 69.80K,CRC 0.00,4198696000000396023,2023-11-07 12:10:41,2023-11-07 11:05:02,CRC 0.00,,CRC,CRC 1.00,
4198696000001117001,09 Nov 2023,EST-000004,sent,4198696000001112003,,"CRC 107,256.64",CRC 121.20K,CRC 0.00,4198696000000396023,2023-11-09 10:50:58,2023-11-09 10:43:31,CRC 0.00,,CRC,CRC 1.00,
4198696000001124001,09 Nov 2023,EST-000005,sent,4198696000001123003,,"CRC 92,035.40",CRC 104.00K,CRC 0.00,4198696000000396023,2023-11-09 12:19:11,2023-11-09 12:17:16,CRC 0.00,,CRC,CRC 1.00,
4198696000001143023,10 Nov 2023,EST-000008,sent,4198696000001112003,,"CRC 23,008.87",CRC 26.00K,CRC 0.00,4198696000000396023,2023-11-10 16:53:20,2023-11-10 16:53:07,CRC 0.00,,CRC,CRC 1.00,
4198696000001145011,10 Nov 2023,EST-000006,sent,4198696000001112003,,"CRC 433,185.85",CRC 489.50K,CRC 0.00,4198696000000396023,2023-11-10 10:54:16,2023-11-10 10:54:01,CRC 0.00,,CRC,CRC 1.00,
4198696000001152001,10 Nov 2023,EST-000007,sent,4198696000001112003,,"CRC 61,415.91",CRC 69.40K,CRC 0.00,4198696000000396023,2023-11-10 12:19:56,2023-11-10 12:19:44,CRC 0.00,,CRC,CRC 1.00,
4198696000001266001,17 Nov 2023,EST-000009,sent,4198696000001112003,,"CRC 57,787.62",CRC 65.30K,CRC 0.00,4198696000000396015,2023-11-17 12:03:43,2023-11-17 12:01:29,CRC 0.00,,CRC,CRC 1.00,
4198696000001294001,20 Nov 2023,EST-000010,sent,4198696000001112003,,"CRC 81,061.94",CRC 91.60K,CRC 0.00,4198696000000396023,2023-11-20 09:22:37,2023-11-20 09:22:13,CRC 0.00,,CRC,CRC 1.00,
4198696000001332023,21 Nov 2023,EST-000011,sent,4198696000001112003,,"CRC 19,823.01",CRC 22.40K,CRC 0.00,4198696000000396023,2023-11-21 16:46:26,2023-11-21 16:46:12,CRC 0.00,,CRC,CRC 1.00,
4198696000001355085,22 Nov 2023,EST-000012,draft,4198696000001112003,,"CRC 733,628.31",CRC 829.00K,CRC 0.00,4198696000000396023,2023-11-22 17:55:26,2023-11-22 17:55:26,CRC 0.00,,CRC,CRC 1.00,
4198696000001638017,04 Dec 2023,EST-000013,draft,4198696000000917003,,"CRC 3,185.84",CRC 3.60K,CRC 0.00,4198696000000396021,2023-12-04 12:21:36,2023-12-04 12:21:36,CRC 0.00,TEST,CRC,CRC 1.00,
4198696000001651033,05 Dec 2023,EST-000014,expired,4198696000001655005,19 Dec 2023,"CRC 19,084.07",CRC 21.57K,CRC 0.00,4198696000000396007,2023-12-05 12:12:41,2023-12-05 12:12:28,CRC 0.00,,CRC,CRC 1.00,
4198696000001778001,12 Dec 2023,EST-000015,draft,4198696000001779003,12 Dec 2023,"CRC 111,327.44",CRC 125.80K,CRC 0.00,4198696000000396015,2023-12-12 10:34:06,2023-12-12 10:29:04,CRC 0.00,,CRC,CRC 1.00,
4198696000002076001,22 Dec 2023,EST-000016,sent,4198696000001112003,,"CRC 28,938.05",CRC 32.70K,CRC 0.00,4198696000000396015,2023-12-22 15:04:32,2023-12-22 12:53:28,CRC 0.00,,CRC,CRC 1.00,
4198696000002270033,05 Jan 2024,EST-000017,draft,4198696000001655005,,"CRC 4,690.27",CRC 5.30K,CRC 0.00,4198696000002000078,2024-01-05 10:15:32,2024-01-05 10:15:32,CRC 0.00,,CRC,CRC 1.00,
4198696000002354001,09 Jan 2024,EST-000018,draft,4198696000002352003,12 Jan 2024,"CRC 105,486.72",CRC 119.20K,CRC 0.00,4198696000000396007,2024-01-09 12:09:42,2024-01-09 12:09:42,CRC 0.00,,CRC,CRC 1.00,
4198696000002585104,19 Jan 2024,EST-000019,draft,4198696000002605048,20 Jan 2024,"CRC 77,367.26",CRC 87.42K,CRC 0.00,4198696000000396015,2024-01-19 11:06:10,2024-01-19 11:06:10,CRC 0.00,,CRC,CRC 1.00,
4198696000002624013,19 Jan 2024,EST-000020,draft,4198696000002605048,,"CRC 54,269.91",CRC 61.33K,CRC 0.00,4198696000000396015,2024-01-19 11:23:58,2024-01-19 11:23:58,CRC 0.00,,CRC,CRC 1.00,
4198696000002866061,30 Jan 2024,EST-000021,draft,4198696000001112003,,"CRC 80,530.98",CRC 91.00K,CRC 0.00,4198696000000396015,2024-01-30 12:29:17,2024-01-30 12:29:17,CRC 0.00,,CRC,CRC 1.00,
4198696000002899095,01 Feb 2024,EST-000022,draft,4198696000002898109,,"CRC 121,238.94",CRC 137.00K,CRC 0.00,4198696000000396015,2024-02-06 14:35:09,2024-02-01 15:47:18,CRC 0.00,,CRC,CRC 1.00,
4198696000002932001,02 Feb 2024,EST-000023,draft,4198696000002931003,,"CRC 41,150.44",CRC 46.50K,CRC 0.00,4198696000000396023,2024-02-02 13:30:12,2024-02-02 13:30:12,CRC 0.00,,CRC,CRC 1.00,
4198696000002985091,06 Feb 2024,EST-000024,draft,4198696000002605048,,"CRC 225,309.73",CRC 254.60K,CRC 0.00,4198696000000396015,2024-02-06 12:28:07,2024-02-06 12:09:28,CRC 0.00,,CRC,CRC 1.00,
4198696000002993127,06 Feb 2024,EST-000025,draft,4198696000002605048,,"CRC 64,778.76",CRC 73.20K,CRC 0.00,4198696000000396015,2024-02-06 12:14:31,2024-02-06 12:14:31,CRC 0.00,,CRC,CRC 1.00,
4198696000003003067,06 Feb 2024,EST-000026,draft,4198696000002605048,,"CRC 58,230.09",CRC 65.80K,CRC 0.00,4198696000000396015,2024-02-06 12:15:44,2024-02-06 12:15:44,CRC 0.00,,CRC,CRC 1.00,
4198696000003131001,14 Feb 2024,EST-000027,draft,4198696000002605048,,"CRC 70,176.99",CRC 79.30K,CRC 0.00,4198696000000396015,2024-02-14 09:28:55,2024-02-14 09:25:50,CRC 0.00,,CRC,CRC 1.00,
4198696000003266059,19 Feb 2024,EST-000028,draft,4198696000002898109,,"CRC 184,070.80",CRC 208.00K,CRC 0.00,4198696000000396015,2024-02-19 12:03:13,2024-02-19 12:03:13,CRC 0.00,,CRC,CRC 1.00,
4198696000003320197,20 Feb 2024,EST-000029,draft,4198696000002898109,,"CRC 284,867.27",CRC 321.90K,CRC 0.00,4198696000000396015,2024-02-20 17:25:50,2024-02-20 17:21:59,CRC 0.00,,CRC,CRC 1.00,
4198696000003348053,21 Feb 2024,EST-000031,draft,4198696000002605048,,"CRC 118,053.10",CRC 133.40K,CRC 0.00,4198696000000396015,2024-02-21 14:30:52,2024-02-21 14:30:13,CRC 0.00,,CRC,CRC 1.00,
4198696000003351019,21 Feb 2024,EST-000030,sent,4198696000003346015,,"CRC 97,876.11",CRC 110.60K,CRC 0.00,4198696000000396009,2024-02-21 11:45:08,2024-02-21 11:43:44,CRC 0.00,,CRC,CRC 1.00,
4198696000003414002,23 Feb 2024,EST-000032,draft,4198696000002605048,,"CRC 64,955.75",CRC 73.40K,CRC 0.00,4198696000000396015,2024-02-23 12:32:38,2024-02-23 12:26:25,CRC 0.00,,CRC,CRC 1.00,
4198696000003682028,05 Mar 2024,EST-000033,draft,4198696000002605048,,"CRC 95,044.25",CRC 107.40K,CRC 0.00,4198696000000396015,2024-03-05 13:48:08,2024-03-05 13:47:17,CRC 0.00,,CRC,CRC 1.00,
4198696000003738011,06 Mar 2024,EST-000034,draft,4198696000002898109,,"CRC 63,097.35",CRC 71.30K,CRC 0.00,4198696000000396015,2024-03-06 15:44:20,2024-03-06 15:44:20,CRC 0.00,,CRC,CRC 1.00,
4198696000003838047,18 Mar 2024,EST-000036,draft,4198696000002352003,,"CRC 35,752.21",CRC 40.40K,CRC 0.00,4198696000000396007,2024-03-11 12:53:49,2024-03-11 12:53:49,CRC 0.00,,CRC,CRC 1.00,
4198696000003841047,11 Mar 2024,EST-000037,draft,4198696000003843031,,"CRC 533,893.74",CRC 603.30K,CRC 0.00,4198696000000396023,2024-03-11 12:59:38,2024-03-11 12:59:38,CRC 0.00,,CRC,CRC 1.00,
4198696000003846001,11 Mar 2024,EST-000035,draft,4198696000003837021,,"CRC 12,743.36",CRC 14.40K,CRC 0.00,4198696000000396023,2024-03-11 11:08:18,2024-03-11 11:08:18,CRC 0.00,,CRC,CRC 1.00,
4198696000003848061,11 Mar 2024,EST-000038,draft,4198696000003836091,,"CRC 46,725.66",CRC 52.80K,CRC 0.00,4198696000000396009,2024-03-11 17:05:55,2024-03-11 17:05:55,CRC 0.00,,CRC,CRC 1.00,
4198696000004063001,19 Mar 2024,EST-000039,draft,4198696000002898109,,"CRC 61,061.94",CRC 69.00K,CRC 0.00,4198696000000396015,2024-03-19 09:20:14,2024-03-19 09:20:14,CRC 0.00,,CRC,CRC 1.00,
4198696000004072033,19 Mar 2024,EST-000041,draft,4198696000004072003,,"CRC 66,371.68",CRC 75.00K,CRC 0.00,4198696000004090001,2024-03-19 16:27:46,2024-03-19 16:27:46,CRC 0.00,,CRC,CRC 1.00,
4198696000004090003,19 Mar 2024,EST-000040,draft,4198696000004072003,,"CRC 242,938.05",CRC 274.52K,CRC 0.00,4198696000004090001,2024-03-19 15:48:11,2024-03-19 15:48:11,CRC 0.00,,CRC,CRC 1.00,
4198696000004112019,21 Mar 2024,EST-000042,draft,4198696000004072003,,"CRC 236,283.19",CRC 267.00K,CRC 0.00,4198696000004090001,2024-03-21 11:55:22,2024-03-21 11:55:22,CRC 0.00,,CRC,CRC 1.00,
4198696000004135029,22 Mar 2024,EST-000043,draft,4198696000002605048,,"CRC 45,787.61",CRC 51.74K,CRC 0.00,4198696000000396015,2024-03-22 11:55:52,2024-03-22 11:55:52,CRC 0.00,,CRC,CRC 1.00,
4198696000004135045,22 Mar 2024,EST-000044,draft,4198696000004144003,,"CRC 117,699.12",CRC 133.00K,CRC 0.00,4198696000000396023,2024-03-22 12:05:59,2024-03-22 12:05:59,CRC 0.00,,CRC,CRC 1.00,
4198696000004144019,22 Mar 2024,EST-000045,draft,4198696000002898109,,"CRC 32,389.38",CRC 36.60K,CRC 0.00,4198696000000396015,2024-03-22 12:34:09,2024-03-22 12:34:09,CRC 0.00,,CRC,CRC 1.00,
4198696000004191011,25 Mar 2024,EST-000046,draft,4198696000002605048,,"CRC 188,849.55",CRC 213.40K,CRC 0.00,4198696000000396015,2024-04-19 11:06:51,2024-03-25 09:36:46,CRC 0.00,,CRC,CRC 1.00,
4198696000004215111,26 Mar 2024,EST-000047,draft,4198696000004072003,,"CRC 88,495.58",CRC 100.00K,CRC 0.00,4198696000004090001,2024-03-26 16:09:07,2024-03-26 16:09:07,CRC 0.00,,CRC,CRC 1.00,
4198696000004553002,05 Apr 2024,EST-000048,draft,4198696000004072003,,"CRC 51,415.93",CRC 58.10K,CRC 0.00,4198696000004090001,2024-04-05 15:03:52,2024-04-05 15:03:52,CRC 0.00,,CRC,CRC 1.00,
4198696000004555019,05 Apr 2024,EST-000049,draft,4198696000004072003,,"CRC 7,079.65",CRC 8.00K,CRC 0.00,4198696000004090001,2024-04-05 15:29:15,2024-04-05 15:29:15,CRC 0.00,,CRC,CRC 1.00,
4198696000004595059,08 Apr 2024,EST-000052,draft,4198696000002898109,,"CRC 37,964.60",CRC 42.90K,CRC 0.00,4198696000000396015,2024-04-08 14:06:28,2024-04-08 12:01:20,CRC 0.00,,CRC,CRC 1.00,
4198696000004604011,08 Apr 2024,EST-000050,draft,4198696000004608051,,"CRC 156,460.18",CRC 176.80K,CRC 0.00,4198696000004090001,2024-04-08 11:18:14,2024-04-08 11:18:14,CRC 0.00,,CRC,CRC 1.00,
4198696000004611059,08 Apr 2024,EST-000051,draft,4198696000004610039,,"CRC 57,610.63",CRC 65.10K,CRC 0.00,4198696000000396023,2024-04-08 11:51:37,2024-04-08 11:51:37,CRC 0.00,,CRC,CRC 1.00,
4198696000004682021,11 Apr 2024,EST-000053,draft,4198696000004676048,,"CRC 42,920.35",CRC 48.50K,CRC 0.00,4198696000000396023,2024-04-11 11:26:40,2024-04-11 11:26:40,CRC 0.00,,CRC,CRC 1.00,
4198696000004688059,11 Apr 2024,EST-000054,draft,4198696000004072003,,"CRC 165,663.72",CRC 187.20K,CRC 0.00,4198696000004090001,2024-04-11 14:52:10,2024-04-11 14:52:10,CRC 0.00,,CRC,CRC 1.00,
