Expense Item ID,Expense ID,Expense Description,Project ID,Expense Category,Account ID,Total (BCY),Sub Total (BCY),Last Modified Time,Created Time,Vehicles
4198696000000463069,4198696000000463057,Shareholders Loan Alpesh Patel 8757.50 USD,,Deposit - Rent,4198696000000298089,"CRC 5,530,799.13","CRC 5,530,799.13",2023-09-01 17:00:39,2023-08-30 14:32:07,
4198696000000506761,4198696000000506749,Paid to Turnkeypoint for Office Key for Marvin,,Software Expenses,4198696000000297225,"CRC 13,451.31","CRC 13,451.31",2023-09-09 15:34:37,2023-09-09 15:34:37,
4198696000000506787,4198696000000506775,Paid to Turnkeypoint for Office Licenses x 10,,Software Expenses,4198696000000297225,"CRC 133,727.18","CRC 133,727.18",2023-09-09 15:35:39,2023-09-09 15:35:39,
4198696000000506877,4198696000000506865,Kerridge Commercial Systems 8100/81333121 Paid in May - USD 227.50 Alpesh Patel Shareholder Loan,,Software Expenses,4198696000000297225,"CRC 134,618.64","CRC 134,618.64",2023-09-09 16:14:37,2023-09-09 16:14:37,
4198696000000506901,4198696000000506889,Kerridge Commercial Systems 8100/81336354 Paid in May - Shareholders Loan Alpesh Patel USD 2502.50,,Software Expenses,4198696000000297225,"CRC 1,382,167.71","CRC 1,382,167.71",2023-09-09 16:15:57,2023-09-09 16:15:57,
4198696000000506919,4198696000000506907,Kerridge Commercial Systems - 8100/81339470 Paid in May 2023 - Shareholder Loan Alpesh Patel USD 910,,Software Expenses,4198696000000297225,"CRC 509,518.48","CRC 509,518.48",2023-09-09 16:16:55,2023-09-09 16:16:55,
4198696000000837128,4198696000000837116,,,Round-off Account,4198696000000297693,CRC 21.59,CRC 21.59,2023-10-25 09:32:01,2023-10-25 09:32:01,
4198696000000838068,4198696000000838064,Pantera Male Costume,,Marketing Expenses,4198696000000297047,"CRC 134,989.20","CRC 134,989.20",2023-10-25 09:55:40,2023-10-25 09:55:40,
4198696000000944560,4198696000000944548,,,Bank fees and charges,4198696000000000409,"CRC 1,194.59","CRC 1,194.59",2023-11-01 12:15:51,2023-11-01 12:14:54,
4198696000000949772,4198696000000949760,,,Miscellaneous Expenses,4198696000000297699,CRC 539.96,CRC 539.96,2023-11-01 15:37:20,2023-11-01 15:37:20,
4198696000000960041,4198696000000960029,Pequino Mundo Safe - 201,,Office Expenses,4198696000000297333,"CRC 8,672.57","CRC 8,672.57",2023-11-02 16:30:58,2023-11-02 16:27:44,
4198696000000960111,4198696000000960099,,,Fuel Expenses,4198696000000297777,"CRC 23,001.00","CRC 23,001.00",2023-11-02 16:44:26,2023-11-02 16:35:01,Yaris - BRC628
4198696000000960137,4198696000000960125,,,Computers & Equipments - Cost,4198696000000297903,"CRC 420,353.99","CRC 420,353.99",2023-11-02 16:43:59,2023-11-02 16:35:01,
4198696000000960163,4198696000000960151,,,Cleaning Expense,4198696000000297393,"CRC 9,734.51","CRC 9,734.51",2023-11-02 16:44:52,2023-11-02 16:37:53,
4198696000000960291,4198696000000960279,,,Food & Drinks,4198696000000297327,"CRC 5,350.00","CRC 5,350.00",2023-11-03 07:26:34,2023-11-02 16:48:01,
4198696000000960317,4198696000000960305,,,Food & Drinks,4198696000000297327,"CRC 2,475.00","CRC 2,475.00",2023-11-03 07:26:55,2023-11-02 16:48:01,
4198696000000960343,4198696000000960331,,,Food & Drinks,4198696000000297327,"CRC 6,194.59","CRC 6,194.59",2023-11-03 08:39:25,2023-11-02 16:48:01,
4198696000000965013,4198696000000965001,,,Food & Drinks,4198696000000297327,"CRC 13,902.33","CRC 13,902.33",2023-11-03 07:25:56,2023-11-03 07:24:47,
4198696000000965039,4198696000000965027,,,Food & Drinks,4198696000000297327,"CRC 1,390.23","CRC 1,390.23",2023-11-03 07:26:08,2023-11-03 07:24:47,
4198696000000965065,4198696000000965053,,,Cleaning Expense,4198696000000297393,"CRC 129,541.00","CRC 129,541.00",2023-11-03 07:26:21,2023-11-03 07:24:47,
4198696000000965091,4198696000000965079,,,Cleaning Expense,4198696000000297393,"CRC 8,405.00","CRC 8,405.00",2023-11-03 07:25:42,2023-11-03 07:24:48,
4198696000000965355,4198696000000965351,MAS X MENOS,,Cleaning Expense,4198696000000297393,"CRC 1,624.00","CRC 1,624.00",2023-11-03 07:48:51,2023-11-03 07:48:51,
4198696000000965381,4198696000000965377,MAS X MENOS,,Cleaning Expense,4198696000000297393,"CRC 4,000.00","CRC 4,000.00",2023-11-03 07:48:51,2023-11-03 07:48:51,
4198696000000966813,4198696000000966809,Fuel,,Fuel Expenses,4198696000000297777,"CRC 22,003.00","CRC 22,003.00",2023-11-03 08:41:32,2023-11-03 08:36:09,
4198696000000966839,4198696000000966835,TEAM (food),,Food & Drinks,4198696000000297327,"CRC 12,478.00","CRC 12,478.00",2023-11-03 08:36:10,2023-11-03 08:36:10,
4198696000000966865,4198696000000966861,TEAM (food),,Food & Drinks,4198696000000297327,"CRC 12,655.00","CRC 12,655.00",2023-11-03 08:36:10,2023-11-03 08:36:10,
4198696000000966891,4198696000000966887,TEAM (food),,Food & Drinks,4198696000000297327,"CRC 13,363.00","CRC 13,363.00",2023-11-03 08:36:10,2023-11-03 08:36:10,
4198696000000966917,4198696000000966913,BUSSINES CARDS,,Office Consumables,4198696000000297345,"CRC 45,132.74","CRC 45,132.74",2023-11-03 08:36:10,2023-11-03 08:36:10,
4198696000000966943,4198696000000966939,TEAM (food),,Food & Drinks,4198696000000297327,"CRC 5,044.00","CRC 5,044.00",2023-11-03 08:36:10,2023-11-03 08:36:10,
