Expense ID,Customer ID,Vendor ID,Expense Date,Is Billable,Total (BCY),Paid Through,Created Time,Status,Sub Total (BCY),Mileage Rate,Mileage Unit,Distance,Start Odometer Reading,End Odometer Reading,Mileage Type,Merchant ID,Merchant Name,User ID,Report ID,Report Number,Employee Paid Through,Currency Code,Exchange Rate,Last Modified Time
4198696000034421129,,,11 Nov 2025,No,CRC 381.75,4198696000000375179,2025-11-11 02:08:41,Non-Billable,CRC 381.75,0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-11 02:09:26
4198696000034421287,,,05 Nov 2025,No,"CRC 2,073.83",4198696000000375179,2025-11-11 07:15:07,Non-Billable,"CRC 2,073.83",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-11 07:15:07
4198696000034421181,,,04 Nov 2025,No,"CRC 21,197.41",4198696000000375179,2025-11-11 06:12:41,Non-Billable,"CRC 21,197.41",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-11 06:12:41
4198696000034334251,,,03 Nov 2025,No,CRC 376.32,4198696000000375175,2025-11-07 20:10:04,Non-Billable,CRC 376.32,0.00,,,,,NonMileage,,,,,,,USD,501.76,2025-11-07 20:10:04
4198696000033584705,,,03 Nov 2025,No,"CRC 5,726.25",4198696000000375179,2025-11-06 03:47:10,Non-Billable,"CRC 5,726.25",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-06 03:47:10
4198696000034267157,,,03 Nov 2025,No,"CRC 23,010.52",4198696000000375179,2025-11-07 07:09:18,Non-Billable,"CRC 23,010.52",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 07:09:18
4198696000034277156,,,03 Nov 2025,No,CRC 0.01,4198696000000375179,2025-11-07 08:56:33,Non-Billable,CRC 0.01,0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 08:56:52
4198696000034277494,,4198696000001877491,03 Nov 2025,No,"CRC 19,112.28",4198696000000375167,2025-11-07 10:15:47,Non-Billable,"CRC 16,913.52",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 10:19:35
4198696000033584868,,,31 Oct 2025,No,"CRC 20,844.16",4198696000000375167,2025-11-06 11:40:49,Non-Billable,"CRC 20,844.16",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 09:16:49
4198696000034277357,,4198696000001156013,31 Oct 2025,No,CRC 106.92,4198696000000375167,2025-11-07 09:53:19,Non-Billable,CRC 106.92,0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 09:53:19
4198696000034277277,,4198696000001156013,31 Oct 2025,No,"CRC 3,868.08",4198696000000375167,2025-11-07 09:50:59,Non-Billable,"CRC 3,423.08",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 09:52:55
4198696000033584894,,,31 Oct 2025,No,"CRC 24,823.84",4198696000000375167,2025-11-06 11:48:07,Non-Billable,"CRC 21,968.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-06 11:48:07
4198696000034246138,,,31 Oct 2025,No,"CRC 33,653.15",4198696000000375179,2025-11-07 03:29:56,Non-Billable,"CRC 33,653.15",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 03:29:56
4198696000034267069,,,31 Oct 2025,No,CRC 0.25,4198696000000375179,2025-11-07 07:02:34,Non-Billable,CRC 0.25,0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 07:02:41
4198696000034277249,,4198696000001156013,31 Oct 2025,No,"CRC 148,508.08",4198696000000375167,2025-11-07 09:49:39,Non-Billable,"CRC 131,423.08",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 09:49:39
4198696000034277305,,4198696000001156013,31 Oct 2025,No,"CRC 5,751.92",4198696000000375167,2025-11-07 09:52:06,Non-Billable,"CRC 5,751.92",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 09:52:06
4198696000034331399,,,31 Oct 2025,No,CRC 376.51,4198696000000375175,2025-11-07 16:42:33,Non-Billable,CRC 376.51,0.00,,,,,NonMileage,,,,,,,USD,502.01,2025-11-07 16:42:33
4198696000034331796,,,31 Oct 2025,No,CRC 0.63,4198696000027079124,2025-11-07 17:11:43,Non-Billable,CRC 0.63,0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 17:11:43
4198696000034328288,,4198696000000960013,31 Oct 2025,No,"CRC 10,000.00",4198696000000298225,2025-11-07 14:16:28,Non-Billable,"CRC 10,000.00",0.00,,,,9404.00,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:28
4198696000034286098,,,31 Oct 2025,No,"CRC 450,000.00",4198696000000298225,2025-11-07 13:40:43,Non-Billable,"CRC 450,000.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 13:40:43
4198696000034328260,,4198696000000960013,31 Oct 2025,No,"CRC 4,000.00",4198696000000298225,2025-11-07 14:16:28,Non-Billable,"CRC 4,000.00",0.00,,,,25431.00,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:28
4198696000034330928,,4198696000000960013,31 Oct 2025,No,"CRC 3,000.00",4198696000000298225,2025-11-07 14:16:48,Non-Billable,"CRC 2,654.87",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:48
4198696000034330956,,4198696000000960013,31 Oct 2025,No,"CRC 2,000.00",4198696000000298225,2025-11-07 14:16:49,Non-Billable,"CRC 1,769.91",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:49
4198696000034330984,,4198696000000960013,31 Oct 2025,No,"CRC 5,395.75",4198696000000298225,2025-11-07 14:16:49,Non-Billable,"CRC 4,775.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:49
4198696000034330900,,4198696000000960013,30 Oct 2025,No,"CRC 2,000.00",4198696000000298225,2025-11-07 14:16:48,Non-Billable,"CRC 2,000.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:48
4198696000034328232,,4198696000000960013,30 Oct 2025,No,"CRC 5,000.00",4198696000000298225,2025-11-07 14:16:28,Non-Billable,"CRC 5,000.00",0.00,,,,7664.00,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:28
4198696000034328204,,4198696000000960013,30 Oct 2025,No,"CRC 10,000.00",4198696000000298225,2025-11-07 14:16:27,Non-Billable,"CRC 10,000.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:27
