Item Name,Quantity,Purchase Order ID,Vendor Name,SKU,Manufacturer,Brand,Display Name
FILTRO DE AIRE TOYOTA HILUX 2.7/ 2.0 1KDFTV/ 1TRFE/ 2TRFE OD=220MM/HEIGHT:175MM/ID:120MM,36.00,4198696000000528327,,118-126,Ningbo Sunshine Auto Parts Co,,
FILTRO DE AIRE VW POLO/ PLAYA 1.4 1.6 1.8 HEI 48MM LEN 275MM WID 184MM. HEI 48MM LEN 275MM WID 184MM.,40.00,4198696000000528327,,118-140,Ningbo Sunshine Auto Parts Co,,
FILTRO DE AIRE GWM PICK UP 270 X 190 X 45,40.00,4198696000000528327,,118-177,Ningbo Sunshine Auto Parts Co,,
FILTRO DE AIRE TOYOTA AVANZA 1.3/ 1.5 2006- HEI29MM LEN332MM WID225MM.,40.00,4198696000000528327,,118-179,Ningbo Sunshine Auto Parts Co,,
FILTRO DE AIRE AIR FILTER MITSUBISHI PAJERO 3.2TD/ 3.5/ 3.8 4M41 EN 2000-2010 362 X 236 X 48,40.00,4198696000000528327,,118-196,Ningbo Sunshine Auto Parts Co,,
FILTRO DE AIRE TOYOTA HILUX Y SERIES/ VENTURE .HEI208MM OD150MM IDT9MM IDB73MM,36.00,4198696000000528327,,118-20,Ningbo Sunshine Auto Parts Co,,
FILTRO DE AIRE HONDA JAZZ 1.3/ 1.4/ 1.5 FIT/ BRIO 1.2 200 .,40.00,4198696000000528327,,118-207,Ningbo Sunshine Auto Parts Co,,
FILTRO DE AIRE TOYOTA COROLLA/ CONQUEST 1.3 HEI47MM OD254MM IDT21MM.,40.00,4198696000000528327,,118-4,Ningbo Sunshine Auto Parts Co,,
FILTRO DE AIRE TOYOTA COROLLA/ CONQUEST 1.6 HEI40MM OD254MM IDT21MM.,40.00,4198696000000528327,,118-5,Ningbo Sunshine Auto Parts Co,,
FILTRO DE AIRE TOYOTA HILUX 3.0 DIESEL 1998 5L ENG .H120MM OD219MM IDT109MM IDB109MM,36.00,4198696000000528327,,118-56,Ningbo Sunshine Auto Parts Co,,
FILTRO DE AIRE TOYOTA COROLLA/ CONQUEST 160/ 180I 1997 HEI43MM LEN268MM WID170MM.,40.00,4198696000000528327,,118-8,Ningbo Sunshine Auto Parts Co,,
FILTRO DE AIRE FORD/ ISUZU/ NISSAN LDV 1981-1988 .H291MM OD155MM IDT19MM IDB88MM FIN200MM,40.00,4198696000000528327,,118-82,Ningbo Sunshine Auto Parts Co,,
