Payment Refund ID,Payment ID,Refund Date,Refund Mode,Refund From Account,Amount (BCY),Reference Number,Exchange Rate,Created Time,Last Modified Time
4198696000004575003,4198696000004545985,06 Apr 2024,Efectivo/Cash,4198696000000418009,"CRC 2,500.00",2024040515183010548805411,CRC 1.00,2024-04-06 09:31:58,2024-04-06 09:31:58
4198696000005563953,4198696000005563767,16 May 2024,Efectivo/Cash,4198696000000418009,"CRC 2,000.00",,CRC 1.00,2024-05-16 15:55:41,2024-05-16 15:55:41
4198696000006148545,4198696000006148505,04 Jun 2024,Efectivo/Cash,4198696000000418009,"CRC 1,180.00",,CRC 1.00,2024-06-04 17:47:19,2024-06-04 17:47:19
4198696000006691437,4198696000006495006,21 Jun 2024,SINPE,4198696000000375167,"CRC 1,500.00",,CRC 1.00,2024-06-21 16:19:45,2024-06-21 16:19:45
4198696000006551230,4198696000006506100,14 Jun 2024,SINPE,4198696000000375167,CRC 800.00,,CRC 1.00,2024-06-14 16:27:17,2024-06-14 16:27:17
4198696000006608567,4198696000006608043,18 Jun 2024,SINPE,4198696000000375167,"CRC 1,200.00",,CRC 1.00,2024-06-18 16:04:35,2024-06-18 16:04:35
4198696000006691457,4198696000006675453,21 Jun 2024,SINPE,4198696000000375167,"CRC 2,500.00",,CRC 1.00,2024-06-21 16:20:17,2024-06-21 16:20:17
4198696000006687633,4198696000006687593,19 Jun 2024,Efectivo/Cash,4198696000000418009,"CRC 2,800.00",,CRC 1.00,2024-06-19 14:56:56,2024-06-19 14:56:56
4198696000006691680,4198696000006698242,22 Jun 2024,SINPE,4198696000000375167,"CRC 1,000.00",,CRC 1.00,2024-06-22 09:04:51,2024-06-22 09:04:51
4198696000007281019,4198696000007256181,11 Jul 2024,SINPE,4198696000000375167,"CRC 1,900.00",,CRC 1.00,2024-07-11 09:17:21,2024-07-11 09:17:21
4198696000007292211,4198696000007281222,11 Jul 2024,Efectivo/Cash,4198696000000298225,CRC 100.00,,CRC 1.00,2024-07-11 16:40:47,2024-07-11 16:40:47
4198696000007418686,4198696000007342661,15 Jul 2024,SINPE,4198696000000375167,"CRC 1,780.00",,CRC 1.00,2024-07-15 11:43:10,2024-07-15 11:43:10
4198696000007440208,4198696000007418646,15 Jul 2024,SINPE,4198696000000375167,"CRC 2,895.00",,CRC 1.00,2024-07-15 14:47:13,2024-07-15 14:47:13
4198696000008431854,4198696000008007429,13 Aug 2024,Bank Payment - Other,4198696000000000361,"CRC 29,500.00",2024080115283004947098608,CRC 1.00,2024-08-13 17:31:55,2024-08-13 17:31:55
4198696000010316154,4198696000009955477,02 Oct 2024,Remesa bancaria - BNCR Colones,4198696000000375167,"CRC 1,000.00",,CRC 1.00,2024-10-02 10:19:16,2024-10-02 10:19:16
4198696000010037535,4198696000009989045,26 Sep 2024,SINPE,4198696000000375167,"CRC 1,000.00",,CRC 1.00,2024-09-26 12:45:26,2024-09-26 12:45:26
