Bill Payment ID,Amount (BCY),Created Time,Last Modified Time,Bill Amount,Withholding Tax Amount,Withholding Tax Amount (BCY),Bill Payment Applied Date
4198696000000463125,"CRC 2,658,621.74",2023-08-30 14:40:02,2025-03-09 08:42:19,"CRC 4,378.75",CRC 0.00,CRC 0.00,
4198696000000463127,"CRC 2,658,621.74",2023-08-30 14:40:02,2025-03-09 08:42:19,"CRC 4,378.75",CRC 0.00,CRC 0.00,
4198696000000463189,"CRC 2,644,172.70",2023-08-30 14:42:12,2025-03-09 08:42:19,"CRC 4,378.75",CRC 0.00,CRC 0.00,
4198696000000463263,"CRC 25,660,729.09",2023-08-30 14:51:49,2025-03-09 08:42:19,"CRC 38,362.79",CRC 0.00,CRC 0.00,
4198696000000463303,"CRC 15,348,001.17",2023-08-30 14:52:38,2025-03-09 08:42:19,"CRC 26,413.91",CRC 0.00,CRC 0.00,
4198696000000463421,"CRC 4,357,147.01",2023-08-30 15:03:28,2025-03-09 08:42:19,"CRC 7,498.65",CRC 0.00,CRC 0.00,
4198696000001792227,"CRC 120,772.95",2023-12-12 15:36:23,2025-03-09 08:42:19,CRC 200.00,CRC 0.00,CRC 0.00,
4198696000000481023,"CRC 59,180.09",2023-09-01 16:02:42,2025-03-09 08:42:19,CRC 100.01,CRC 0.00,CRC 0.00,
4198696000000476005,"CRC 89,013.83",2023-08-31 17:36:04,2025-03-09 08:42:19,CRC 148.03,CRC 0.00,CRC 0.00,
4198696000001182619,"CRC 79,800.54",2023-11-13 20:46:02,2025-03-09 08:42:19,CRC 148.03,CRC 0.00,CRC 0.00,
4198696000000481025,"CRC 59,180.09",2023-09-01 16:02:42,2025-03-09 08:42:19,CRC 100.01,CRC 0.00,CRC 0.00,
4198696000000481103,"CRC 5,094,531.70",2023-09-01 16:06:29,2025-03-09 08:42:19,"CRC 8,757.50",CRC 0.00,CRC 0.00,
4198696000000481201,"CRC 87,595.53",2023-09-01 16:11:34,2025-03-09 08:42:19,CRC 148.03,CRC 0.00,CRC 0.00,
4198696000000481271,"CRC 419,917.05",2023-09-01 16:19:25,2025-03-09 08:42:19,CRC 745.80,CRC 0.00,CRC 0.00,
4198696000000481301,"CRC 618,103.15",2023-09-01 16:20:03,2025-03-09 08:42:19,"CRC 1,078.59",CRC 0.00,CRC 0.00,
4198696000000481445,"CRC 97,000.00",2023-09-01 16:29:37,2023-09-01 16:29:37,"CRC 97,000.00",CRC 0.00,CRC 0.00,
4198696000001087222,"CRC 12,610.00",2023-11-07 20:17:03,2023-11-07 20:17:03,"CRC 12,610.00",CRC 0.00,CRC 0.00,
4198696000000481531,"CRC 554,323.73",2023-09-01 16:34:11,2025-03-09 08:42:19,"CRC 1,000.00",CRC 0.00,CRC 0.00,
4198696000000481573,"CRC 240,254.00",2023-09-01 16:35:08,2025-03-09 08:42:19,CRC 435.10,CRC 0.00,CRC 0.00,
4198696000000481631,"CRC 582,808.02",2023-09-01 16:38:35,2025-03-09 08:42:19,"CRC 1,017.00",CRC 0.00,CRC 0.00,
4198696000000481679,"CRC 197,260.75",2023-09-01 16:40:53,2025-03-09 08:42:19,CRC 344.22,CRC 0.00,CRC 0.00,
4198696000001792229,"CRC 60,386.47",2023-12-12 15:36:23,2025-03-09 08:42:19,CRC 100.00,CRC 0.00,CRC 0.00,
4198696000001866402,CRC 5.27,2023-12-13 16:25:49,2025-03-09 08:42:19,CRC 0.01,CRC 0.00,CRC 0.00,
4198696000000481809,"CRC 81,649.20",2023-09-01 16:58:32,2025-03-09 08:42:19,CRC 148.03,CRC 0.00,CRC 0.00,
4198696000000481769,"CRC 4,835,726.11",2023-09-01 16:47:59,2025-03-09 08:42:19,"CRC 8,757.50",CRC 0.00,CRC 0.00,
4198696000000506483,"CRC 4,908,912.56",2023-09-09 15:20:18,2025-03-09 08:42:19,"CRC 8,757.50",CRC 0.00,CRC 0.00,
4198696000000506637,"CRC 167,167.22",2023-09-09 15:29:00,2025-03-09 08:42:19,CRC 300.87,CRC 0.00,CRC 0.00,
4198696000000506667,"CRC 81,191.56",2023-09-09 15:30:02,2025-03-09 08:42:19,CRC 148.03,CRC 0.00,CRC 0.00,
4198696000000506607,"CRC 568,722.05",2023-09-09 15:28:17,2025-03-09 08:42:19,"CRC 1,017.00",CRC 0.00,CRC 0.00,
4198696000000506523,"CRC 361,148.32",2023-09-09 15:21:37,2025-03-09 08:42:19,CRC 650.00,CRC 0.00,CRC 0.00,
4198696000000506549,"CRC 3,429,355.28",2023-09-09 15:21:52,2025-03-09 08:42:19,"CRC 5,000.00",CRC 0.00,CRC 0.00,
4198696000000506719,"CRC 611,914.53",2023-09-09 15:33:13,2025-03-09 08:42:19,"CRC 1,122.00",CRC 0.00,CRC 0.00,
4198696000000485013,"CRC 5,060,801.88",2023-09-01 17:35:15,2025-03-09 08:42:19,"CRC 8,856.42",CRC 0.00,CRC 0.00,
4198696000000824857,"CRC 4,782,035.63",2023-10-25 08:18:40,2025-03-09 08:42:19,"CRC 8,856.33",CRC 0.00,CRC 0.00,
4198696000000485089,"CRC 616,307.41",2023-09-01 17:40:51,2025-03-09 08:42:19,"CRC 1,078.54",CRC 0.00,CRC 0.00,
4198696000000839040,CRC 26.58,2023-10-25 10:14:24,2025-03-09 08:42:19,CRC 0.05,CRC 0.00,CRC 0.00,
