Day of Order Date,Total Total (BCY),Total Total (BCY),Gross Profit Margin,Sales Value
"-No Value-",,"CRC 49,998,196.38",-135.3%,"$462,698.79K"
2,CRC 70.20K,,,
5,CRC 100.60K,"CRC 12,595,066.13",34.6%,"$111,677.21K"
6,CRC 193.20K,"CRC 12,595,066.13",34.6%,"$111,591.90K"
7,CRC 160.50K,"CRC 12,595,066.13",34.6%,"$111,817.31K"
8,CRC 66.10K,,17.1%,$84.87K
10,CRC 148.12K,"CRC 71,300.01",24.3%,$877.97K
11,CRC 94.37K,"CRC 66,650.00",33.6%,"$1,272.28K"
13,CRC 78.20K,,,
14,CRC 0.13K,"CRC 72,300.00",12.8%,$255.60K
15,CRC 90.65K,"CRC 12,595,066.13",34.6%,"$111,866.37K"
16,CRC 24.80K,"CRC 99,800.00",22.0%,$397.38K
17,CRC 80.00K,"CRC 12,595,066.13",34.6%,"$111,591.90K"
20,CRC 9.20K,"CRC 12,595,066.13",34.6%,"$111,591.90K"
25,CRC 91.38K,"CRC 70,279.45",14.5%,$637.62K
27,CRC 20.80K,,30.6%,$171.37K
28,CRC 286.10K,"CRC 12,595,066.13",34.6%,"$111,591.90K"
29,CRC 26.50K,,28.2%,$33.10K
30,CRC 13.34K,"CRC 12,595,066.13",34.6%,"$111,591.90K"
Grand Summary:,"CRC 1,554.20K","CRC 62,973,591.97",-102.0%,"$578,606.06K"
