,Invoiced Amount,Paid Invoice Amount,Type
Dec 2024,"CRC 37,318.85K","$37,237.05K",Actual
Jan 2025,"CRC 40,098.41K","$40,098.41K",Actual
Feb 2025,"CRC 34,512.09K","$34,512.09K",Actual
Mar 2025,"CRC 42,013.37K","$41,848.37K",Actual
Apr 2025,"CRC 34,452.35K","$34,432.85K",Actual
May 2025,"CRC 33,184.57K","$32,865.57K",Actual
Jun 2025,"CRC 35,041.80K","$35,041.80K",Actual
Jul 2025,"CRC 42,089.48K","$41,921.88K",Actual
Aug 2025,"CRC 42,253.98K","$42,253.98K",Actual
Sep 2025,"CRC 44,140.60K","$44,140.60K",Actual
Oct 2025,"CRC 54,420.49K","$45,864.26K",Actual
Nov 2025,"CRC 46,810.24K","$43,653.52K",Forecast
Dec 2025,"CRC 47,952.46K","$44,410.67K",Forecast
Jan 2026,"CRC 49,094.68K","$45,167.82K",Forecast
Feb 2026,"CRC 50,236.90K","$45,924.97K",Forecast
Mar 2026,"CRC 51,379.12K","$46,682.12K",Forecast
