Vendor Credits Refund ID,Refund Date,Amount (BCY),Created Time,Exchange Rate,Last Modified Time
4198696000004145305,22 Mar 2024,CRC 0.17,2024-03-22 16:12:58,1.00,2024-03-22 16:12:58
4198696000006110232,28 May 2024,"CRC 53,500.00",2024-06-02 13:50:27,1.00,2024-06-02 13:50:27
4198696000006130307,16 Apr 2024,"CRC 1,809.13",2024-06-03 14:58:56,1.00,2024-06-03 14:58:56
4198696000008250259,29 Jul 2024,"CRC 138,962.41",2024-08-08 14:12:09,529.38,2025-03-09 08:42:23
4198696000008250308,22 Jul 2024,"CRC 51,844.20",2024-08-08 14:13:39,529.94,2025-03-09 08:42:23
4198696000008319746,24 Jul 2024,"CRC 2,260.00",2024-08-09 15:32:47,1.00,2024-08-09 15:32:47
4198696000009277021,05 Sep 2024,CRC 3.12,2024-09-05 12:04:27,1.00,2024-09-05 12:04:27
4198696000009545412,30 Aug 2024,"CRC 5,030.08",2024-09-11 20:33:54,1.00,2024-09-11 20:33:54
4198696000017621693,27 Jan 2025,"CRC 16,165.22",2025-02-06 16:49:28,1.00,2025-02-06 16:49:28
4198696000019797637,14 Mar 2025,"CRC 6,610.05",2025-03-14 15:41:26,1.00,2025-03-14 15:41:26
4198696000020614474,31 Mar 2025,"CRC 59,130.90",2025-03-31 13:05:18,1.00,2025-03-31 13:05:18
4198696000020614529,31 Mar 2025,"CRC 90,202.50",2025-03-31 13:06:00,1.00,2025-03-31 13:06:00
4198696000021325695,26 Mar 2025,"CRC 45,719.80",2025-04-11 15:40:04,1.00,2025-04-11 15:40:52
4198696000021544247,15 Apr 2025,"CRC 18,305.76",2025-04-15 14:09:42,1.00,2025-04-15 14:09:42
4198696000024208328,01 May 2025,"CRC 17,854.00",2025-06-04 18:34:04,1.00,2025-06-04 18:34:04
4198696000024208356,31 May 2025,"CRC 27,420.98",2025-06-04 18:36:15,1.00,2025-06-04 18:37:20
4198696000024128235,01 May 2025,"CRC 13,786.00",2025-06-04 11:54:08,1.00,2025-06-04 11:54:08
4198696000026442545,01 Jul 2025,"CRC 31,083.51",2025-07-11 11:35:42,1.00,2025-07-11 11:35:42
4198696000033005575,14 Oct 2025,"CRC 22,600.00",2025-10-23 18:15:15,1.00,2025-10-23 18:15:15
4198696000033152056,08 Sep 2025,"CRC 30,891.38",2025-10-27 14:34:18,1.00,2025-10-27 14:34:18
4198696000033574231,31 Oct 2025,"CRC 5,604.80",2025-11-04 16:30:26,1.00,2025-11-04 16:30:26
4198696000033574260,31 Oct 2025,"CRC 9,311.20",2025-11-04 16:30:47,1.00,2025-11-04 16:30:47
