Bill Credits ID,Date,Amount (BCY),Created Time,Amount (FCY),Last Modified Time
4198696000001258316,17 Nov 2023,"CRC 14,531.05",2023-11-17 11:06:07,"CRC 14,531.05",2023-11-17 11:06:07
4198696000002751123,24 Jan 2024,"CRC 66,296.99",2024-01-25 11:46:26,"CRC 66,296.99",2024-01-25 11:46:26
4198696000001788136,08 Dec 2023,"CRC 54,185.76",2023-12-12 14:00:18,"CRC 54,185.76",2023-12-12 14:00:18
4198696000001867247,12 Dec 2023,"CRC 28,250.00",2023-12-13 17:46:16,"CRC 28,250.00",2023-12-13 17:46:16
4198696000002334968,19 Dec 2023,"CRC 76,840.00",2024-01-08 14:18:59,"CRC 76,840.00",2024-01-08 14:18:59
4198696000004483422,04 Apr 2024,"CRC 76,840.00",2024-04-04 15:35:05,"CRC 76,840.00",2024-04-04 15:35:05
4198696000004145293,19 Mar 2024,"CRC 10,632.57",2024-03-22 16:12:16,"CRC 10,632.57",2024-03-22 16:12:16
4198696000003002465,25 Jan 2024,"CRC 347,484.22",2024-02-05 16:46:48,"CRC 347,484.22",2024-02-05 16:46:48
4198696000002963287,01 Feb 2024,"CRC 18,080.00",2024-02-05 11:53:52,"CRC 18,080.00",2024-02-05 11:53:52
4198696000003738084,09 Feb 2024,"CRC 11,209.17",2024-03-06 16:00:39,"CRC 11,209.17",2024-03-06 16:00:39
4198696000002963320,02 Feb 2024,"CRC 237,300.00",2024-02-05 11:54:56,"CRC 237,300.00",2024-02-05 11:54:56
4198696000003002475,05 Feb 2024,CRC 50.23,2024-02-05 16:47:37,CRC 50.23,2024-02-05 16:47:37
4198696000003738052,23 Feb 2024,"CRC 3,428.10",2024-03-06 15:52:48,"CRC 3,428.10",2024-03-06 15:52:48
4198696000004496366,13 Mar 2024,"CRC 5,042.86",2024-04-04 16:22:58,"CRC 5,042.86",2024-04-04 16:22:58
4198696000004437111,21 Mar 2024,"CRC 15,594.00",2024-04-03 14:35:29,"CRC 15,594.00",2024-04-03 14:35:29
4198696000004651549,22 Mar 2024,"CRC 2,825.00",2024-04-10 10:50:44,"CRC 2,825.00",2024-04-10 10:50:44
4198696000004591445,19 Mar 2024,"CRC 76,840.00",2024-04-08 10:11:26,"CRC 76,840.00",2024-04-08 10:11:26
4198696000004591175,19 Mar 2024,"CRC 19,210.00",2024-04-08 09:54:30,"CRC 19,210.00",2024-04-08 09:54:30
4198696000004437083,25 Mar 2024,"CRC 15,624.69",2024-04-03 12:40:34,"CRC 15,624.69",2024-04-03 12:40:34
4198696000004651551,22 Mar 2024,"CRC 15,761.24",2024-04-10 10:50:44,"CRC 15,761.24",2024-04-10 10:50:44
4198696000004437097,26 Mar 2024,"CRC 25,505.42",2024-04-03 12:41:06,"CRC 25,505.42",2024-04-03 12:41:06
4198696000004651553,01 Apr 2024,CRC 960.50,2024-04-10 10:50:44,CRC 960.50,2024-04-10 10:50:44
4198696000004607615,03 Apr 2024,"CRC 11,751.72",2024-04-08 11:03:13,"CRC 11,751.72",2024-04-08 11:03:13
4198696000004496384,04 Apr 2024,"CRC 13,560.00",2024-04-04 16:28:12,"CRC 13,560.00",2024-04-04 16:28:12
4198696000004496386,04 Apr 2024,"CRC 21,131.00",2024-04-04 16:28:12,"CRC 21,131.00",2024-04-04 16:28:12
4198696000004496388,04 Apr 2024,"CRC 2,938.00",2024-04-04 16:28:12,"CRC 2,938.00",2024-04-04 16:28:12
4198696000004783462,05 Apr 2024,"CRC 3,277.00",2024-04-16 20:01:42,"CRC 3,277.00",2024-04-16 20:01:42
4198696000004783448,05 Apr 2024,"CRC 7,345.00",2024-04-16 20:01:30,"CRC 7,345.00",2024-04-16 20:01:30
4198696000004651555,05 Apr 2024,"CRC 6,447.78",2024-04-10 10:50:44,"CRC 6,447.78",2024-04-10 10:50:44
4198696000004783476,09 Apr 2024,"CRC 8,701.00",2024-04-16 20:02:11,"CRC 8,701.00",2024-04-16 20:02:11
4198696000004651557,10 Apr 2024,"CRC 2,486.00",2024-04-10 10:50:44,"CRC 2,486.00",2024-04-10 10:50:44
4198696000005136587,10 Apr 2024,"CRC 1,344.70",2024-04-29 15:07:54,"CRC 1,344.70",2024-04-29 15:07:54
