s.Item_ID,s.SKU
4198696000033252870,800-4513
4198696000032007001,800-4407
4198696000031481430,800-4391
4198696000030947043,800-4284
4198696000030232083,800-4238
4198696000030181800,800-4224
4198696000029926159,800-4192
4198696000029801517,800-4176
4198696000029319179,800-4119
4198696000029058738,800-4102
4198696000028982500,800-4068
4198696000028567226,800-4020
4198696000028104141,800-3946
4198696000027951823,800-3912
4198696000027402687,800-3862
4198696000027117992,800-3805
4198696000026460001,800-3718
4198696000026351357,800-3697
4198696000026140409,800-3687
4198696000025869921,800-3632
