Item_ID,Avg_Demand_6M
4198696000033386690,1
4198696000033376181,1
4198696000033358994,1
4198696000033356800,1
4198696000033252870,1
4198696000033252576,1
4198696000033230930,1
4198696000033148876,2
4198696000033148644,1
4198696000033054989,2
4198696000033046238,1
4198696000033033923,1
4198696000032970911,1
4198696000032970141,1
4198696000032909334,2
4198696000032909220,1
4198696000032479141,1
4198696000032412576,2
4198696000032412234,2
4198696000032401148,1
4198696000032273837,1
4198696000032257902,1
4198696000032257382,2
4198696000032248295,1
4198696000032240557,1
4198696000032207997,1
4198696000032151566,1
4198696000032048961,1
4198696000032007001,2
4198696000031892667,1
4198696000031811243,2
4198696000031793068,1
4198696000031756210,1
4198696000031591243,1
4198696000031561119,4
4198696000031553676,1
4198696000031553632,1
4198696000031531735,3
4198696000031531625,1
4198696000031526446,2
4198696000031481430,2
4198696000031479197,1
4198696000031465597,2
4198696000031456675,1
4198696000031406403,1
4198696000031406200,1
4198696000031370605,1
4198696000031250111,1
4198696000031243579,1
4198696000031243394,1
4198696000031243073,1
4198696000031177500,1
4198696000031164525,1
4198696000031149142,1
4198696000031091238,1
4198696000031080801,1
4198696000031051942,1
4198696000030971992,1
4198696000030947961,1
4198696000030947537,1
4198696000030947043,1
4198696000030903204,2
4198696000030882114,4
4198696000030744465,1
4198696000030710313,2
4198696000030537036,1
4198696000030418278,1
4198696000030366343,1
4198696000030354570,2
4198696000030354227,1
4198696000030248715,1
4198696000030232504,1
4198696000030232083,8
4198696000030215472,1
4198696000030199588,1
4198696000030193683,1
4198696000030181800,1
4198696000030161514,1
4198696000030111938,1
4198696000030025167,1
4198696000030016784,1
4198696000030002718,1
4198696000029985170,2
4198696000029983005,2
4198696000029926159,1
4198696000029885446,1
4198696000029830056,2
4198696000029822737,1
4198696000029801517,1
4198696000029453185,2
4198696000029447709,2
4198696000029435301,1
4198696000029435257,1
4198696000029434158,2
4198696000029417308,1
4198696000029378329,1
4198696000029374479,1
4198696000029374038,4
4198696000029368207,8
4198696000029326569,2
4198696000029319179,1
4198696000029313513,1
4198696000029310287,1
4198696000029259257,1
4198696000029058738,1
4198696000029046493,2
4198696000029035926,2
4198696000029035185,1
4198696000029015881,1
4198696000029015463,1
4198696000029007622,2
4198696000029007287,2
4198696000028982500,1
4198696000028927686,2
4198696000028910416,1
4198696000028909773,1
4198696000028795899,1
4198696000028751325,1
4198696000028731205,1
4198696000028722533,1
4198696000028680520,1
4198696000028680001,1
4198696000028622179,1
4198696000028567907,1
4198696000028567226,1
4198696000028559009,1
4198696000028558766,2
4198696000028507822,1
4198696000028506939,2
4198696000028490016,1
4198696000028427223,1
4198696000028419144,2
4198696000028385448,1
4198696000028326397,4.666666666666667
4198696000028326386,5.666666666666667
4198696000028318113,2
4198696000028303899,1
4198696000028303249,1
4198696000028282479,1
4198696000028282134,2
4198696000028245418,4
4198696000028115180,2
4198696000028104678,1
4198696000028104310,4
4198696000028104141,1
4198696000028098012,2
4198696000028023914,2
4198696000028021198,1
4198696000028019185,1
4198696000028015508,2
4198696000028012908,1
4198696000028005336,8
4198696000027951823,1
4198696000027943773,1
4198696000027915576,2
4198696000027915278,1
4198696000027872063,2
4198696000027868055,1
4198696000027855023,1
4198696000027754986,1
4198696000027754450,1
4198696000027643869,1
4198696000027633774,1
4198696000027576685,1
4198696000027402687,1.5
4198696000027395877,2
4198696000027390840,1
4198696000027380919,1
4198696000027374942,1
4198696000027374597,1
4198696000027366123,1
4198696000027363552,1
4198696000027311028,1
4198696000027301523,1
4198696000027297634,2
4198696000027297331,1
4198696000027282336,1.5
4198696000027238652,1
4198696000027235358,1
4198696000027122771,1
4198696000027117992,2
4198696000027049365,2
4198696000027049153,2
4198696000027037268,1
4198696000026966662,1
4198696000026925223,1
4198696000026857663,1
4198696000026792419,1
4198696000026763763,1
4198696000026728512,1
4198696000026728501,1
4198696000026721488,2.3333333333333335
4198696000026698968,1
4198696000026698016,1
4198696000026664515,1
4198696000026662118,1
4198696000026656332,1
4198696000026638435,1
4198696000026546424,1
4198696000026530725,1
4198696000026530005,1
4198696000026460782,1
4198696000026460498,2
4198696000026460166,1
4198696000026460001,1
4198696000026448477,1
4198696000026427779,2
4198696000026427366,2
4198696000026351357,1
