Item_ID,SKU,Sales_24M_Qty,Sales_24M_Net
4198696000033386690,800-4533,1,20531
4198696000033376181,800-4529,1,8407
4198696000033358994,800-4525,1,20000
4198696000033356800,800-4536,1,38319
4198696000033252870,800-4513,1,39243
4198696000033252576,800-4508,1,50973
4198696000033230930,800-4520,1,6770
4198696000033148876,800-4504,2,51770
4198696000033148644,800-4500,1,41018
4198696000033054989,800-4496,2,14496
4198696000033046238,800-4487,1,5398.23
4198696000033033923,800-4491,1,15752
4198696000032970911,800-4483,1,17257
4198696000032970141,800-4479,1,17168
4198696000032909334,800-4475,2,17700
4198696000032909220,800-4471,1,32811
4198696000032479141,800-4465,1,132743
4198696000032412576,800-4461,2,9557.52
4198696000032412234,800-4457,2,10424.78
4198696000032401148,800-4453,1,17234.53
4198696000032273837,800-4448,1,28938.05
4198696000032257902,800-4444,1,201830.09
4198696000032257382,800-4440,2,23008.86
4198696000032248295,800-4434,1,41592.92
4198696000032240557,800-4430,1,15486.73
4198696000032207997,800-4426,1,53008.85
4198696000032151566,800-4422,1,38428.32
4198696000032048961,800-4418,1,51681.42
4198696000032007001,800-4407,2,68672.56
4198696000031892667,800-4405,1,48845.13
4198696000031811243,800-4402,2,41946.98
4198696000031793068,800-4397,1,22446.9
4198696000031756210,800-4393,1,13539.82
4198696000031591243,800-4387,1,14867.28
4198696000031561119,800-4383,4,28672.56
4198696000031553676,800-4379,1,90530.97
4198696000031553632,800-4375,1,11150.44
4198696000031531735,12-1030,3,426371.4
4198696000031531625,46-2050,1,30973.45
4198696000031526446,800-4367,2,40141.59
4198696000031481430,800-4391,2,2300.88
4198696000031479197,800-4365,1,20707.97
4198696000031465597,800-4361,2,12566.37
4198696000031456675,800-4354,1,140315
4198696000031406403,800-4349,1,30685
4198696000031406200,800-4345,1,7345.13
4198696000031370605,800-4341,1,9911.5
4198696000031250111,800-4337,1,19557.52
4198696000031243579,800-4333,1,15876.11
4198696000031243394,800-4329,1,8407.08
4198696000031243073,800-4325,1,20707.96
4198696000031177500,800-4321,1,9026.55
4198696000031164525,800-4317,1,19702.65
4198696000031149142,800-4313,1,4792.03
4198696000031091238,800-4309,1,13433.63
4198696000031080801,800-4305,1,25221.24
4198696000031051942,800-4301,1,16364.6
4198696000030971992,800-4297,1,19823.01
4198696000030947961,800-4292,1,29309.73
4198696000030947537,800-4289,1,8304.41
4198696000030947043,800-4284,1,7654.87
4198696000030903204,800-4281,4,62212.39
4198696000030882114,800-4278,4,13677.88
4198696000030744465,800-4275,2,145141.59
4198696000030710313,800-4270,2,83126.55
4198696000030537036,800-4266,1,6690.27
4198696000030418278,800-4259,1,31061.95
4198696000030366343,800-4263,1,29203.54
4198696000030354570,800-4254,2,12212.39
4198696000030354227,800-4250,1,25221.24
4198696000030248715,800-4246,1,48424.78
4198696000030232504,800-4242,1,46238.93
4198696000030232083,800-4238,8,29734.51
4198696000030215472,800-4235,1,25641.59
4198696000030199588,800-4232,1,26902.65
4198696000030193683,800-4228,1,20265.49
4198696000030181800,800-4224,1,22566.37
4198696000030161514,800-4219,1,27079.65
4198696000030111938,800-4215,1,86952.21
4198696000030025167,800-4211,1,5780.53
4198696000030016784,800-4207,2,56492.03
4198696000030002718,800-4203,1,3097.34
4198696000029985170,800-4199,2,43362.83
4198696000029983005,800-4195,2,16814.16
4198696000029926159,800-4192,1,23451.33
4198696000029885446,800-4188,1,12375.22
4198696000029830056,72-3337,2,21592.92
4198696000029822737,800-4180,1,5309.73
4198696000029801517,800-4176,1,4287.62
4198696000029453185,800-4168,2,53097.35
4198696000029447709,800-4172,2,146548.67
4198696000029435301,800-4159,1,15663.72
4198696000029435257,800-4155,1,22654.87
4198696000029434158,800-4151,2,81415.93
4198696000029417308,800-4147,1,70796.46
4198696000029378329,800-4143,1,85415.93
4198696000029374479,800-4137,1,17992.92
4198696000029374038,800-4133,4,20070.8
4198696000029368207,800-4129,8,26194.69
4198696000029326569,800-4125,2,113451.33
4198696000029319179,800-4119,1,40707.96
4198696000029313513,528-0122,1,7964.6
4198696000029310287,800-4110,1,42035.4
4198696000029259257,800-4106,1,39380.52
4198696000029058738,800-4102,1,9734.51
4198696000029046493,800-4098,2,34000
4198696000029035926,800-4094,2,10800
4198696000029035185,800-4090,1,16652
4198696000029015881,800-4084,1,70796.46
4198696000029015463,800-4080,1,11800
4198696000029007622,800-4076,2,47787.61
4198696000029007287,800-4072,2,62000
4198696000028982500,800-4068,1,42136
4198696000028927686,800-4062,2,2208
4198696000028910416,800-4058,1,15824
4198696000028909773,800-4066,1,6624
4198696000028795899,800-4051,1,57592
4198696000028751325,800-4046,2,116776.99
