Item_ID,SKU,Product_ID,Sales_24M_Qty,Sales_24M_Net,Avg_Demand_6M,Last_Purchase_Price,On_Hand_Qty,Cost_Fallback,Resolved_Unit_Cost,Resolved_On_Hand_Qty,Coverage_Months,Reorder_Flag,Stock_Shortfall,Months_Short,Inventory_Value,Has_Last_Purchase,Has_On_Hand,SKU_Rule_Violation
4198696000030354227,800-4250,4198696000030354227,1,25221.24,1,18500,0,18500,18500,0,0,1,1,1,,1,1,0
4198696000026728512,800-3769,4198696000026728512,3,75763.08,1,15900,1,21616,15900,1,1,0,0,0,15900,1,1,0
4198696000023685434,800-3373,4198696000023685434,3,22225.66,1,4950,0,4950,4950,0,0,1,1,1,,1,1,0
4198696000018668417,106-2041,4198696000018668417,8,57616.73,1.6,5152,13,5152,5152,13,8.125,0,0,0,66976,1,1,0
4198696000018170058,517-1115,4198696000018170058,3,107897.35,1,24500,0,24500,24500,0,0,1,1,1,,1,1,0
4198696000015465129,67-1035,4198696000015465129,1,71681.42,1,25327.5,29,39600,25327.5,29,29,0,0,0,734497.5,1,1,0
4198696000014238745,72-3236,4198696000014238745,3,27946.02,1,6012.5,1,6012.5,6012.5,1,1,0,0,0,6012.5,1,1,0
4198696000013354829,533-129,4198696000013354829,6,155911.51,2,18950,5,18950,18950,5,2.5,0,0,0,94750,1,1,0
4198696000012108006,534-0042,4198696000012108006,24,81792,8,1950,12,2306,1950,12,1.5,0,0,0,23400,1,1,0
4198696000011175187,533-076,4198696000011175187,2,87000,1,28500,1,28500,28500,1,1,0,0,0,28500,1,1,0
4198696000011047270,534-0049,4198696000011047270,4,31994.7,2,5276,4,5276,5276,4,2,0,0,0,21104,1,1,0
4198696000007812335,46-2000,4198696000007812335,10,143192.09,1.6666666666666667,5065.5,189,7600,5065.5,189,113.39999999999999,0,0,0,957379.5,1,1,0
4198696000007811705,73-1000,4198696000007811705,99,470889.22,7.615384615384615,1133,103,2300,1133,103,13.525252525252526,0,0,0,116699,1,1,0
4198696000006632049,72-3068,4198696000006632049,13,106138.13,1.4444444444444444,5347.5,1,5388,5347.5,1,0.6923076923076923,1,0.4444444444444444,0.3076923076923077,5347.5,1,1,0
4198696000006120547,72-3065,4198696000006120547,8,63585,2,5290,0,5290,5290,0,0,1,2,1,,1,1,0
4198696000005922072,529-097,4198696000005922072,3,112152.21,1,25000,1,25000,25000,1,1,0,0,0,25000,1,1,0
4198696000005387575,72-3008,4198696000005387575,1,6725.66,1,4923.27,2,4923.27,4923.27,2,2,0,0,0,9846.54,1,1,0
4198696000005304441,524-0146,4198696000005304441,4,24029.2,1,4100,2,4100,4100,2,2,0,0,0,8200,1,1,0
4198696000005292825,72-3085,4198696000005292825,4,36244,1,6996.01,3,6996.01,6996.01,3,3,0,0,0,20988.03,1,1,0
4198696000004421007,136-1006,4198696000004421007,22,411100,5.5,6525,76,9000,6525,76,13.818181818181818,0,0,0,495900,1,1,0
4198696000002957541,72-4001,4198696000002957541,4,45096,1,7922.009999999999,0,7922.01,7922.009999999999,0,0,1,1,1,,1,1,0
4198696000001614761,522-0103,4198696000001614761,4,111360,2,18453.21,4,18453.21,18453.21,4,2,0,0,0,73812.84,1,1,0
4198696000001614608,522-0110,4198696000001614608,5,153700,1.6666666666666667,22838.75,0,22838.75,22838.75,0,0,1,1.6666666666666667,1,,1,1,0
4198696000001481095,519-0015,4198696000001481095,4,40700,1,7401.5,1,7401.5,7401.5,1,1,0,0,0,7401.5,1,1,0
4198696000001407965,524-0554,4198696000001407965,7,84052,1,6900,0,6900,6900,0,0,1,1,1,,1,1,0
4198696000001089307,21-2001,4198696000001089307,0.4,5152,0.4,7625.98,1.8,9123.27,7625.98,1.8,4.5,0,0,0,13726.764,1,1,0
4198696000000861994,509-0143,4198696000000861994,12,152482.84,1.7142857142857142,8571.68,1,8571.68,8571.68,1,0.5833333333333334,1,0.7142857142857142,0.41666666666666663,8571.68,1,1,0
4198696000000861607,509-0100,4198696000000861607,9,114622.57,1.125,8886.18,6,8886.18,8886.18,6,5.333333333333333,0,0,0,53317.08,1,1,0
4198696000000669867,3-42,4198696000000669867,3,5700,1.5,1233.02,1,1233.02,1233.02,1,0.6666666666666666,1,0.5,0.33333333333333337,1233.02,1,1,0
