Item_ID,SKU,Product_ID,Sales_24M_Qty,Sales_24M_Net,Avg_Demand_6M,Last_Purchase_Price,On_Hand_Qty,Cost_Fallback,Resolved_Unit_Cost,Resolved_On_Hand_Qty,Coverage_Months,Reorder_Flag,Stock_Shortfall,Months_Short,Inventory_Value,Has_Last_Purchase,Has_On_Hand,SKU_Rule_Violation
4198696000030947043,800-4284,,1,7654.87,1,,0,6955,6955,0,0,1,1,1,,0,1,0
4198696000030232083,800-4238,,8,29734.51,8,,0,1080,1080,0,0,1,8,1,,0,1,0
4198696000024047475,800-3413,,2,97850,2,,0,33992.94,33992.94,0,0,1,2,1,,0,1,0
4198696000023573120,800-3351,,1,21400,1,,0,12468.12,12468.12,0,0,1,1,1,,0,1,0
4198696000022901746,800-3236,,3,36061.95,1.5,,0,7500,7500,0,0,1,1.5,1,,0,1,0
4198696000022148550,800-3128,,2,17000,1,,0,5500,5500,0,0,1,1,1,,0,1,0
4198696000018627674,259-1007,,1,16548.67,1,,49,9100,9100,49,49,0,0,0,445900,0,1,0
4198696000015465327,351-2043,,2,91200,1,,28,23200,23200,28,28,0,0,0,649600,0,1,0
4198696000015465147,351-2012,,7,278709.12,1.1666666666666667,,21,21600,21600,21,18,0,0,0,453600,0,1,0
4198696000015436231,72-3253,,1,9000,1,,3,5875,5875,3,3,0,0,0,17625,0,1,0
4198696000015063536,509-1547,,6,135110,2,,0,14990,14990,0,0,1,2,1,,0,1,0
4198696000012342947,376-3147,,4,45864,1,,1,7635.48,7635.48,1,1,0,0,0,7635.48,0,1,0
4198696000011326315,510-1015,,4,474720,1,,0,83236.9,83236.9,0,0,1,1,1,,0,1,0
4198696000010698252,534-0029,,6,33465.49,3,,2,3750,3750,2,0.6666666666666666,1,1,0.33333333333333337,7500,0,1,0
4198696000010435172,800-1820,,1,165300,1,,0,95000,95000,0,0,1,1,1,,0,1,0
4198696000010346607,522-0200,,2,41000,2,,0,13900,13900,0,0,1,2,1,,0,1,0
4198696000007971019,800-1405,,2,29600,1,,0,9672.97,9672.97,0,0,1,1,1,,0,1,0
4198696000007811885,73-1015,,18,95617.26,2.5714285714285716,,184,2500,2500,184,71.55555555555556,0,0,0,460000,0,1,0
4198696000007811561,254-510,,8,18328,1.3333333333333333,,306,1150,1150,306,229.5,0,0,0,351900,0,1,0
4198696000004421529,46-2004,,7,97300,1.1666666666666667,,193,6809.4,6809.4,193,165.42857142857142,0,0,0,1314214.2,0,1,0
4198696000004421349,214-1010,,6,54000,1,,94,4212,4212,94,94,0,0,0,395928,0,1,0
4198696000004161508,531-005,,18,218705.21,1.6363636363636365,,8,8073,8073,8,4.888888888888888,0,0,0,64584,0,1,0
4198696000003873707,72-3038,,33,266351.22,2.75,,9,4800.01,4800.01,9,3.272727272727273,0,0,0,43200.090000000004,0,1,0
4198696000003359071,512-163,,1,7700,1,,2,6229.44,6229.44,2,2,0,0,0,12458.88,0,1,0
4198696000003270280,525-0035,,3,25200,1,,1,5300,5300,1,1,0,0,0,5300,0,1,0
4198696000002664199,800-176,,3,31800,1.5,,0,6929.88,6929.88,0,0,1,1.5,1,,0,1,0
4198696000001715735,800-086,,1,6200,1,,0,4050,4050,0,0,1,1,1,,0,1,0
4198696000001611089,520-0065,,1,23000,1,,4,15028.72,15028.72,4,4,0,0,0,60114.88,0,1,0
4198696000001610666,520-0113,,5,127728,1.25,,3,17285.07,17285.07,3,2.4,0,0,0,51855.21,0,1,0
4198696000001406777,524-0080,,4,26012.39,1,,1,4500,4500,1,1,0,0,0,4500,0,1,0
4198696000001197375,800-012,,1,3300,1,,0,2100,2100,0,0,1,1,1,,0,1,0
4198696000001089262,127-1022,,7,3300,3.5,,5,278.59,278.59,5,1.4285714285714286,0,0,0,1392.9499999999998,0,1,0
4198696000001046550,512-127,,3,38975.22,1,,2,8698.12,8698.12,2,2,0,0,0,17396.24,0,1,0
4198696000001045704,512-033,,6,55056,1,,3,6065.76,6065.76,3,3,0,0,0,18197.28,0,1,0
4198696000000866544,509-0574,,18,173484.07,1.6363636363636365,,6,6318.68,6318.68,6,3.6666666666666665,0,0,0,37912.08,0,1,0
4198696000000866134,509-3016,,3,36208,1,,2,8115.25,8115.25,2,2,0,0,0,16230.5,0,1,0
4198696000000865837,509-3521,,2,36495.5,1,,2,13211.33,13211.33,2,2,0,0,0,26422.66,0,1,0
4198696000000863965,509-3538,,3,82500,1.5,,3,17973.62,17973.62,3,2,0,0,0,53920.86,0,1,0
4198696000000863551,509-1041,,2,49200,2,,5,16100.98,16100.98,5,2.5,0,0,0,80504.9,0,1,0
4198696000000861445,509-0082,,6,59768,1,,4,6798.71,6798.71,4,4,0,0,0,27194.84,0,1,0
4198696000000861337,509-0070,,20,226314.34,1.5384615384615385,,11,7840.41,7840.41,11,7.1499999999999995,0,0,0,86244.51,0,1,0
4198696000000677881,376-76,,6,14900,1,,0,1336.8,1336.8,0,0,1,1,1,,0,1,0
4198696000000588340,343-17,,288,576707.01,12,,68,1500,1500,68,5.666666666666667,0,0,0,102000,0,1,0
4198696000000136936,11-233,,3,55900,1,,3,8546.56,8546.56,3,3,0,0,0,25639.68,0,1,0
4198696000000899430,130-016,,1,21100,1,,1,13778.81,13778.81,1,1,0,0,0,13778.81,0,1,0
