Item_ID,inv.SKU,On_Hand_Qty
4198696000000136423,9-307,44
4198696000000136459,10-141,58
4198696000000136495,11-12,17
4198696000000136531,11-35,18
4198696000000136567,11-47,6
4198696000000136603,11-75,6
4198696000000136639,11-90,5
4198696000000136675,11-121,2
4198696000000136711,11-125,20
4198696000000136747,11-154,34
4198696000000136783,11-176,6
4198696000000136819,11-204,6
4198696000000136855,11-210,4
4198696000000136891,11-219,3
4198696000000136927,11-232,1
4198696000000136963,11-236,6
4198696000000136999,11-254,46
4198696000000137035,11-266,19
4198696000000137071,11-272,4
4198696000000137107,11-286,122
4198696000000137143,11-291,6
4198696000000137179,11-306,3
4198696000000137215,11-322,3
4198696000000137251,11-328,3
4198696000000137287,11-359,20
4198696000000137323,11-371,5
4198696000000137359,11-399,5
4198696000000137395,11-528,6
4198696000000137431,13-23,28
4198696000000137467,13-67,50
4198696000000137503,13-106,49
4198696000000137539,13-140,50
4198696000000137575,14-35,42
4198696000000137611,14-59,50
4198696000000137647,14-126,50
4198696000000137683,14-405,50
4198696000000137719,15-17,49
4198696000000137755,15-29,48
4198696000000137791,15-59,48
4198696000000137827,15-71,50
4198696000000137863,15-94,50
4198696000000137899,15-101,50
4198696000000137935,15-120,45
4198696000000137971,15-135,45
4198696000000138007,15-142,50
4198696000000138043,15-163,50
4198696000000138079,15-210,47
4198696000000138115,15-226,50
4198696000000138151,15-250,48
4198696000000138187,15-292,50
4198696000000138223,15-361,47
4198696000000138259,15-377,50
4198696000000138295,22-374,26
4198696000000138331,29-147,20
4198696000000138367,29-158,5
4198696000000138403,39-195,5
4198696000000138439,41-57,4
4198696000000138475,41-96,46
4198696000000138511,41-120,4
4198696000000138547,41-182,0
4198696000000138583,41-208,137
4198696000000138619,41-238,51
4198696000000138655,42-37,5
4198696000000138691,43-29,43
4198696000000138727,43-56,49
4198696000000138763,44-6,15
4198696000000138799,44-26,100
4198696000000138835,44-32,100
4198696000000138871,44-48,96
4198696000000138907,44-141,100
4198696000000138943,46-58,29
4198696000000138979,46-153,21
4198696000000139015,46-197,30
4198696000000139051,46-298,20
4198696000000139087,46-422,30
4198696000000139123,46-459,29
4198696000000139159,46-464,29
4198696000000139195,57-2,9
4198696000000139231,57-23,10
4198696000000139267,57-42,10
4198696000000139303,57-65,10
4198696000000139339,58-42,19
4198696000000139375,65-43,222
4198696000000139411,74-17,30
4198696000000139447,75-35,28
4198696000000139483,83-61,25
4198696000000139519,83-230,30
4198696000000139555,83-308,30
4198696000000139591,85-111,50
4198696000000139627,85-434,50
4198696000000139663,86-6,200
