Item ID,Created Time,Sub Total (BCY),Quantity
4198696000034459772,2025-11-10 17:27:34,"CRC 32,564.65",1.00
4198696000034459676,2025-11-10 17:18:03,"CRC 11,000.00",1.00
4198696000034459362,2025-11-10 16:36:06,"CRC 51,842.90",1.00
4198696000034459259,2025-11-10 16:25:26,"CRC 14,496.22",1.00
4198696000034408957,2025-11-10 15:15:25,"CRC 8,970.00",6.00
4198696000034408663,2025-11-10 15:10:55,"CRC 39,500.00",1.00
4198696000034408525,2025-11-10 14:31:28,"CRC 72,500.00",1.00
4198696000034408390,2025-11-10 14:24:35,"CRC 5,980.00",4.00
4198696000034408388,2025-11-10 14:24:35,"CRC 4,750.00",1.00
4198696000034408298,2025-11-10 13:49:26,"CRC 25,995.00",1.00
