Product_ID,Available_Stock,Cost_Fallback,Current_Unit_Rate
4198696000000136441,58,"CRC 4,878.72",4878.72
4198696000000136477,60,"CRC 2,752.64",2752.64
4198696000000136513,5,"CRC 10,362.88",10362.88
4198696000000136549,4,"CRC 5,765.76",5765.76
4198696000000136585,6,"CRC 8,440.96",8440.96
4198696000000136621,6,"CRC 15,262.72",15262.72
4198696000000136657,9,"CRC 11,500.00",11500
4198696000000136693,4,"CRC 17,867.52",17867.52
4198696000000136729,6,"CRC 5,399.68",5399.68
4198696000000136765,5,"CRC 23,520.64",23520.64
4198696000000136801,6,"CRC 14,220.80",14220.8
4198696000000136837,5,"CRC 8,638.08",8638.08
4198696000000136873,5,"CRC 15,312.00",15312
4198696000000136909,6,"CRC 7,018.88",7018.88
4198696000000136945,34,"CRC 8,000.00",8000
4198696000000136981,3,"CRC 11,982.08",11982.08
4198696000000137017,44,"CRC 37,500.00",37500
4198696000000137053,5,"CRC 9,982.72",9982.72
4198696000000137089,6,"CRC 9,553.28",9553.28
4198696000000137125,19,"CRC 7,000.00",7000
4198696000000137161,6,"CRC 8,990.08",8990.08
4198696000000137197,6,"CRC 15,312.00",15312
4198696000000137233,4,"CRC 16,642.56",16642.56
4198696000000137269,6,"CRC 15,312.00",15312
4198696000000137305,6,"CRC 9,982.72",9982.72
4198696000000137341,6,"CRC 8,539.52",8539.52
4198696000000137377,6,"CRC 14,277.12",14277.12
4198696000000137413,50,"CRC 4,040.96",4040.96
4198696000000137449,50,"CRC 1,752.96",1752.96
4198696000000137485,50,"CRC 2,048.64",2048.64
4198696000000137521,40,"CRC 2,034.56",2034.56
4198696000000137557,44,CRC 218.24,218.24
4198696000000137593,50,CRC 570.24,570.24
4198696000000137629,50,"CRC 1,041.92",1041.92
4198696000000137665,50,CRC 119.68,119.68
4198696000000137701,50,"CRC 2,654.08",2654.08
4198696000000137737,46,"CRC 3,104.64",3104.64
4198696000000137773,48,"CRC 2,280.96",2280.96
4198696000000137809,44,"CRC 2,280.96",2280.96
4198696000000137845,43,"CRC 4,526.72",4526.72
4198696000000137881,50,"CRC 2,520.32",2520.32
4198696000000137917,54,"CRC 14,396.80",14396.8
4198696000000137953,50,"CRC 3,168.00",3168
4198696000000137989,49,"CRC 3,963.52",3963.52
4198696000000138025,50,"CRC 2,435.84",2435.84
4198696000000138061,49,"CRC 3,766.40",3766.4
4198696000000138097,50,"CRC 3,294.72",3294.72
4198696000000138133,47,"CRC 2,492.16",2492.16
4198696000000138169,50,"CRC 4,146.56",4146.56
4198696000000138205,50,"CRC 4,146.56",4146.56
4198696000000138241,50,"CRC 15,368.32",15368.32
4198696000000138277,50,"CRC 13,587.20",13587.2
4198696000000138313,198,CRC 485.76,485.76
4198696000000138349,50,"CRC 7,420.16",7420.16
4198696000000138385,20,"CRC 2,175.36",2175.36
4198696000000138421,5,"CRC 19,782.40",19782.4
4198696000000138457,50,"CRC 4,100.00",4100
4198696000000138493,4,"CRC 2,534.40",2534.4
4198696000000138529,5,"CRC 20,880.64",20880.64
4198696000000138565,50,"CRC 3,139.84",3139.84
4198696000000138601,51,"CRC 2,500.00",2500
4198696000000138637,1,"CRC 3,956.48",3956.48
4198696000000138673,50,"CRC 1,400.96",1400.96
4198696000000138709,50,"CRC 1,309.44",1309.44
4198696000000138745,48,"CRC 1,302.40",1302.4
4198696000000138781,100,CRC 98.56,98.56
4198696000000138817,100,CRC 197.12,197.12
4198696000000138853,96,CRC 63.36,63.36
