Product_ID,SKU,Available_Stock,Cost_Fallback,Current_Unit_Rate
4198696000000136423,9-307,44,CRC 401.28,401.28
4198696000000136459,10-141,58,"CRC 1,633.28",1633.28
4198696000000136495,11-12,17,"CRC 7,000.00",7000
4198696000000136531,11-35,18,"CRC 14,000.00",14000
4198696000000136567,11-47,6,"CRC 7,962.24",7962.24
4198696000000136603,11-75,6,"CRC 7,962.24",7962.24
4198696000000136639,11-90,5,"CRC 7,068.16",7068.16
4198696000000136675,11-121,2,"CRC 17,198.72",17198.72
4198696000000136711,11-125,20,"CRC 8,638.08",8638.08
4198696000000136747,11-154,34,"CRC 10,600.00",10600
4198696000000136783,11-176,6,"CRC 7,399.04",7399.04
4198696000000136819,11-204,6,"CRC 9,278.72",9278.72
4198696000000136855,11-210,4,"CRC 15,312.00",15312
4198696000000136891,11-219,3,"CRC 9,320.96",9320.96
4198696000000136927,11-232,1,"CRC 8,546.56",8546.56
4198696000000136963,11-236,6,"CRC 10,299.52",10299.52
4198696000000136999,11-254,46,"CRC 10,800.00",10800
4198696000000137035,11-266,19,"CRC 5,200.00",5200
4198696000000137071,11-272,4,"CRC 6,167.04",6167.04
4198696000000137107,11-286,122,"CRC 14,000.00",14000
4198696000000137143,11-291,6,"CRC 5,526.40",5526.4
4198696000000137179,11-306,3,"CRC 8,764.80",8764.8
4198696000000137215,11-322,3,"CRC 8,060.80",8060.8
4198696000000137251,11-328,3,"CRC 17,438.08",17438.08
4198696000000137287,11-359,20,"CRC 8,426.88",8426.88
4198696000000137323,11-371,5,"CRC 6,990.72",6990.72
4198696000000137359,11-399,5,"CRC 7,603.20",7603.2
4198696000000137395,11-528,6,"CRC 21,549.44",21549.44
4198696000000137431,13-23,28,"CRC 1,386.88",1386.88
4198696000000137467,13-67,50,CRC 809.60,809.6
4198696000000137503,13-106,49,"CRC 2,865.28",2865.28
4198696000000137539,13-140,50,"CRC 2,984.96",2984.96
4198696000000137575,14-35,42,CRC 330.88,330.88
