SKU,Sales_Product_ID,Month_Year,Total_Quantity,Net_Sales
,4198696000003276089,2024-02,1,2212.39
,4198696000004911681,2024-04,2,8495.58
,4198696000004672772,2024-04,1,16637.17
,4198696000002064197,2023-12,1,7433.63
,4198696000003872302,2024-03,2,2123.89
,4198696000004978144,2024-04,1,4513.27
,4198696000001630745,2023-12,1,15486.73
,4198696000005486184,2024-05,1,7964.6
,4198696000003220104,2024-02,1,2566.37
,4198696000005035350,2024-04,1,11327.43
,4198696000002776065,2024-01,1,8053.1
,4198696000001593960,2023-12,2,74867.26
,4198696000003508346,2024-02,1,2035.4
,4198696000005362073,2024-05,1,24601.77
,4198696000003952207,2024-03,2600,2300.88
,4198696000011148485,2024-10,20,9769.91
,4198696000012697435,2024-11,1,16814.16
,4198696000013393289,2024-12,2,35752.21
,4198696000010310152,2024-10,1,3097.35
,4198696000011451697,2024-10,1,15929.2
,4198696000012035391,2024-11,1,2920.35
,4198696000013093130,2024-11,1,2930.97
,4198696000011533593,2024-10,1,9380.53
,4198696000012814817,2024-11,2,619.47
,4198696000010344049,2024-10,4424.78,3915.73
,4198696000011663107,2024-11,1,30530.97
,4198696000012995217,2024-11,2,21769.91
,4198696000013400229,2024-12,2,9203.54
,4198696000012467715,2024-11,1,79646.02
,4198696000013233122,2024-12,2500,2212.39
,4198696000010693678,2024-10,2,20000
,4198696000012123008,2024-11,1,840.71
,4198696000012700220,2024-11,1,3745.13
,4198696000010611062,2024-10,1,18230.09
,4198696000013451387,2024-12,1,28672.57
,4198696000014226902,2024-12,1,5398.23
,4198696000017520715,2025-02,1,5210.62
,4198696000017952094,2025-02,1,4070.8
,4198696000014968004,2025-01,2,8672.57
,4198696000015689545,2025-01,2,42336.28
,4198696000017598811,2025-02,4,11681.42
,4198696000014575066,2024-12,2,13097.35
,4198696000014373400,2024-12,2,2477.88
,4198696000017397160,2025-02,1,13805.31
,4198696000015213324,2025-01,1,14899.12
,4198696000014583113,2024-12,1,7164.6
,4198696000018192075,2025-02,5,1548.67
,4198696000018255750,2025-02,1,10000
,4198696000005855375,2024-05,2,15929.2
,4198696000008000378,2024-08,1,22389.38
,4198696000009865008,2024-09,1,19469.03
,4198696000006609224,2024-06,2,42477.88
,4198696000009563027,2024-09,1,39557.52
,4198696000006933345,2024-07,1,7876.11
,4198696000005662146,2024-05,1,2920.35
,4198696000006855143,2024-06,15,4646.02
,4198696000008000860,2024-08,1,19911.5
,4198696000009030570,2024-09,1,3982.3
,4198696000007819393,2024-07,1,9469.03
,4198696000007752912,2024-07,1,12123.89
,4198696000009182198,2024-09,1,22477.88
,4198696000008099488,2024-08,2,1946.9
,4198696000018930464,2025-03,1,26991.15
,4198696000019969092,2025-03,1,36474.34
,4198696000020128135,2025-03,1,26053.1
,4198696000022256150,2025-04,5,1548.67
,4198696000018771587,2025-02,1,22920.35
,4198696000020183592,2025-03,1,14955.75
,4198696000022603825,2025-05,1,13893.81
,4198696000021266146,2025-04,1,11316.81
,4198696000019007068,2025-03,2,1628.32
,4198696000019895332,2025-03,1,2920.35
,4198696000023001563,2025-05,1,3008.85
,4198696000020446335,2025-03,1,70796.46
,4198696000020072117,2025-03,1,43362.83
,4198696000022155686,2025-04,8,2477.88
,4198696000023062921,2025-05,1,62566.37
,4198696000023798748,2025-05,2,12743.36
,4198696000024863691,2025-06,1,43476.11
,4198696000026630700,2025-07,1700,1504.42
,4198696000026964653,2025-07,1,12743.36
,4198696000023424679,2025-05,1,2116.81
,4198696000024377014,2025-06,1,31182.3
,4198696000025001668,2025-06,1,20265.49
,4198696000022784074,2025-05,1,24601.77
,4198696000027111224,2025-07,1,7433.63
,4198696000023688175,2025-05,1,7522.12
,4198696000025479055,2025-06,3,929.2
,4198696000026426307,2025-07,1,14899.12
,4198696000023398076,2025-05,1,3093.81
,4198696000023957125,2025-06,2,3539.82
,4198696000024789135,2025-06,2,4424.78
,4198696000025242075,2025-06,1,61946.9
,4198696000026911401,2025-07,2,12212.39
,4198696000026694886,2025-07,1,6017.7
,4198696000027858235,2025-08,1,9281.42
,4198696000028111723,2025-08,1,69911.5
,4198696000029033208,2025-08,2,63716.81
,4198696000029311142,2025-09,1,32484.96
,4198696000030238228,2025-09,1,5617.7
,4198696000031446368,2025-09,1,4860
,4198696000027389375,2025-07,7,2168.14
,4198696000028557315,2025-08,2000,1769.91
,4198696000029313612,2025-09,1,1592.92
,4198696000030213313,2025-09,1,8743.36
,4198696000028419102,2025-08,1,33805.31
,4198696000029368783,2025-09,1,24778.76
,4198696000031246565,2025-09,1,7650.44
,4198696000027292052,2025-07,1,19469.03
,4198696000028747339,2025-08,1,7566.37
,4198696000029893318,2025-09,1,33097.35
,4198696000031445571,2025-09,14,5575.22
,4198696000027039822,2025-07,1500,1327.43
,4198696000031846775,2025-10,6,21982.32
,4198696000031492212,2025-10,2,30800
,4198696000031555684,2025-10,1,5044.25
,4198696000033313068,2025-10,1,15553
,4198696000031626156,2025-10,1,15575.22
,4198696000032860250,2025-10,1,15221.24
,4198696000033254619,2025-10,2,13678
,4198696000033362925,2025-10,2,707.96
,4198696000033586969,2025-11,1,28416
,4198696000002344148,2024-01,1,21415.93
,4198696000003976670,2024-03,1,2920.35
,4198696000002000030,2023-12,1,3982.3
,4198696000005258149,2024-05,1,49469.03
,4198696000003681463,2024-03,1,6371.68
,4198696000004916950,2024-04,1,17079.65
,4198696000005285867,2024-05,1,3893.81
,4198696000004906913,2024-04,1,64955.75
,4198696000004708324,2024-04,1,16371.68
,4198696000002566004,2024-01,1,45398.23
,4198696000003080147,2024-02,1,22566.37
,4198696000004911459,2024-04,2,8495.58
,4198696000010185059,2024-09,1,16283.19
,4198696000011795346,2024-11,1,12130.97
,4198696000011624212,2024-11,1,1858.41
,4198696000009964414,2024-09,1,60951.33
,4198696000011331811,2024-10,2300,2035.4
,4198696000012372539,2024-11,2,56460.18
,4198696000013115168,2024-11,1,9380.53
,4198696000010084540,2024-09,1,3446.9
,4198696000010549476,2024-10,1,14601.77
,4198696000011850314,2024-11,1,3362.83
,4198696000010252053,2024-10,4,9203.54
,4198696000012517754,2024-11,1,40530.97
,4198696000010644585,2024-10,2,26548.67
,4198696000013095861,2024-11,1,2566.37
,4198696000013598174,2024-12,1,7964.6
,4198696000010535399,2024-10,1,6017.7
,4198696000015064641,2025-01,1,20884.96
,4198696000017815237,2025-02,1,98053.1
,4198696000014725143,2024-12,16,4955.75
,4198696000018466004,2025-02,1,7079.65
,4198696000018035142,2025-02,1,24601.77
,4198696000015064343,2025-01,1,18053.1
,4198696000016172137,2025-01,2,7079.65
,4198696000017601438,2025-02,1,54415.93
,4198696000017020016,2025-02,2,22831.86
,4198696000014491949,2024-12,1,123893.81
,4198696000016051366,2025-01,1,11327.43
,4198696000017636290,2025-02,11,0
,4198696000017601090,2025-02,4,92035.4
,4198696000014270283,2024-12,1,10265.49
,4198696000006649004,2024-06,1,4955.75
,4198696000009414577,2024-09,2,8141.59
,4198696000008464177,2024-08,1,13893.81
,4198696000006385450,2024-06,1,107610.62
,4198696000007082391,2024-07,1,62389.38
,4198696000006121270,2024-06,1,10707.96
,4198696000007723141,2024-07,1,8761.06
,4198696000007082077,2024-07,1,42035.4
,4198696000009870004,2024-09,1,10796.46
,4198696000009029060,2024-09,1,17433.63
,4198696000007132685,2024-07,6,74336.28
,4198696000006557022,2024-06,1,25221.24
,4198696000006417750,2024-06,1,5221.24
,4198696000019767450,2025-03,2,707.96
,4198696000020839363,2025-04,2,6548.67
,4198696000022256148,2025-04,1,13893.81
,4198696000022448290,2025-04,1,16364.6
,4198696000020236350,2025-03,1,16194.69
,4198696000018841608,2025-02,1,4070.8
,4198696000019053347,2025-03,3600,3185.84
,4198696000020367101,2025-03,1,4424.78
,4198696000019197652,2025-03,1,23008.85
,4198696000021601028,2025-04,1,4070.8
,4198696000019674004,2025-03,1,973.45
,4198696000023379387,2025-05,2,9734.51
,4198696000023898008,2025-05,2,27079.65
,4198696000025587334,2025-06,2,3362.83
,4198696000025890656,2025-07,1,14159.29
,4198696000025762059,2025-07,2,15132.74
,4198696000026964575,2025-07,1,4061.95
,4198696000023428702,2025-05,2,6838.94
,4198696000024336343,2025-06,4,26704.42
,4198696000025829131,2025-07,2,29911.5
,4198696000024868014,2025-06,1,7345.13
,4198696000023952618,2025-06,2,21168.14
,4198696000024831093,2025-06,1,17699.12
,4198696000026945006,2025-07,1,9932.74
,4198696000023123008,2025-05,1,38428.32
,4198696000025345870,2025-06,4,92035.4
,4198696000025153103,2025-06,4,24099.12
,4198696000028326868,2025-08,1,17840.71
,4198696000030195050,2025-09,1,9557.52
,4198696000027236078,2025-07,1,38509.73
,4198696000028681237,2025-08,1,1465.49
,4198696000030096307,2025-09,2000,1769.91
,4198696000031167790,2025-09,1,18407.08
,4198696000027366453,2025-07,2,22470.8
,4198696000029040973,2025-08,2,14003.54
,4198696000029453665,2025-09,2,619.47
,4198696000030023424,2025-09,1,1415.93
,4198696000028277052,2025-08,1,14817.7
,4198696000029030251,2025-08,2000,1769.91
,4198696000030149417,2025-09,1,15061.95
,4198696000031374611,2025-09,4,12035.4
,4198696000031896214,2025-10,1,488.5
,4198696000032361548,2025-10,2,18495.58
,4198696000031616261,2025-10,2,29380.54
,4198696000033357314,2025-10,1,9836
,4198696000031688698,2025-10,4,9444.25
