,,Type,Avg. Purchase Value Trend line
Dec 2024,$97.44K,Actual,$144.99K
Jan 2025,$253.62K,Actual,$143.59K
Feb 2025,$125.16K,Actual,$142.19K
Mar 2025,$245.66K,Actual,$140.93K
Apr 2025,$88.80K,Actual,$139.53K
May 2025,$89.46K,Actual,$138.18K
Jun 2025,$82.63K,Actual,$136.79K
Jul 2025,$94.93K,Actual,$135.44K
Aug 2025,$50.42K,Actual,$134.05K
Sep 2025,$73.33K,Actual,$132.67K
Oct 2025,$318.13K,Actual,$131.33K
Nov 2025,$129.99K,Forecast,$129.94K
Dec 2025,$128.63K,Forecast,$128.61K
Jan 2026,$127.27K,Forecast,$127.23K
Feb 2026,$125.91K,Forecast,$125.85K
Mar 2026,$124.55K,Forecast,$124.61K
