Cost Of Sales,Sales Value,Projected Profit,,Type,Cost Of Sales Trend line,Sales Value Trend line,Projected Profit Trend line
"$22,907.74K","$32,953.14K","$10,045.40K",Dec 2024,Actual,"$22,033.42K","$31,263.51K","$10,776.21K"
"$24,441.30K","$35,486.73K","$11,045.43K",Jan 2025,Actual,"$22,401.44K","$31,946.47K","$10,080.33K"
"$21,406.20K","$30,541.67K","$9,135.47K",Feb 2025,Actual,"$22,769.45K","$32,629.42K","$9,699.92K"
"$25,659.86K","$37,033.95K","$11,374.10K",Mar 2025,Actual,"$23,101.86K","$33,246.29K","$9,590.80K"
"$21,197.78K","$30,471.80K","$9,274.03K",Apr 2025,Actual,"$23,469.87K","$33,929.25K","$9,688.92K"
"$20,345.26K","$29,084.58K","$8,739.32K",May 2025,Actual,"$23,826.01K","$34,590.18K","$9,962.74K"
"$21,449.91K","$31,012.68K","$9,562.77K",Jun 2025,Actual,"$24,194.03K","$35,273.14K","$10,387.56K"
"$25,660.16K","$37,099.00K","$11,438.84K",Jul 2025,Actual,"$24,550.17K","$35,934.07K","$10,894.86K"
"$26,636.86K","$37,392.98K","$10,756.12K",Aug 2025,Actual,"$24,918.19K","$36,617.03K","$11,475.51K"
"$26,454.17K","$39,062.48K","$12,608.31K",Sep 2025,Actual,"$25,286.20K","$37,299.99K","$12,069.87K"
"$26,052.30K","$40,587.84K","$14,535.54K",Oct 2025,Actual,"$25,642.35K","$37,960.92K","$12,616.55K"
"$26,003.90K","$38,631.61K","$12,627.71K",Nov 2025,Forecast,"$26,010.36K","$38,643.88K","$13,109.06K"
"$26,364.98K","$39,301.62K","$12,936.64K",Dec 2025,Forecast,"$26,366.50K","$39,304.80K","$13,474.49K"
"$26,726.06K","$39,971.63K","$13,245.57K",Jan 2026,Forecast,"$26,734.52K","$39,987.76K","$13,694.28K"
"$27,087.15K","$40,641.65K","$13,554.50K",Feb 2026,Forecast,"$27,102.53K","$40,670.72K","$13,709.99K"
"$27,448.23K","$41,311.66K","$13,863.43K",Mar 2026,Forecast,"$27,434.93K","$41,287.59K","$13,512.07K"
