Item ID,Estimate ID,Product ID,Item Name,Quantity,Total (BCY),Sub Total (BCY),Last Modified Time,Created Time,Project ID,Expense ID
4198696000000943005,4198696000000943003,4198696000000602374,CHV DELO 400 SDE 15W40 CK4  (3/1 GAL),1.00,"CRC 18,230.09","CRC 18,230.09",2023-11-01 22:40:29,2023-11-01 22:38:53,,
4198696000000943007,4198696000000943003,4198696000000602356,CHV URSA PR TDX 15W40 CI-4 (3/1 GA),1.00,"CRC 14,955.75","CRC 14,955.75",2023-11-01 22:40:29,2023-11-01 22:38:53,,
4198696000000943009,4198696000000943003,4198696000000602338,CHV URSA SUPER TD 15W-40 (3/1 GA),1.00,"CRC 13,362.83","CRC 13,362.83",2023-11-01 22:40:29,2023-11-01 22:38:53,,
4198696000000943011,4198696000000943003,4198696000000602554,CHV DELO STARPLEX EP 2 (4-10/14),1.00,"CRC 3,274.34","CRC 3,274.34",2023-11-01 22:40:29,2023-11-01 22:38:53,,
4198696000000943013,4198696000000943003,4198696000000602545,CHV MULTIFAK EP 2 (4-10/14),1.00,"CRC 2,920.35","CRC 2,920.35",2023-11-01 22:40:29,2023-11-01 22:38:53,,
4198696000000943015,4198696000000943003,4198696000000588232,CHAMPÚ PARA AUTO 1 GALON,1.00,"CRC 6,548.67","CRC 6,548.67",2023-11-01 22:40:29,2023-11-01 22:38:53,,
4198696000000943017,4198696000000943003,4198696000000588250,CHAMPÚ PARA AUTO CON CERA 1 GALON,1.00,"CRC 7,610.62","CRC 7,610.62",2023-11-01 22:40:29,2023-11-01 22:38:53,,
4198696000000943019,4198696000000943003,4198696000000588268,LLANTIN REPELENTE GEL 1 GALON,1.00,"CRC 15,486.73","CRC 15,486.73",2023-11-01 22:40:29,2023-11-01 22:38:53,,
4198696000000943021,4198696000000943003,4198696000000588286,DESENGRASANTE MULTIPROPÓSITO 1 GALON,1.00,"CRC 6,902.65","CRC 6,902.65",2023-11-01 22:40:29,2023-11-01 22:38:53,,
4198696000000943023,4198696000000943003,4198696000000588304,DESENGRASANTE INDUSTRIAL H.D. 1 GALON,1.00,"CRC 7,964.60","CRC 7,964.60",2023-11-01 22:40:29,2023-11-01 22:38:53,,
4198696000000943025,4198696000000943003,4198696000000588322,RESTAURADOR DE ALUMINIO (ALUMINOL) 1 GALON,1.00,"CRC 7,964.60","CRC 7,964.60",2023-11-01 22:40:29,2023-11-01 22:38:53,,
4198696000000943027,4198696000000943003,4198696000000588205,ABRILLANTADOR MULTIUSO 1 LITRO,1.00,"CRC 4,424.78","CRC 4,424.78",2023-11-01 22:40:29,2023-11-01 22:38:53,,
4198696000000986037,4198696000000986035,4198696000000864757,BOMBA AUX FRENO TY YARIS 07-20 COROLLA C/TORNILLO PRIUS LH 3/4,1.00,"CRC 7,610.62","CRC 7,610.62",2023-11-04 12:32:10,2023-11-04 12:29:05,,
4198696000000986039,4198696000000986035,4198696000000864631,BOMBA AUX FRENO TY YARIS 07-17COROLLA C/TORNILLO PRIUS RH 3/4,1.00,"CRC 7,610.62","CRC 7,610.62",2023-11-04 12:32:10,2023-11-04 12:29:05,,
4198696000000986041,4198696000000986035,4198696000000899304,NGK BUJIA BKR5EGP = BKR5E/E-11 7090,4.00,"CRC 14,513.27","CRC 14,513.27",2023-11-04 12:32:10,2023-11-04 12:29:05,,
4198696000000986043,4198696000000986035,4198696000000862885,ZAPATA F TY YARIS 06-,1.00,"CRC 9,911.50","CRC 9,911.50",2023-11-04 12:32:10,2023-11-04 12:29:05,,
4198696000000986057,4198696000000986035,4198696000000844012,WAGNER LIQ FRENO DOT4  1/4 32oz  PLAST (c,1.00,"CRC 6,017.70","CRC 6,017.70",2023-11-04 12:32:10,2023-11-04 12:29:05,,
4198696000001064001,4198696000001062001,4198696000000860770,PASTILLA F SM TY YARIS 06- GREET WALL C30 SEDAN TAX,1.00,"CRC 8,230.09","CRC 8,230.09",2023-11-07 12:10:41,2023-11-07 11:05:02,,
4198696000001064003,4198696000001062001,4198696000000602437,CHV SUPREME M/O 20W50  SN + (3/5 QT AS,1.00,"CRC 15,486.73","CRC 15,486.73",2023-11-07 12:10:41,2023-11-07 11:05:02,,
4198696000001064005,4198696000001062001,4198696000000863488,DISCO F TY DEL YARIS 06-13,2.00,"CRC 38,053.10","CRC 38,053.10",2023-11-07 12:10:41,2023-11-07 11:05:02,,
4198696000001117003,4198696000001117001,4198696000001040896,COMPENSADOR DELANTERO RH FORD FIESTA 2004-/  IKON 2007- MAZDA 2 DEMIO,1.00,"CRC 17,876.11","CRC 17,876.11",2023-11-09 10:50:58,2023-11-09 10:43:31,,
4198696000001119001,4198696000001117001,4198696000000144631,COMPENSADOR DELANTERO LH MAZDA 2/ DEMIO 2007-2014 .,1.00,"CRC 17,876.11","CRC 17,876.11",2023-11-09 10:50:58,2023-11-09 10:43:31,,
4198696000001119003,4198696000001117001,4198696000000144613,COMPENSADOR DELANTERO LH MAZDA3 2004-2009 AXELA .,1.00,"CRC 17,345.13","CRC 17,345.13",2023-11-09 10:50:58,2023-11-09 10:43:31,,
4198696000001119005,4198696000001117001,4198696000001040788,COMPENSADOR DELANTERO LH TOYOTA CAMRY 2006-  ACV40 JAPAN IMPORT,1.00,"CRC 20,000.00","CRC 20,000.00",2023-11-09 10:50:58,2023-11-09 10:43:31,,
4198696000001119007,4198696000001117001,4198696000000144604,COMPENSADOR DELANTERO LH TOYOTA COROLLA 140/ RUNX HATCH BACK 2002-2007,1.00,"CRC 18,053.10","CRC 18,053.10",2023-11-09 10:50:58,2023-11-09 10:43:31,,
4198696000001119009,4198696000001117001,4198696000001040914,COMPENSADOR DELANTERO LH/RH TOYOTA PASSO 2004- DAIHATSU SIRON/ STORIA/ 2005-,1.00,"CRC 16,106.19","CRC 16,106.19",2023-11-09 10:50:58,2023-11-09 10:43:31,,
4198696000001124003,4198696000001124001,4198696000000138295,CENTRO DIFERENCIAL TOYOTA HILUX YN 4:55 RATIO/ PROP 9.41 10 HOLES MOUNTING IMPORT DIFF HILUX  4X2 2008-,1.00,"CRC 92,035.40","CRC 92,035.40",2023-11-09 12:19:11,2023-11-09 12:17:16,,
4198696000001143025,4198696000001143023,4198696000000143245,LUZ LATERAL (ESQUINERO) LH E MARK ISUZU TFR 1997  .,1.00,"CRC 1,858.41","CRC 1,858.41",2023-11-10 16:53:20,2023-11-10 16:53:07,,
4198696000001143027,4198696000001143023,4198696000000143281,LUZ LATERAL (ESQUINERO) LH NISSAN 1 TONNER FRONTIER 1998  .,1.00,"CRC 2,831.86","CRC 2,831.86",2023-11-10 16:53:20,2023-11-10 16:53:07,,
4198696000001143029,4198696000001143023,4198696000000143326,LUZ LATERAL (ESQUINERO) LH NISSAN FRONTIER 2002 TIPO DIAMANTE,1.00,"CRC 3,805.31","CRC 3,805.31",2023-11-10 16:53:20,2023-11-10 16:53:07,,
4198696000001143031,4198696000001143023,4198696000000143227,LUZ LATERAL (ESQUINERO) LH TOYOTA COROLLA AE110 .,1.00,"CRC 2,654.87","CRC 2,654.87",2023-11-10 16:53:20,2023-11-10 16:53:07,,
4198696000001143033,4198696000001143023,4198696000000143299,LUZ LATERAL (ESQUINERO) LH TOYOTA COROLLA AE111 1999  .,1.00,"CRC 2,831.86","CRC 2,831.86",2023-11-10 16:53:20,2023-11-10 16:53:07,,
4198696000001143035,4198696000001143023,4198696000000143173,LUZ LATERAL (ESQUINERO) LH TOYOTA HILUX 4X4 YN NEGRA,1.00,"CRC 2,654.87","CRC 2,654.87",2023-11-10 16:53:20,2023-11-10 16:53:07,,
4198696000001143037,4198696000001143023,4198696000000143263,LUZ LATERAL (ESQUINERO) LH TOYOTA HILUX CROMADO 1998  .,1.00,"CRC 3,274.34","CRC 3,274.34",2023-11-10 16:53:20,2023-11-10 16:53:07,,
4198696000001143039,4198696000001143023,4198696000000143317,LUZ LATERAL (ESQUINERO) LH TOYOTA HILUX R/ BODY 2002 .,1.00,"CRC 3,097.35","CRC 3,097.35",2023-11-10 16:53:20,2023-11-10 16:53:07,,
4198696000001145013,4198696000001145011,4198696000000136558,TIJERETA COMPLETA INFERIOR RH NISSAN  (D21) 1985-1998,1.00,"CRC 15,929.20","CRC 15,929.20",2023-11-10 10:54:16,2023-11-10 10:54:01,,
4198696000001145015,4198696000001145011,4198696000000137062,TIJERETA DELANTERA INFERIOR LH (PARTE TRASERA) MAZDA 6/ ATENZA 2003-2008 .,1.00,"CRC 19,469.03","CRC 19,469.03",2023-11-10 10:54:16,2023-11-10 10:54:01,,
4198696000001145017,4198696000001145011,4198696000000137080,TIJERETA DELANTERA INFERIOR LH HONDA FIT/ JAZZ/ CITY IMPORTADO,1.00,"CRC 12,389.38","CRC 12,389.38",2023-11-10 10:54:16,2023-11-10 10:54:01,,
4198696000001145019,4198696000001145011,4198696000000137404,TIJERETA DELANTERA INFERIOR RH MAZDA3/ AXELA MAZDA 3 2014  .,1.00,"CRC 30,088.50","CRC 30,088.50",2023-11-10 10:54:16,2023-11-10 10:54:01,,
4198696000001145021,4198696000001145011,4198696000000136504,TIJERETA INFERIOR (SIN ROTULA)  LH TOYOTA COROLLA 00-08 DIESEL/GASOLINA,1.00,"CRC 13,097.35","CRC 13,097.35",2023-11-10 10:54:16,2023-11-10 10:54:01,,
4198696000001145023,4198696000001145011,4198696000000136495,TIJERETA INFERIOR (SIN ROTULA) RH TOYOTA COROLLA 00-08 DIESEL/GASOLINA,1.00,"CRC 13,097.35","CRC 13,097.35",2023-11-10 10:54:16,2023-11-10 10:54:01,,
