Inventory Adjustment Item ID,Price (BCY),Name,Description,Usage Unit,Quantity Adjusted,Value Adjusted,Currency Code,Total (FCY),Total,Price (FCY),Created Time,Last Modified Time
4198696000000996009,"CRC 2,574.00",REGULADOR DE VOLTAJE 12V 6 PINES CONECTOR REDONDO TOYOTA,REGULADOR DE VOLTAJE 12V 6 PINES CONECTOR REDONDO TOYOTA,Pcs,20.00,CRC 0.00,CRC,"CRC 51,480.00","CRC 51,480.00","CRC 2,574.00",2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996011,CRC 0.00,BOMBILLO 24V P21/ 5W DOBLE CONTACTO BAY15D .,BOMBILLO 24V P21/ 5W DOBLE CONTACTO BAY15D .,Pcs,-1.00,CRC 0.00,CRC,CRC 0.00,CRC 0.00,CRC 0.00,2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996013,CRC 33.00,BOMBILLO 12V 1 CONTACTO AMBAR PUSH TIPO,BOMBILLO 12V 1 CONTACTO AMBAR PUSH TIPO,Pcs,10.00,CRC 0.00,CRC,CRC 330.00,CRC 330.00,CRC 33.00,2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996015,CRC 0.00,BOMBILLO H3 12VOLT CON CABLE 100W OFF ROAD .,BOMBILLO H3 12VOLT CON CABLE 100W OFF ROAD .,Pcs,-16.00,CRC 0.00,CRC,CRC 0.00,CRC 0.00,CRC 0.00,2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996017,CRC 0.00,BOMBILLO 24V 5W PUSH TIPO W5W W2 1X9 5D .,BOMBILLO 24V 5W PUSH TIPO W5W W2 1X9 5D .,Pcs,-2.00,CRC 0.00,CRC,CRC 0.00,CRC 0.00,CRC 0.00,2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996019,CRC 154.00,BOMBILLO H3 24V 70W CON CABLE .,BOMBILLO H3 24V 70W CON CABLE .,Pcs,16.00,CRC 0.00,CRC,"CRC 2,464.00","CRC 2,464.00",CRC 154.00,2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996021,CRC 0.00,ESCOBILLA UNIVERSAL 26PULG (660MM) TOYOTA ETIOS AURIS SIN MARCO,ESCOBILLA UNIVERSAL 26PULG (660MM) TOYOTA ETIOS AURIS SIN MARCO,Pcs,-3.00,CRC 0.00,CRC,CRC 0.00,CRC 0.00,CRC 0.00,2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996023,CRC 0.00,LINGA DE CARGA PESADA CON COLA,LINGA DE CARGA PESADA CON COLA,Pcs,-2.00,CRC 0.00,CRC,CRC 0.00,CRC 0.00,CRC 0.00,2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996025,CRC 0.00,LINGA BLANCA 3TON 9M 50MM DE ANCHO,LINGA BLANCA 3TON 9M 50MM DE ANCHO,Pcs,-3.00,CRC 0.00,CRC,CRC 0.00,CRC 0.00,CRC 0.00,2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996027,CRC 0.00,FILTRO DE AIRE TOYOTA COROLLA/ CONQUEST 1.6 HEI40MM OD254MM IDT21MM.,FILTRO DE AIRE TOYOTA COROLLA/ CONQUEST 1.6 HEI40MM OD254MM IDT21MM.,Pcs,-1.00,CRC 0.00,CRC,CRC 0.00,CRC 0.00,CRC 0.00,2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996029,CRC 0.00,GAZA PLASTICA 395X4.7 100PP,GAZA PLASTICA 395X4.7 100PP,Pcs,-1.00,CRC 0.00,CRC,CRC 0.00,CRC 0.00,CRC 0.00,2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996031,"CRC 1,303.50",SET CORNETAS 12V SONIDO DUAL,SET CORNETAS 12V SONIDO DUAL,Pcs,50.00,CRC 0.00,CRC,"CRC 65,175.00","CRC 65,175.00","CRC 1,303.50",2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996033,CRC 962.50,CORNETA 24V,CORNETA 24V,Pcs,50.00,CRC 0.00,CRC,"CRC 48,125.00","CRC 48,125.00",CRC 962.50,2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996035,CRC 0.00,CALIPER DELANTERO LH ISUZU KB SERIES D973B/ DISTANCIA ENTRE BASES DE FIBRA 120MM .,CALIPER DELANTERO LH ISUZU KB SERIES D973B/ DISTANCIA ENTRE BASES DE FIBRA 120MM .,Pcs,-1.00,CRC 0.00,CRC,CRC 0.00,CRC 0.00,CRC 0.00,2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996037,CRC 0.00,HALOGENO RH TOYOTA COROLLA 2002-2003 .,HALOGENO RH TOYOTA COROLLA 2002-2003 .,Pcs,-3.00,CRC 0.00,CRC,CRC 0.00,CRC 0.00,CRC 0.00,2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996039,CRC 0.00,HALOGENO LH TOYOTA COROLLA 2002-2003 .,HALOGENO LH TOYOTA COROLLA 2002-2003 .,Pcs,-3.00,CRC 0.00,CRC,CRC 0.00,CRC 0.00,CRC 0.00,2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996041,CRC 0.00,SENSOR DE POSICION DE CIGÜEÑAL SENSOR TOYOTA QUANTUM/ REGIUS/ INNOVA 2TRFE/ 1TRFE .,SENSOR DE POSICION DE CIGÜEÑAL SENSOR TOYOTA QUANTUM/ REGIUS/ INNOVA 2TRFE/ 1TRFE .,Pcs,-1.00,CRC 0.00,CRC,CRC 0.00,CRC 0.00,CRC 0.00,2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996043,CRC 0.00,BOMBA DE COMBUSTIBLE MAZDA/ FORD F6 COURIER/ MAZDA 626 .,BOMBA DE COMBUSTIBLE MAZDA/ FORD F6 COURIER/ MAZDA 626 .,Pcs,-5.00,CRC 0.00,CRC,CRC 0.00,CRC 0.00,CRC 0.00,2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996045,CRC 0.00,BOMBA DE COMBUSTIBLE NISSAN 1 TONNER (FRONTIER) Z22/ Z24 .,BOMBA DE COMBUSTIBLE NISSAN 1 TONNER (FRONTIER) Z22/ Z24 .,Pcs,-5.00,CRC 0.00,CRC,CRC 0.00,CRC 0.00,CRC 0.00,2023-11-04 12:28:30,2023-11-07 09:33:18
4198696000000996047,CRC 0.00,BOMBA DE COMBUSTIBLE TOYOTA 21R LATE/ 22R ENGINE .,BOMBA DE COMBUSTIBLE TOYOTA 21R LATE/ 22R ENGINE .,Pcs,-5.00,CRC 0.00,CRC,CRC 0.00,CRC 0.00,CRC 0.00,2023-11-04 12:28:30,2023-11-07 09:33:18
