Item Name,Count,Amount,Invoice Overdue Count,Invoice Overdue Amount
Grand Summary:,"17,437","CRC 663,395,109.98",3.00,"190,701.79"
"-No Value-",1,"CRC 87,425.00",0.00,0.00
"""2960, TIPO C. 87X10 ROT. SUSP. INF. RH/LH. HYU. H-1,STAREX. 97/07 = 54530-4AA00, 47000. 4.TOR. SB-7762, CBKH16""",1,"CRC 128,928.80",0.00,0.00
"""8-10456541-0 PC404 ISUZU RODEO TROOPER 3,2L""",1,"CRC 29,000.00",0.00,0.00
"""ALS1101 CGQHD010 ABS TRACERO DERECHO CRV 02-06""",1,"CRC 167,800.00",0.00,0.00
"""AMORT DEL LH SUZ CELERIO 14-20 SUZ ALTO 09-15 (K10B) C/ROT EST // Plato gde""",1,"CRC 65,800.00",0.00,0.00
"""AMORT DEL RH SUZ CELERIO 14-20 SUZ ALTO 09-15 (K10B) C/ROT EST // Plato gde """,1,"CRC 65,800.00",0.00,0.00
"""Am.DAI Terios 97-00 Tras R/L J100 Gas (4853087401) """,1,"CRC 99,400.00",0.00,0.00
"""Am.HD Accord 86-89 Del LH G (341073) Silvínes móviles""",1,"CRC 153,000.00",0.00,0.00
"""Am.HD Accord 86-89 Del RH G (341072) Silvínes móviles """,1,"CRC 153,000.00",0.00,0.00
"""Am.HD Accord 86-89 Tras G (441063)(341074)""",1,"CRC 153,000.00",0.00,0.00
"""Am.HY Tucson 04-10 Del LH Gas KIA Sportage 05-09 (334503)""",1,"CRC 51,500.00",0.00,0.00
"""Am.HY Tucson 04-10 Del RH Gas KIA Sportage 05-09 (334502)""",1,"CRC 64,400.00",0.00,0.00
"""Am.MIT Lancer 03-08 Del R/L Chasis CS3 Gas""",2,"CRC 84,450.00",0.00,0.00
"""Am.MIT Lancer 97-00 Del LH Plato alto Gas Altura plato 9.5"""" espiga todo rosca. (16247)(333225) """,2,"CRC 154,112.00",0.00,0.00
"""Am.MIT Lancer 97-00 Del RH Plato alto Gas Altura plato 9.5"""" espiga todo rosca. (16246)(333224""",2,"CRC 154,112.00",0.00,0.00
"""Am.TY Prado/Runner 95-02 /Land Cruiser 96-02(Tacoma 95-05 4x2/4x4) Del R/L Gas (551083-551084)(U3752)""",1,"CRC 74,800.00",0.00,0.00
"""BOMBA AGUA HY ELANTRA 1.8CC 12- /TUCSON 09- /SPORTAGE 11-""",1,"CRC 18,308.00",0.00,0.00
"""BOMBA CLUTCH HY. COUNTY/MIGHTY/HD65/72/78 (7/8) 98-04""",1,"CRC 56,000.00",0.00,0.00
"""Bush-Ten-Del-Toyota-Tacoma-4X2-95-04 M-16X52X60""",1,"CRC 123,340.00",0.00,0.00
"""Bush-Ten-Tras-Hyundai-Accent-11-15-Kia- Rio-Arrastre M-12X70X79 (Igual KO528)""",1,"CRC 105,000.00",0.00,0.00
"""Bush-Tij-Del-Inf-Int-Honda-Civic-97-00-M- 14X37X50""",2,"CRC 59,600.00",0.00,0.00
"""Bush-Tij-Del-Sup-Toyota-Tacoma-4X2-95- 04 M-18X36X50""",1,"CRC 123,340.00",0.00,0.00
"""CADENA DIST. ARBOL HY. ACCENT 1.6 06-10/RIO (25 ESLABONES)""",1,"CRC 38,700.00",0.00,0.00
"""COMP CHEVROLET AVEO DEL 04-13 RH""",1,"CRC 163,900.00",0.00,0.00
"""COMP SZ VITARA 15-SX4 SCROOS LH""",1,"CRC 97,800.00",0.00,0.00
"""COMP SZ VITARA 15-SX4 SCROOS RH""",1,"CRC 97,800.00",0.00,0.00
"""COMPENSADOR SZ CARRY 99- DEL LH""",2,"CRC 315,900.00",0.00,0.00
"""COMPENSADOR SZ CARRY 99- DEL RH""",2,"CRC 315,900.00",0.00,0.00
"""CONECTA SENSOR COOLANT TY. TERCEL 3E/5E/4AF/1ZZ (guias bajas)""",1,"CRC 16,000.00",0.00,0.00
"""DISCO F SZ DEL CARRY 1.3 99-14 BR3134""",1,"CRC 230,500.00",0.00,0.00
"""DISCO F TY DEL LAND C PRADO FJ CRUICER LEXUS 10""",1,"CRC 181,520.00",0.00,0.00
"""EMP. TAPA VALV. HY. ACC BLUE 1.6 14-16( USA)/VELOSTER GDI/RIO 12- G4FD (vvt) (22441-2B600)""",1,"CRC 47,800.00",0.00,0.00
"""ESPIRAL HY ELANTRA /AVANTE 96- TRAS""",1,"CRC 134,800.00",0.00,0.00
"""Filtro Servicio Liviano Aire Primario Panel Hyundai santa fe 05-09 3300CC""",1,"CRC 9,100.00",0.00,0.00
"""Hule-Est-Del-Nissan-Frontier-NP300-16-20- M-32X46X49 """,1,"CRC 190,500.00",0.00,0.00
"""Hule-Est-Del-Suzuki-Celerio-10-20-M- 20X38X30""",1,"CRC 88,800.00",0.00,0.00
"""JGO EMP. MOTOR MIT. OUTLANDER/GALANT 2.4L 16V 4CIL 4G69 (GRAFITO)""",1,"CRC 43,700.00",0.00,0.00
"""KASHIMA HB90722A KS1 / 8433 MD1321 KS1 PASTILLA DE FRENO DELANTERA SEMIMETALICA P/ HONDA CIVIC 99-02""",1,"CRC 42,100.00",0.00,0.00
"""KIT TORNILLO CABEZOTE HONDA K20-24 CABEZA TORX""",1,"CRC 99,300.00",0.00,0.00
"""KIT TORNILLO CABEZOTE HONDA K24Z2/K24Z3/K24Z4/R16A1/R16A2/R18A1 CABEZA TORX""",1,"CRC 99,300.00",0.00,0.00
"""KIT TORNILLO CABEZOTE TOYOTA COROLLA 4AFE CABEZA TORX""",1,"CRC 300,028.00",0.00,0.00
"""KS106 KS64 KS45 KS300 HONDA ACCORD 98-02 ODYSSEY 98 PRELUDE 97-01 CRV 97/2000 30""",1,"CRC 33,750.00",0.00,0.00
"""P EJE NS XTRAIL T30 4X4 01-08""",1,"CRC 23,600.00",0.00,0.00
"""P EJE SB IMPRESA 92- LEGACY 89-""",1,"CRC 27,450.00",0.00,0.00
