Item ID,Recurring Bill ID,Product ID,Item Name,Account ID,Quantity,Tax ID,Total (BCY),Sub Total (BCY),Currency Code,Last Modified Time,Created Time
4198696000000471129,4198696000000471127,,,4198696000000297369,1.00,4198696000000999009,"CRC 68,398.73","CRC 68,398.73",USD,2025-04-01 13:11:10,2023-08-31 13:19:42
4198696000000471131,4198696000000471127,,,4198696000000297369,1.00,4198696000000617035,"CRC 1,198.30","CRC 1,198.30",USD,2025-04-01 13:11:10,2023-08-31 13:19:42
4198696000001184975,4198696000001184973,,,4198696000000297375,1.00,4198696000000999009,"CRC 128,955.46","CRC 128,955.46",USD,2025-04-01 13:11:10,2023-11-13 21:49:46
4198696000001184977,4198696000001184973,,,4198696000000297375,1.00,4198696000000617035,"CRC 1,977.73","CRC 1,977.73",USD,2025-04-01 13:11:10,2023-11-13 21:49:46
4198696000001196218,4198696000001196216,,,4198696000000297435,1.00,4198696000000999009,"CRC 4,211,956.53","CRC 4,211,956.53",USD,2025-04-01 13:11:10,2023-11-14 21:42:22
4198696000001196229,4198696000001196227,,,4198696000000297435,1.00,4198696000000999009,"CRC 1,744,766.70","CRC 1,744,766.70",USD,2025-04-01 13:11:10,2023-11-14 21:43:01
4198696000003901045,4198696000003901043,,,4198696000000297441,1.00,4198696000000999009,"CRC 260,000.00","CRC 260,000.00",CRC,2025-04-01 13:11:10,2024-03-12 18:22:26
4198696000003901056,4198696000003901054,,,4198696000000297669,1.00,4198696000000999009,"CRC 620,000.00","CRC 620,000.00",CRC,2025-04-01 13:11:10,2024-03-12 18:23:12
4198696000007057784,4198696000007057782,,,4198696000000297225,1.00,4198696000000999009,"CRC 11,536.44","CRC 11,536.44",USD,2025-04-01 13:11:10,2024-07-05 16:38:56
4198696000018168879,4198696000018168877,,,4198696000000297465,1.00,4198696000000999009,"CRC 33,000.00","CRC 33,000.00",CRC,2025-04-01 13:11:10,2025-02-14 15:12:28
