Item Name,Quantity,Sales Value,Avg Price
"-No Value-",1.00,"35,539.82","35,539.82"
0.50 BEARING BANCADA YD22/YD25 0.50,1.00,"11,769.91","11,769.91"
01-05 INYECTOR LANCER ECLIPSE GALANT CHRYSL,1.00,"25,725.66","25,725.66"
01-09 TOYOTA PRIUS ECHO SCION XA XB 1.5L,2.00,"54,867.26","54,867.26"
0221500802 BOBINA DE BYD B102,1.00,"32,322.12","32,322.12"
"07,09,14 HYUNDAI I30 I20 1.4 06 KIA CEE 1.4",1.00,"27,079.65","27,079.65"
1.13/32 X 2.9/32 X 15/32 8660K KOSS RET,2.00,"7,230.09","7,230.09"
1.7/8 X 2.7/8 X 3/8 X 15/32 9912 KOSS RET,2.00,"6,893.81","6,893.81"
10-15 SORENTO SANTA FE 4X2TRASERO,2.00,"56,637.17","56,637.17"
"138200-0260 36450-PT3-A01 ACCORD 90- 93 PRELUDE 92-96 2,2L 2,3L",1.00,"54,070.80","54,070.80"
14138A/14276 KOYO BD KIA K2700 00-05,1.00,"23,893.81","23,893.81"
16100-97404 BOMBA AGUA K3 TERIOS D-52 3TORN,1.00,"22,796.46","22,796.46"
18117-797D1 5136800-2330 SUZUKI CELERIO 1.0L,1.00,"34,513.27","34,513.27"
18855-10080 BUIJIAS IRIDIUN LARGA HYUNDAI BLUE CERATO I10 ACCORD PILOT 08+,4.00,"30,690.28","30,690.28"
18X32X38X13 RET KOSS SELECTOR MARCHA B13,1.00,"4,336.28","4,336.28"
1C232-19700 MODULO ABANICOS MITSUBSHI,1.00,"40,530.97","40,530.97"
2006-2015 SANTA FE,1.00,"27,079.65","27,079.65"
2092022N10 SET DESCARBONADO ACCENT 12V 94- G4N 20,1.00,"30,530.97","30,530.97"
22224-27900 SELLO DE VALVULA TUCSON D4EA SA,16.00,"12,743.36","12,743.36"
22224-2B001 SELLO DE VALVULA ACCENT BLUE CR,16.00,"11,327.43","11,327.43"
2231127022 EMPAQUE CABEZOTE 22311-27020 223,1.00,"16,814.16","16,814.16"
22441-22012 EMP TP VLV ACCENT 12V,3.00,"12,063.71","4,021.24"
22448-6N015 UF-509 UF-350 UF-351 BOBINA NISSAN XTRAIL B15 ALMERA 22448-8H300,35.00,"775,066.66","55,361.90"
"22690-88G01 250-23503 234-3307 3L PATHFINDER D21 3,0 TRACERO TITANIO",1.00,"40,707.96","40,707.96"
"226905E400 234-3075 234-3075250-23109 3L XTERRA FRONTIER 3,3L -3L LARGO",2.00,"61,946.90","30,973.45"
22693-EA000 234-5061 234-5003 234-5060 NISSAN MURANO PATHFINDER 250-25005,1.00,"54,867.26","54,867.26"
234-2058 96-99 CELICA RAV4 FLANGER,1.00,"27,079.65","27,079.65"
234-4094 234-4125 36532-PPA-A01 15410 HONDA CRV TRACERO 2.4L 02-04 S2B1,1.00,"34,846.02","34,846.02"
234-4154 234-4161/// 234-4162 4RUNNER TUNDRA,2.00,"58,318.59","29,159.30"
234-4220 234-4733 234-4620 234-4621 234-4352 234-4122 250-24429 HONDA CIVIC D17A,2.00,"70,796.46","35,398.23"
234-4305 80CM SENSOR DE OXIGENO,1.00,"33,805.31","33,805.31"
"234-4329 234-4392 234-4390 S1 MAZDA 3 6 1,6L NACIONAL GRIS",1.00,"40,530.97","40,530.97"
234-4350 S2 CIVIC 06-15,1.00,"27,079.65","27,079.65"
234-4527 234-4528 25653 SONIC CRUCE 2011- 1.6/ 1.8 1.4 CONECTOR NEGRO,1.00,"33,805.31","33,805.31"
234-4637 234-4020 234-4636 MD335040 SENSOR DE OXIGENO LANCER 4G13 MIGHTY MAX ECLIPSE DODGE RAM 50 234- 4837 25,1.00,"33,805.31","33,805.31"
"234-4690 250-24357 HYUNDI ELANTRA, ACCENT TRACE 95-01",1.00,"27,079.65","27,079.65"
234-4703 250-24632 24544 XTERRA FRONTIER33,2.00,"67,610.62","33,805.31"
234-9011 IMPRESA 02-04 2.0 TURBO,1.00,"81,415.93","81,415.93"
234-9033 250-54034 4PIN A/F SUZUKI VITARA SX4 18213-54LA0 18213-64J10,1.00,"86,952.21","86,952.21"
234-9036 NISSAN 208-2013 211200-7310 22693-1NA0A 18213-82Z50,1.00,"89,787.61","89,787.61"
234-9044 RAV4 01-04 NACIONAL,1.00,"81,415.93","81,415.93"
234-9299 SUZUKI VITARA 09- SENSOR DE OXIGENO BANCO 2,1.00,"94,513.27","94,513.27"
235-1149 PC458,2.00,"56,637.17","56,637.17"
235-1203 PC464 NISSAN SENTRA 02-06 FRONTIER 05-10 ALTIMA 02-06 XTRAIL 02-07,4.00,"93,805.31","23,451.33"
237311VA0A 5S11486,1.00,"31,100.88","31,100.88"
"23796EA20A 23796-6N201 23796-6N200 VVT147 NISSAN 2,5L 3,5L 4,0L RH(SIN BASE)",1.00,"40,530.97","40,530.97"
24355-26703 VVT112 VVT113 VALVULA VVTI ACCENT RIO 06-12,2.00,"54,159.30","27,079.65"
"250-23131 24618 3LINEAS NISSAN, FRONTIER , ALTIMA CELESTE 15363 BOSCH 234-3",1.00,"33,805.31","33,805.31"
250-24178 234-4488 0258006027 258006027 SENSOR DE OXIGENO PEUGEOT 206,1.00,"33,805.31","33,805.31"
25312200 234-4284 24626 SENSOR IZUSU RODEO GMC 234-4063 3200 Y 3500CC GELLY,2.00,"62,477.88","62,477.88"
27301--23500 UF-340 BOBINA ELANTRA,1.00,"40,530.97","40,530.97"
