Item ID,Product ID,Item Name,Quantity,Sub Total (BCY),Total (BCY),Sales order ID,Project ID,Last Modified Time,Created Time
4198696000031143531,4198696000000136432,SET DE ROTULA DE CREMALLERA TOYOTA ECHO NCP40 2003 / VITZ IMPORTADO,2.00,"CRC 7,964.60","CRC 7,964.60",4198696000031143518,,2025-10-29 13:42:12,2025-09-25 10:13:26
4198696000003952447,4198696000000136549,TIJERETA SUPERIOR (SIN ROTULA) RH/LH /  TOYOTA HILUX / 2.0/ 2.2/ 2.4/ 2.4D 1984-2005,2.00,"CRC 23,185.84","CRC 23,185.84",4198696000003952442,,2024-03-15 10:32:33,2024-03-15 10:32:33
4198696000031143527,4198696000000136999,TIJERETA INFERIOR RH TOYOTA  YARIS VITZ/ VIOS 1999-2002 IMPORTADO,1.00,"CRC 22,123.89","CRC 22,123.89",4198696000031143518,,2025-10-29 13:42:12,2025-09-25 10:13:26
4198696000031143525,4198696000000137008,TIJERETA INFERIOR LH TOYOTA  YARIS VITZ/ VIOS 1999-2002 IMPORTADO,1.00,"CRC 22,123.89","CRC 22,123.89",4198696000031143518,,2025-10-29 13:42:12,2025-09-25 10:13:26
4198696000002319069,4198696000000137521,ROL DE EMPUJE TOYOTA COROLLA ID:33/ OD:66/ W:24/ COLLAR OD:85 CARA REDONDA,1.00,"CRC 3,274.34","CRC 3,274.34",4198696000002319062,,2024-01-10 15:02:39,2024-01-08 12:50:31
4198696000003952449,4198696000000138313,SET TORRES DE ESTABILIZADORA DELANTERA TOYOTA HILUX/ HIACE YN 8MM .,2.00,"CRC 2,123.89","CRC 2,123.89",4198696000003952442,,2024-03-15 10:32:33,2024-03-15 10:32:33
4198696000000633054,4198696000000139654,BOMBILLO 24V P21/ 5W DOBLE CONTACTO BAY15D .,1.00,CRC 47.96,CRC 47.96,4198696000000633047,,2023-10-24 16:00:30,2023-09-25 11:52:53
4198696000032152432,4198696000000142066,BOTA P/PUNTA DE EJE INTERNA MAZDA 323 1.5 1981-1988/ FORD LASER 1.5 1986-1989/ HYUND S COUPE 1994-1995 MAZDA3/ AXELLA,2.00,"CRC 5,132.74","CRC 5,132.74",4198696000032152413,,2025-10-29 13:42:00,2025-10-13 11:42:38
4198696000019137147,4198696000000142201,BOTA DE DIRECCION NO.2 TOYOTA HILUX VIGO/ FORTUNER 4WD 2005-2014 .,1.00,"CRC 1,769.91","CRC 1,769.91",4198696000019137130,,2025-03-06 10:14:36,2025-03-06 10:14:36
4198696000001201034,4198696000000142336,SET DE FUSIBLES TIPO CUCHILLA 6 PIEZAS,2.00,CRC 115.04,CRC 115.04,4198696000001201029,,2023-11-21 09:27:17,2023-11-14 17:08:22
4198696000001311050,4198696000000143902,BOBINA DE ENCENDIDO TOYOTA COROLLA 1.6 I 4AZFE 1996-1999 PASEO 5EFE SOLUNA 5AFE STARLET TARCEL1E,1.00,"CRC 8,141.59","CRC 8,141.59",4198696000001311045,,2023-11-22 17:19:30,2023-11-20 13:36:35
4198696000000926006,4198696000000588295,DESENGRASANTE INDUSTRIAL H.D. 1 LITRO,1.00,"CRC 2,580.58","CRC 2,580.58",4198696000000923019,,2023-11-17 10:01:53,2023-10-30 15:10:20
4198696000001262280,4198696000000602428,CHV SUPREME MO 20W50 SP ( 12/1QTLR),1.00,"CRC 2,920.35","CRC 2,920.35",4198696000001262275,,2023-11-21 09:26:21,2023-11-17 11:07:50
4198696000000926004,4198696000000602428,CHV SUPREME MO 20W50 SP ( 12/1QTLR),4.00,"CRC 9,223.75","CRC 9,223.75",4198696000000923019,,2023-11-17 10:01:53,2023-10-30 15:10:20
4198696000032152428,4198696000000602437,CHEVRON SUPREME M/O 20W50  SN GALON,1.00,"CRC 15,221.24","CRC 15,221.24",4198696000032152413,,2025-10-29 13:42:00,2025-10-13 11:42:38
4198696000000633052,4198696000000602482,CHV ATF MD-3(12/1-QT),1.00,"CRC 2,947.12","CRC 2,947.12",4198696000000633047,,2023-10-24 16:00:30,2023-09-25 11:52:53
4198696000019374018,4198696000000602518,CHEVRON HAVOLINE PWR STR FLUID CUARTO,4.00,"CRC 14,654.87","CRC 14,654.87",4198696000019374003,,2025-03-10 10:04:26,2025-03-10 10:04:26
4198696000019374022,4198696000000602527,CHEVRON GEAR OIL EP-4 75W90 CUARTO,6.00,"CRC 21,982.30","CRC 21,982.30",4198696000019374003,,2025-03-10 10:04:26,2025-03-10 10:04:26
4198696000001201507,4198696000000677629,FAJA COROLLA CORAXI 1ZZ 01- AVEO 04- OPTRA 1.6.  740K6,1.00,"CRC 7,079.65","CRC 7,079.65",4198696000001201500,,2023-11-21 09:26:54,2023-11-15 13:25:30
4198696000001487006,4198696000000679195,ROT SUS INF TUCSON 05-  SB-8042,2.00,"CRC 11,504.42","CRC 10,929.20",4198696000001487001,,2023-11-29 10:35:38,2023-11-28 14:34:09
