Month of Invoice Date,Total Sub Total (BCY),Account Name
Jan,"CRC 5,996,177.76",Other income - Transport Charge
Jan,"CRC 42,964,820.71",Sales
Feb,"CRC 6,685,112.59",Other income - Transport Charge
Feb,"CRC 40,874,311.28",Sales
Mar,"CRC 5,930,642.29",Other income - Transport Charge
Mar,"CRC 47,651,520.72",Sales
Apr,"CRC 6,021,918.04",Other income - Transport Charge
Apr,"CRC 43,544,413.42",Sales
May,"CRC 6,150,797.06",Other income - Transport Charge
May,"CRC 43,845,438.84",Sales
May,"CRC 17,610.62",Shipping charges
Jun,"CRC 7,013,818.90",Other income - Transport Charge
Jun,"CRC 44,582,526.97",Sales
Jul,"CRC 6,119,043.79",Other income - Transport Charge
Jul,"CRC 52,089,701.95",Sales
Aug,"CRC 5,959,874.20",Other income - Transport Charge
Aug,"CRC 53,497,991.50",Sales
Sep,"CRC 8,111,848.96",Other income - Transport Charge
Sep,"CRC 55,654,504.08",Sales
Oct,"CRC 7,914,548.15",Other income - Transport Charge
Oct,"CRC 73,825,956.41",Sales
Nov,"CRC 6,151,551.33",Other income - Transport Charge
Nov,"CRC 41,089,049.47",Sales
Dec,"CRC 11,936,861.68",Other income - Transport Charge
Dec,"CRC 45,292,333.19",Sales
