,,Type,Paid Invoice Value Trend line
2024 12,"$37,151.05K",Actual,"$35,303.33K"
2025 01,"$40,100.81K",Actual,"$36,078.42K"
2025 02,"$34,512.09K",Actual,"$36,853.52K"
2025 03,"$41,848.37K",Actual,"$37,553.60K"
2025 04,"$34,432.85K",Actual,"$38,328.70K"
2025 05,"$32,865.57K",Actual,"$39,078.79K"
2025 06,"$35,041.80K",Actual,"$39,853.88K"
2025 07,"$41,921.88K",Actual,"$40,603.98K"
2025 08,"$42,253.98K",Actual,"$41,379.07K"
2025 09,"$44,203.33K",Actual,"$42,154.17K"
2025 10,"$45,801.53K",Actual,"$42,904.26K"
2025 11,"$43,665.43K",Forecast,"$43,679.35K"
2025 12,"$44,425.83K",Forecast,"$44,429.45K"
2026 01,"$45,186.23K",Forecast,"$45,204.54K"
2026 02,"$45,946.63K",Forecast,"$45,979.64K"
2026 03,"$46,707.03K",Forecast,"$46,679.72K"
