,,Type,Total Total (BCY) Trend line
Dec 2024,"CRC 32,058,916.02",Actual,"CRC 58,982,885.09"
Jan 2025,"CRC 93,585,805.56",Actual,"CRC 56,990,461.41"
Feb 2025,"CRC 53,194,657.00",Actual,"CRC 55,001,109.93"
Mar 2025,"CRC 98,508,386.49",Actual,"CRC 53,206,909.09"
Apr 2025,"CRC 30,900,935.84",Actual,"CRC 51,223,378.61"
May 2025,"CRC 33,458,325.85",Actual,"CRC 49,306,732.20"
Jun 2025,"CRC 29,334,969.27",Actual,"CRC 47,329,184.33"
Jul 2025,"CRC 37,307,821.00",Actual,"CRC 45,418,310.10"
Aug 2025,"CRC 18,302,727.25",Actual,"CRC 43,446,708.87"
Sep 2025,"CRC 25,885,448.23",Actual,"CRC 41,478,116.02"
Oct 2025,"CRC 89,395,420.49",Actual,"CRC 39,575,881.90"
Nov 2025,"CRC 37,661,485.16",Forecast,"CRC 37,613,182.03"
Dec 2025,"CRC 35,727,287.03",Forecast,"CRC 35,716,633.74"
Jan 2026,"CRC 33,793,088.91",Forecast,"CRC 33,759,791.67"
Feb 2026,"CRC 31,858,890.78",Forecast,"CRC 31,805,913.14"
Mar 2026,"CRC 29,924,692.66",Forecast,"CRC 30,043,659.40"
