,,Type,Total Total (BCY) Trend line
2024 12,"CRC 37,232.85K",Actual,"CRC 39,635.70K"
2025 01,"CRC 40,100.81K",Actual,"CRC 37,269.78K"
2025 02,"CRC 34,512.09K",Actual,"CRC 36,005.69K"
2025 03,"CRC 42,013.37K",Actual,"CRC 35,682.88K"
2025 04,"CRC 34,452.35K",Actual,"CRC 36,090.38K"
2025 05,"CRC 33,184.57K",Actual,"CRC 37,109.73K"
2025 06,"CRC 35,041.80K",Actual,"CRC 38,659.02K"
2025 07,"CRC 42,089.48K",Actual,"CRC 40,494.82K"
2025 08,"CRC 42,253.98K",Actual,"CRC 42,589.65K"
2025 09,"CRC 44,203.33K",Actual,"CRC 44,733.22K"
2025 10,"CRC 54,357.76K",Actual,"CRC 46,709.01K"
2025 11,"CRC 46,822.15K",Forecast,"CRC 48,498.87K"
2025 12,"CRC 47,967.62K",Forecast,"CRC 49,843.85K"
2026 01,"CRC 49,113.09K",Forecast,"CRC 50,683.75K"
2026 02,"CRC 50,258.56K",Forecast,"CRC 50,812.38K"
2026 03,"CRC 51,404.04K",Forecast,"CRC 50,189.12K"
