"CreatedDate","RemainingItemRows"
"2024-01-12","5"
"2024-01-15","2"
"2024-01-16","2"
"2024-01-24","13"
"2024-10-10","1"
"2025-10-10","10"
"2025-10-13","1"
"2025-10-20","27"
"2024-10-21","1"
"2025-10-21","2"
"2025-10-23","1"
"2024-10-25","2"
"2024-10-03","1"
"2025-10-08","3"
"2024-11-11","1"
"2025-11-04","67"
"2024-12-02","1"
"2024-02-15","1"
"2024-03-02","5"
"2025-04-01","5"
"2024-04-18","1"
"2024-04-19","1"
"2025-04-21","5"
"2024-04-03","1"
"2025-04-30","24"
"2025-05-19","29"
"2024-05-07","1"
"2024-05-08","1"
"2025-06-10","1"
"2025-06-23","11"
"2024-06-03","1"
"2024-06-06","1"
"2025-07-16","3"
"2024-07-17","1"
"2025-07-02","5"
"2025-07-22","1"
"2024-07-24","1"
"2025-07-29","2"
"2024-07-03","2"
"2024-07-31","1"
"2024-07-05","1"
"2024-07-06","1"
"2024-08-10","1"
"2024-08-12","2"
"2025-08-14","41"
"2025-08-18","3"
"2024-08-19","1"
"2025-08-19","1"
"2025-08-20","3"
"2025-08-21","1"
"2025-08-25","3"
"2025-08-28","3"
"2025-09-10","1"
"2024-09-16","2"
"2025-09-02","1"
"2025-09-24","13"
"2024-09-27","1"
"2024-09-30","1"
"2025-09-04","1"
"2025-09-09","6"
