Month_Year,YYYY,MM,YYYYMM,Start6_YYYYMM
2018-01,2018,1,201801,201708
2018-02,2018,2,201802,201709
2018-03,2018,3,201803,201710
2018-04,2018,4,201804,201711
2018-05,2018,5,201805,201712
2018-06,2018,6,201806,201801
2018-07,2018,7,201807,201802
2018-08,2018,8,201808,201803
2018-09,2018,9,201809,201804
2018-10,2018,10,201810,201805
2018-11,2018,11,201811,201806
2018-12,2018,12,201812,201807
2019-01,2019,1,201901,201808
2019-02,2019,2,201902,201809
2019-03,2019,3,201903,201810
2019-04,2019,4,201904,201811
2019-05,2019,5,201905,201812
2019-06,2019,6,201906,201901
2019-07,2019,7,201907,201902
2019-08,2019,8,201908,201903
2019-09,2019,9,201909,201904
2019-10,2019,10,201910,201905
2019-11,2019,11,201911,201906
2019-12,2019,12,201912,201907
2020-01,2020,1,202001,201908
2020-02,2020,2,202002,201909
2020-03,2020,3,202003,201910
2020-04,2020,4,202004,201911
2020-05,2020,5,202005,201912
2020-06,2020,6,202006,202001
2020-07,2020,7,202007,202002
2020-08,2020,8,202008,202003
2020-09,2020,9,202009,202004
2020-10,2020,10,202010,202005
2020-11,2020,11,202011,202006
2020-12,2020,12,202012,202007
2021-01,2021,1,202101,202008
2021-02,2021,2,202102,202009
2021-03,2021,3,202103,202010
2021-04,2021,4,202104,202011
2021-05,2021,5,202105,202012
2021-06,2021,6,202106,202101
2021-07,2021,7,202107,202102
2021-08,2021,8,202108,202103
2021-09,2021,9,202109,202104
2021-10,2021,10,202110,202105
2021-11,2021,11,202111,202106
2021-12,2021,12,202112,202107
2022-01,2022,1,202201,202108
2022-02,2022,2,202202,202109
2022-03,2022,3,202203,202110
2022-04,2022,4,202204,202111
2022-05,2022,5,202205,202112
2022-06,2022,6,202206,202201
2022-07,2022,7,202207,202202
2022-08,2022,8,202208,202203
2022-09,2022,9,202209,202204
2022-10,2022,10,202210,202205
2022-11,2022,11,202211,202206
2022-12,2022,12,202212,202207
2023-01,2023,1,202301,202208
2023-02,2023,2,202302,202209
2023-03,2023,3,202303,202210
2023-04,2023,4,202304,202211
2023-05,2023,5,202305,202212
2023-06,2023,6,202306,202301
2023-07,2023,7,202307,202302
2023-08,2023,8,202308,202303
2023-09,2023,9,202309,202304
2023-10,2023,10,202310,202305
2023-11,2023,11,202311,202306
2023-12,2023,12,202312,202307
2024-01,2024,1,202401,202308
2024-02,2024,2,202402,202309
2024-03,2024,3,202403,202310
2024-04,2024,4,202404,202311
2024-05,2024,5,202405,202312
2024-06,2024,6,202406,202401
2024-07,2024,7,202407,202402
2024-08,2024,8,202408,202403
2024-09,2024,9,202409,202404
2024-10,2024,10,202410,202405
2024-11,2024,11,202411,202406
2024-12,2024,12,202412,202407
2025-01,2025,1,202501,202408
2025-02,2025,2,202502,202409
2025-03,2025,3,202503,202410
2025-04,2025,4,202504,202411
2025-05,2025,5,202505,202412
2025-06,2025,6,202506,202501
2025-07,2025,7,202507,202502
2025-08,2025,8,202508,202503
2025-09,2025,9,202509,202504
2025-10,2025,10,202510,202505
2025-11,2025,11,202511,202506
2025-12,2025,12,202512,202507
2026-01,2026,1,202601,202508
2026-02,2026,2,202602,202509
2026-03,2026,3,202603,202510
2026-04,2026,4,202604,202511
2026-05,2026,5,202605,202512
2026-06,2026,6,202606,202601
2026-07,2026,7,202607,202602
2026-08,2026,8,202608,202603
2026-09,2026,9,202609,202604
2026-10,2026,10,202610,202605
2026-11,2026,11,202611,202606
2026-12,2026,12,202612,202607
2027-01,2027,1,202701,202608
2027-02,2027,2,202702,202609
2027-03,2027,3,202703,202610
2027-04,2027,4,202704,202611
2027-05,2027,5,202705,202612
2027-06,2027,6,202706,202701
2027-07,2027,7,202707,202702
2027-08,2027,8,202708,202703
2027-09,2027,9,202709,202704
2027-10,2027,10,202710,202705
2027-11,2027,11,202711,202706
2027-12,2027,12,202712,202707
2028-01,2028,1,202801,202708
2028-02,2028,2,202802,202709
2028-03,2028,3,202803,202710
2028-04,2028,4,202804,202711
2028-05,2028,5,202805,202712
2028-06,2028,6,202806,202801
2028-07,2028,7,202807,202802
2028-08,2028,8,202808,202803
2028-09,2028,9,202809,202804
2028-10,2028,10,202810,202805
2028-11,2028,11,202811,202806
2028-12,2028,12,202812,202807
2029-01,2029,1,202901,202808
2029-02,2029,2,202902,202809
2029-03,2029,3,202903,202810
2029-04,2029,4,202904,202811
2029-05,2029,5,202905,202812
2029-06,2029,6,202906,202901
2029-07,2029,7,202907,202902
2029-08,2029,8,202908,202903
2029-09,2029,9,202909,202904
2029-10,2029,10,202910,202905
2029-11,2029,11,202911,202906
2029-12,2029,12,202912,202907
2030-01,2030,1,203001,202908
2030-02,2030,2,203002,202909
2030-03,2030,3,203003,202910
2030-04,2030,4,203004,202911
2030-05,2030,5,203005,202912
2030-06,2030,6,203006,203001
2030-07,2030,7,203007,203002
2030-08,2030,8,203008,203003
2030-09,2030,9,203009,203004
2030-10,2030,10,203010,203005
2030-11,2030,11,203011,203006
2030-12,2030,12,203012,203007
2031-01,2031,1,203101,203008
2031-02,2031,2,203102,203009
2031-03,2031,3,203103,203010
2031-04,2031,4,203104,203011
2031-05,2031,5,203105,203012
2031-06,2031,6,203106,203101
2031-07,2031,7,203107,203102
2031-08,2031,8,203108,203103
2031-09,2031,9,203109,203104
2031-10,2031,10,203110,203105
2031-11,2031,11,203111,203106
2031-12,2031,12,203112,203107
