d.Item_ID,d.SKU,d.Sales_24M_Qty,d.Sales_24M_Net,d.Avg_Demand_Used,Last_Purchase_Date,lp.Last_Purchase_Price,Last_Purchase_Price_Fallback,On_Hand_Qty,st.Current_Unit_Rate,Coverage_Months,Stock_Shortfall,Reorder_Eligibility,Cost_Delta,Cost_Delta_Pct
4198696000033252859,800-4512,1,39243,0.041666666666666664,,,27990,0,27990,0,0.125,1,,
4198696000020666420,522-0216,4,73200,0.16666666666666666,,,11990,5,11990,30,0,0,,
4198696000010435322,524-0625,2,8400,0.08333333333333333,,,2700,0,2700,0,0.25,1,,
4198696000009136045,533-032,22,469523.55,0.9166666666666666,,,14500,8,14500,8.727272727272728,0,0,,
4198696000007161089,800-1279,2,36400,0.08333333333333333,,,11901.33,0,11901.33,0,0.25,1,,
4198696000003873707,72-3038,33,266351.22,1.375,,,4800.01,9,4800.01,6.545454545454546,0,0,,
4198696000001613555,521-0008,2,33800,0.08333333333333333,,,11066.7,2,11066.7,24,0,0,,
4198696000001610423,519-0016,3,53100,0.125,,,11579.4,1,11579.4,8,0,0,,
4198696000001407677,524-0522,1,33856,0.041666666666666664,,,24100,2,24100,48,0,0,,
4198696000000899016,502-054,1,48300,0.041666666666666664,,,34394.17,4,34394.17,96,0,0,,
4198696000000865369,510-017,1,50176.99,0.041666666666666664,,,37140.57,1,37140.57,24,0,0,,
4198696000000863848,509-1524,12,227200,0.5,,,13326.59,4,13326.59,8,0,0,,
4198696000000143542,246-12,10,33564.68,0.4166666666666667,,,1267.2,0,1267.2,0,1.25,1,,
4198696000000602419,106-14,566,1801307.11,23.583333333333332,,,2373,332,2373,14.07773851590106,0,0,,
4198696000000602320,106-3,6,97500,0.25,,,11546.4,78,11546.4,312,0,0,,
4198696000031553145,800-4373,1,65784.07,0.041666666666666664,,,49950,0,49950,0,0.125,1,,
4198696000024324570,800-3458,1,12000,0.041666666666666664,,,7250,0,7250,0,0.125,1,,
4198696000011516230,800-2010,2,20400,0.08333333333333333,,,6500,0,6500,0,0.25,1,,
4198696000004483178,800-552,1,10700,0.041666666666666664,,,7000,0,7000,0,0.125,1,,
4198696000010617601,512-1011,1,44900,0.041666666666666664,,,29406,0,29406,0,0.125,1,,
4198696000022837257,800-3221,1,6440,0.041666666666666664,,,4180,0,4180,0,0.125,1,,
4198696000001407731,524-0528,1,13616,0.041666666666666664,,,9700,1,9700,24,0,0,,
4198696000007151077,800-1272,1,10600,0.041666666666666664,,,6894.87,0,6894.87,0,0.125,1,,
4198696000022460097,800-3169,1,20700,0.041666666666666664,,,13743.99,0,13743.99,0,0.125,1,,
4198696000011207234,800-1966,1,38100,0.041666666666666664,,,24965.98,0,24965.98,0,0.125,1,,
4198696000027951823,800-3912,1,35000,0.041666666666666664,,,16750,0,16750,0,0.125,1,,
4198696000029447915,800-4170,1,41150.44,0.041666666666666664,,,25000,0,25000,0,0.125,1,,
4198696000012887033,533-106,15,380274.64,0.625,,,19500,6,19500,9.6,0,0,,
4198696000011064200,512-183,2,36000,0.08333333333333333,,,11418.47,3,11418.47,36,0,0,,
4198696000008128572,509-1059,6,157336,0.25,,,18102.21,2,18102.21,8,0,0,,
4198696000003679421,530-0021,1,12900,0.041666666666666664,,,8450,2,8450,48,0,0,,
4198696000003159133,505-020,19,68795.27,0.7916666666666666,,,2690,3,2690,3.7894736842105265,0,0,,
4198696000001685039,527-0010,2,75810,0.08333333333333333,,,26140.45,1,26140.45,12,0,0,,
4198696000001614608,522-0110,5,153700,0.20833333333333334,,,22838.75,0,22838.75,0,0.625,1,,
4198696000000897891,504-079,1,5100,0.041666666666666664,,,3281.49,1,3281.49,24,0,0,,
4198696000000139861,86-106,43,20636.46,1.7916666666666667,,,154.88,56,154.88,31.25581395348837,0,0,,
4198696000000679024,72-1012,5,20296,0.20833333333333334,,,2823.14,2,2823.14,9.6,0,0,,
4198696000000678214,376-113,1,1700,0.041666666666666664,,,1307.62,2,1307.62,48,0,0,,
4198696000028282748,800-3968,2,224400,0.08333333333333333,,,77367.27,0,77367.27,0,0.25,1,,
4198696000026057291,800-3669,1,14100,0.041666666666666664,,,9230.78,0,9230.78,0,0.125,1,,
4198696000016196715,800-2366,8,72800,0.3333333333333333,,,5900,0,5900,0,1,1,,
4198696000012057110,512-243,1,27300,0.041666666666666664,,,10538.42,0,10538.42,0,0.125,1,,
4198696000000670101,3-68,2,4892,0.08333333333333333,,,1674.01,2,1674.01,24,0,0,,
4198696000024993706,800-3535,1,8100,0.041666666666666664,,,5300,0,5300,0,0.125,1,,
4198696000012114622,376-3031,1,3220,0.041666666666666664,,,2271.64,3,2271.64,72,0,0,,
4198696000006753814,800-1178,1,48300,0.041666666666666664,,,39571.22,0,39571.22,0,0.125,1,,
4198696000030215472,800-4235,1,25641.59,0.041666666666666664,,,19950,0,19950,0,0.125,1,,
4198696000000899736,503-026,2,8600,0.08333333333333333,,,3446.5,4,3446.5,48,0,0,,
4198696000031456653,800-4352,1,19665,0.041666666666666664,,,10600,0,10600,0,0.125,1,,
4198696000019061436,72-3311,7,51844.25,0.2916666666666667,,,4667.6,0,4667.6,0,0.875,1,,
4198696000016322488,510-1050,5,361800.71,0.20833333333333334,,,49353.76,1,49353.76,4.8,0,0,,
4198696000015465012,67-1018,1,101000,0.041666666666666664,,,49500,29,49500,696,0,0,,
4198696000012700730,800-1442,1,26300,0.041666666666666664,,,17200,0,17200,0,0.125,1,,
4198696000007811759,73-1036,16,72176.39,0.6666666666666666,,,2200,184,2200,276,0,0,,
4198696000006818067,800-1190,3,47400,0.125,,,10480.21,0,10480.21,0,0.375,1,,
4198696000001614149,522-0061,3,102652,0.125,,,24917.54,0,24917.54,0,0.375,1,,
4198696000001612682,518-0560,3,136948,0.125,,,30729.13,1,30729.13,8,0,0,,
4198696000001406282,524-0009,3,8836,0.125,,,2100,1,2100,8,0,0,,
4198696000000139294,57-61,3,114000,0.125,,,14467.2,8,14467.2,64,0,0,,
4198696000000678376,376-131,4,6400,0.16666666666666666,,,1020.18,0,1020.18,0,0.5,1,,
4198696000017698371,800-2507,1,13000,0.041666666666666664,,,8000,0,8000,0,0.125,1,,
4198696000007971654,800-1412,1,16800,0.041666666666666664,,,11000,0,11000,0,0.125,1,,
4198696000000140221,90-152,6,76100,0.25,,,4273.28,8,4273.28,32,0,0,,
4198696000031164194,800-4314,1,33628.32,0.041666666666666664,,,15500,0,15500,0,0.125,1,,
4198696000028336710,800-3983,1,11000,0.041666666666666664,,,6948.42,0,6948.42,0,0.125,1,,
4198696000012887096,533-113,1,33600,0.041666666666666664,,,32500,2,32500,48,0,0,,
4198696000002859196,800-198,1,38200,0.041666666666666664,,,25000,0,25000,0,0.125,1,,
4198696000000140761,108-5,1,41000,0.041666666666666664,,,21549.44,0,21549.44,0,0.125,1,,
4198696000009774705,800-1719,1,26200,0.041666666666666664,,,22300,0,22300,0,0.125,1,,
4198696000000864793,509-2556,1,9300,0.041666666666666664,,,6090,2,6090,48,0,0,,
4198696000018794543,800-2667,1,76100,0.041666666666666664,,,49842.93,0,49842.93,0,0.125,1,,
4198696000018234482,800-2593,7,110751.77,0.2916666666666667,,,10400,0,10400,0,0.875,1,,
4198696000016994434,800-2446,2,191544,0.08333333333333333,,,68200,0,68200,0,0.25,1,,
4198696000015821354,800-2347,1,112600,0.041666666666666664,,,73770.92,0,73770.92,0,0.125,1,,
4198696000014168500,510-1076,8,767180,0.3333333333333333,,,63864.42,3,63864.42,9,0,0,,
4198696000012152330,509-1064,2,47104,0.08333333333333333,,,16734.38,2,16734.38,24,0,0,,
4198696000009192231,509-0254,5,73281.3,0.20833333333333334,,,10247.68,1,10247.68,4.8,0,0,,
4198696000007812479,351-2001,23,560753.88,0.9583333333333334,,,12450,28,12450,29.217391304347824,0,0,,
4198696000004417943,41-1000,84,2082410.16,3.5,,,14000,314,14000,89.71428571428571,0,0,,
4198696000001407740,524-0529,2,12500,0.08333333333333333,,,4200,1,4200,12,0,0,,
4198696000000679771,127-1001,34,16517.84,1.4166666666666667,,,263.45,39,263.45,27.52941176470588,0,0,,
4198696000000836232,514-011,5,13057.53,0.20833333333333334,,,2080,12,2080,57.599999999999994,0,0,,
4198696000012595095,800-1389,1,11500,0.041666666666666664,,,7535,0,7535,0,0.125,1,,
4198696000001615238,522-0001,2,33200,0.08333333333333333,,,10819.67,2,10819.67,24,0,0,,
4198696000001614428,522-0177,5,214768,0.20833333333333334,,,31013.18,2,31013.18,9.6,0,0,,
4198696000014168005,800-2204,1,19872,0.041666666666666664,,,14100,0,14100,0,0.125,1,,
4198696000012342839,376-3134,1,9600,0.041666666666666664,,,6290.66,1,6290.66,24,0,0,,
4198696000006693168,800-1158,1,18100,0.041666666666666664,,,11800,0,11800,0,0.125,1,,
4198696000031522452,800-4370,1,25238.94,0.041666666666666664,,,17000,0,17000,0,0.125,1,,
4198696000001197375,800-012,1,3300,0.041666666666666664,,,2100,0,2100,0,0.125,1,,
4198696000018673207,800-2636,4,124800,0.16666666666666666,,,19890,0,19890,0,0.5,1,,
4198696000016778300,800-2426,1,19800,0.041666666666666664,,,12950,0,12950,0,0.125,1,,
4198696000015527586,106-2036,8,22648.39,0.3333333333333333,,,1858.4,4,1858.4,12,0,0,,
4198696000013954769,3-195,2,12600,0.08333333333333333,,,4088.21,0,4088.21,0,0.25,1,,
4198696000012946745,800-1729,3,16995,0.125,,,3325,0,3325,0,0.375,1,,
4198696000010345962,800-1813,1,28000,0.041666666666666664,,,16800,0,16800,0,0.125,1,,
4198696000006998006,518-0617,15,947730.69,0.625,,,39800,4,39800,6.4,0,0,,
4198696000006361380,72-3078,6,43700,0.25,,,4470,3,4470,12,0,0,,
4198696000004045554,512-254,2,15600,0.08333333333333333,,,5092.3,2,5092.3,24,0,0,,
4198696000001614770,522-0161,8,249768,0.3333333333333333,,,23011.98,4,23011.98,12,0,0,,
4198696000001406984,524-0103,1,3800,0.041666666666666664,,,2900,2,2900,48,0,0,,
4198696000000898224,504-116,2,21200,0.08333333333333333,,,6910.58,0,6910.58,0,0.25,1,,
4198696000000865153,509-2596,3,24048.19,0.125,,,5653.22,3,5653.22,24,0,0,,
