Preferred_Vendor,Item_Count,Inventory_Value
4198696000020811777,137,1129380.21
4198696000003484001,1413,12552491.309999999
,4878,495546993.82110023
4198696000010698655,447,37482874.81000001
4198696000001046847,427,2656081.2900000005
4198696000001153081,540,5957478.84
4198696000000866296,1682,60190819.580000006
4198696000000662005,199,1704580.7939999998
4198696000000844399,180,3780894.5999999996
4198696000003396009,1776,31846131.27999999
4198696000001089379,396,7180932.76
4198696000001715414,612,49671000
4198696000001338184,215,2000584.2399999998
4198696000001108216,520,179575
4198696000001868181,673,41953207
4198696000000836279,367,25875838.600000005
4198696000004993001,31,6700
4198696000016373145,3,138000
4198696000001674104,34,5000
4198696000003701010,74,125888.23999999999
4198696000008973176,303,2712224
4198696000001085374,371,3570656.34
4198696000002859907,24,0
4198696000000699001,153,1161024.4600000002
4198696000000588385,31,1260146.9277857144
4198696000021263215,28,1950390.56
4198696000023024645,12,78457.46
4198696000023129291,36,0
4198696000001466077,30,0
4198696000025644830,3,0
4198696000000602599,34,29798143.775
4198696000003338671,50,0
4198696000025949763,68,2703405
4198696000011175243,46,0
4198696000000888056,5,141070
4198696000003944273,24,0
4198696000004105144,9,0
4198696000005326162,6,0
4198696000002664890,26,0
4198696000002781615,10,0
4198696000001629900,8,0
4198696000005531640,2,0
4198696000008329031,12,0
4198696000019560168,3,0
4198696000017986767,8,0
4198696000013635027,4,0
4198696000018177549,1,0
4198696000004111194,20,0
4198696000005814034,23,94690.26
4198696000000501003,8,3566079.5
4198696000016370677,3,0
4198696000023351005,2,0
4198696000032479125,1,0
4198696000000899844,5,28076.49
4198696000017812771,1,0
4198696000006085009,4,0
4198696000003776167,1,0
4198696000011856362,1,0
4198696000021802212,1,0
4198696000008096333,1,0
4198696000027125790,1,0
4198696000026698572,1,0
