SKU,b.Product_ID,s.Sales_24M_Qty,s.Sales_24M_Net,a.Avg_Demand_6M,o.Outstanding_Qty,lp.Last_Purchase_Date,lp.Last_Purchase_Price
3-18,4198696000000669651,,,1,,,1513.83
90-191,4198696000000140302,,,0.3333333333333333,,,3971
512-033,4198696000001045704,,,0.5,,,6065.76
83-2042,4198696000004421754,,,0.6666666666666666,,,6077.5
73-1000,4198696000007811705,,,8.5,,,1133
524-0149,4198696000009774524,,,0.16666666666666666,,,4400
517-1045,4198696000004993463,,,0.3333333333333333,,,18860
376-3015,4198696000007121492,,,0.3333333333333333,,,5956.5
534-0029,4198696000010698252,,,0.3333333333333333,,,3750
524-0173,4198696000016393090,,,0.6666666666666666,,,857.5
351-2020,4198696000015465201,,,0.5,,,11924
533-143,4198696000020824597,,,1,,,24950
800-4009,4198696000028558585,,,1.6666666666666667,,,5110
168-15,4198696000000142219,,,4.833333333333333,,,55
376-143,4198696000000678484,,,0.3333333333333333,,,1247.28
522-0168,4198696000001614743,,,0.6666666666666666,,,21777.63
106-1002,4198696000006603002,,,0.6666666666666666,,,9600
800-1123,4198696000006583613,,,0.16666666666666666,,,28500
533-076,4198696000011175187,,,0.16666666666666666,,,28500
800-3069,4198696000021426070,,,0.16666666666666666,,,18286.04
800-3354,4198696000023573743,,,0.16666666666666666,,,18150
800-4015,4198696000028559009,,,0.16666666666666666,,,110000
800-4294,4198696000030956094,,,0.16666666666666666,,,12654.87
164-12,4198696000000142075,,,1,,,753.5
245-470,4198696000000143497,,,0.6666666666666666,,,4097.5
524-0067,4198696000001406660,,,0.5,,,4900
520-0051,4198696000001610891,,,0.16666666666666666,,,18806.670000000002
509-0048,4198696000000861139,,,0.16666666666666666,,,5738.26
528-0062,4198696000001613087,,,0.16666666666666666,,,6500
73-1006,4198696000007811633,,,0.8333333333333334,,,1050.5
72-3096,4198696000006422194,,,0.6666666666666666,,,2050
800-3911,4198696000027943795,,,0.16666666666666666,,,30000
800-3702,4198696000026427366,,,0.3333333333333333,,,4950
800-3719,4198696000026460347,,,0.16666666666666666,,,9719.25
800-3196,4198696000022597549,,,0.16666666666666666,,,36750
800-4314,4198696000031164194,,,0.16666666666666666,,,15500
800-4305,4198696000031080801,,,0.16666666666666666,,,15600
517-1030,4198696000008545349,,,0.16666666666666666,,,26191
533-032,4198696000009136045,,,36,,,14500
238-2012,4198696000010772075,,,0.16666666666666666,,,18452.5
800-3183,4198696000022544766,,,0.3333333333333333,,,11976
800-3648,4198696000025902593,,,0.3333333333333333,,,7209.03
800-3411,4198696000024036140,,,0.16666666666666666,,,3623.63
800-3697,4198696000026351357,,,0.16666666666666666,,,4686
800-4250,4198696000030354227,,,0.16666666666666666,,,18500
77-1,4198696000001040941,,,6.166666666666667,,,22
245-140,4198696000000143380,,,0.16666666666666666,,,1072.5
502-052,4198696000000898998,,,0.16666666666666666,,,34394.17
73-1020,4198696000007811957,,,1.1666666666666667,,,1402.5
533-056,4198696000010596306,,,2.3333333333333335,,,11950
376-3052,4198696000012176907,,,0.16666666666666666,,,2645.71
510-1076,4198696000014168500,,,0.5,,,63864.42
72-3194,4198696000016994305,,,0.16666666666666666,,,6590
67-1001,4198696000015464904,,,1.5,,,20790
800-3535,4198696000024993706,,,0.16666666666666666,,,5300
800-3968,4198696000028282748,,,0.5,,,77367.27
509-3521,4198696000000865837,,,0.16666666666666666,,,13211.33
519-0011,4198696000001610054,,,1,,,10532.81
343-6,4198696000000588241,,,0.5,,,2493.8
136-1001,4198696000004420998,,,0.16666666666666666,,,13805
72-3052,4198696000003844010,,,0.16666666666666666,,,5432
800-3660,4198696000026045364,,,0.16666666666666666,,,9950
72-3107,4198696000020811181,,,0.6666666666666666,,,5734.95
800-3805,4198696000027117992,,,0.3333333333333333,,,3372.5
800-3946,4198696000028104141,,,0.16666666666666666,,,3407.5
800-4134,4198696000029374072,,,0.16666666666666666,,,15020.5
44-39,4198696000000138862,,,0.16666666666666666,,,170.5
522-0135,4198696000001614860,,,0.3333333333333333,,,12826.11
46-2013,4198696000004629408,,,0.16666666666666666,,,5065.5
72-501,4198696000007811669,,,0.3333333333333333,,,1089
351-2001,4198696000007812479,,,1.1666666666666667,,,8294
800-1476,4198696000008289001,,,0.16666666666666666,,,185000
114-1002,4198696000004417889,,,0.5,,,2227.5
510-1000,4198696000011326115,,,0.3333333333333333,,,48225.79
505-042,4198696000012057300,,,1.1666666666666667,,,1850
800-3398,4198696000023852076,,,0.3333333333333333,,,9800
800-3995,4198696000028506229,,,0.16666666666666666,,,27718
800-3823,4198696000027282953,,,0.16666666666666666,,,17519.2
800-4320,4198696000031177264,,,0.16666666666666666,,,21900
343-17,4198696000000588340,,,18.333333333333332,,,1499.3000000000002
520-0113,4198696000001610666,,,0.16666666666666666,,,17285.07
517-1016,4198696000003678257,,,0.5,,,26973
72-3296,4198696000017812065,,,0.16666666666666666,,,4820.4
800-2867,4198696000019802252,,,0.3333333333333333,,,6995
800-3290,4198696000023351740,,,0.3333333333333333,,,929.65
800-3551,4198696000025079444,,,0.16666666666666666,,,12900
800-4455,4198696000032412020,,,0.16666666666666666,,,6736.5
800-4220,4198696000030181023,,,0.16666666666666666,,,38000
800-4569,4198696000033573523,,,0.3333333333333333,,,2997.5
341-58,4198696000000144532,,,1,,,4620
524-0009,4198696000001406282,,,0.16666666666666666,,,2190
514-011,4198696000000836232,,,0.16666666666666666,,,2080
83-2006,4198696000004421160,,,0.6666666666666666,,,4042.5
72-3044,4198696000006703244,,,0.3333333333333333,,,4984
83-2020,4198696000004420105,,,0.16666666666666666,,,3058
800-4128,4198696000029326974,,,0.16666666666666666,,,17876.11
800-4159,4198696000029435301,,,0.16666666666666666,,,11538.45
800-4542,4198696000033522601,,,0.6666666666666666,,,540
800-393,4198696000003722527,,,0.6666666666666666,,,3551
90-1005,4198696000007812389,,,0.16666666666666666,,,5676
529-097,4198696000005922072,,,0.16666666666666666,,,25000
67-1018,4198696000015465012,,,0.16666666666666666,,,31707.5
343-25,4198696000020417484,,,0.8333333333333334,,,1385.695
800-3470,4198696000024424260,,,0.16666666666666666,,,3982.3
800-3835,4198696000027363135,,,0.16666666666666666,,,7003.84
