s.Product_ID,s.Month_Year,s.Total_Quantity,s.Net_Sales,itf.Available_Stock,itf.Cost_Fallback,lp.Last_Purchase_Price,Stock_On_Hand
4198696000001614293,2024-04,1,36725.66,3,"CRC 27,200.00",27200,3
4198696000010805595,2024-10,1,63504.42,93,"CRC 39,000.00",26389,93
4198696000001612610,2024-10,1,37256.64,2,"CRC 27,580.34",27580.34,2
4198696000001045704,2024-11,1,8230.09,3,"CRC 6,065.76",6065.76,3
4198696000003594538,2024-11,1,2654.87,27,"CRC 1,413.00",1500,27
4198696000000144667,2024-12,1,43362.83,1,"CRC 19,782.40",15455,1
4198696000011274744,2024-12,1,7168.14,2,"CRC 5,290.00",5290,2
4198696000001900324,2025-01,1,6371.68,7,"CRC 4,690.00",4690,7
4198696000010805400,2025-02,3,3185.84,51,"CRC 1,150.00",649,51
4198696000009503139,2025-02,1,20884.96,1,"CRC 15,458.60",15458.6,1
4198696000003142001,2024-05,1,40973.45,9,"CRC 31,950.00",31950,9
4198696000000862255,2024-06,1,11415.93,2,"CRC 8,397.72",8397.72,2
4198696000006545287,2024-07,2,6902.65,8,"CRC 2,520.80",2520.8,8
4198696000001040959,2024-08,2,530.97,197,CRC 105.60,82.5,197
4198696000000140581,2024-09,1,1592.92,79,CRC 570.24,445.5,79
4198696000003594538,2025-02,1,2116.81,27,"CRC 1,413.00",1500,27
4198696000000865837,2025-04,1,16446.02,2,"CRC 13,211.33",13211.33,2
4198696000022453460,2025-05,1,43274.34,3,"CRC 31,990.00",31990,3
4198696000019778549,2025-05,1,47256.64,1,"CRC 35,000.00",35000,1
4198696000022148001,2025-05,1,30973.45,0,"CRC 20,000.00",20000,0
4198696000011147510,2025-07,1,30619.47,5,"CRC 22,630.00",22630,5
4198696000026763774,2025-07,1,20973.45,0,"CRC 15,000.00",15000,0
4198696000003678266,2025-10,1,34276.11,0,"CRC 26,973.00",26973,0
4198696000000860860,2025-10,1,12945,2,"CRC 9,109.27",9109.27,2
4198696000023852076,2025-05,2,27079.65,0,"CRC 9,800.00",9800,0
4198696000000144649,2024-01,1,17079.65,7,"CRC 8,511.36",6649.5,7
4198696000003065056,2024-02,1,41504.42,0,"CRC 43,902.01",43902.01,0
4198696000001407245,2024-04,1,3716.81,2,"CRC 2,399.99",2700,2
4198696000004417763,2024-11,1,20088.5,115,"CRC 10,000.00",6435,115
4198696000014811139,2024-12,2,7164.6,0,"CRC 2,882.67",2882.67,0
4198696000016322488,2025-01,1,66814.16,1,"CRC 49,353.76",49353.76,1
4198696000017641019,2025-02,3,16991.15,0,"CRC 4,150.00",4150,0
4198696000004764060,2025-02,1,6061.95,99,"CRC 5,500.00",3272.5,99
4198696000000677638,2024-08,1,7650.44,2,"CRC 6,218.32",5963.71,2
4198696000003159088,2025-03,1,10442.48,2,"CRC 8,650.00",8650,2
4198696000022901746,2025-05,2,22123.89,0,"CRC 7,500.00",7500,0
4198696000000602419,2025-06,4,13097.35,332,"CRC 2,373.00",2562.15,332
4198696000006545516,2025-07,1,25808.85,4,"CRC 20,764.40",20764.4,4
4198696000000602410,2025-08,4,23447.79,120,"CRC 5,189.99",5189.99,120
4198696000001614869,2025-09,2,40353.98,2,"CRC 13,710.29",13710.29,2
4198696000000602419,2025-10,4,14654.88,332,"CRC 2,373.00",2562.15,332
4198696000006545314,2025-09,1,3093.81,5,"CRC 2,456.40",2456.4,5
4198696000026448109,2025-07,1,29026.55,0,"CRC 21,500.00",21500,0
4198696000000144109,2025-10,2,15469.03,18,"CRC 3,520.00",2750,18
4198696000001407740,2024-01,1,5309.73,1,"CRC 4,200.00",4200,1
4198696000000863470,2024-03,2,41061.95,8,"CRC 17,367.20",17367.2,8
4198696000000861445,2024-02,1,7610.62,4,"CRC 6,798.71",6798.710000000001,4
4198696000004105162,2024-03,1,54070.8,0,"CRC 40,000.00",40000,0
4198696000000860581,2024-04,1,68495.58,2,"CRC 58,000.00",58000,2
4198696000000142066,2024-09,1,2438.05,105,"CRC 1,400.00",836,105
4198696000000861355,2024-10,1,10000,7,"CRC 7,362.59",7362.589999999999,7
4198696000004629758,2024-12,1,12212.39,94,"CRC 6,000.00",3668.5,94
4198696000008581051,2024-08,2,29380.53,4,"CRC 10,848.57",10848.57,4
4198696000021110261,2025-04,1,59734.51,0,"CRC 43,950.00",43950,0
4198696000001674949,2025-04,1,10176.99,0,"CRC 7,529.15",7529.150000000001,0
4198696000009101043,2025-06,1,7964.6,1,"CRC 5,843.50",5843.5,1
4198696000005169207,2025-07,2,37327.43,6,"CRC 14,800.00",14500,6
4198696000027374953,2025-07,1,12212.39,0,"CRC 9,040.00",9040,0
4198696000012152513,2025-08,2,3716.81,4,"CRC 1,342.04",1342.04,4
4198696000000836985,2025-09,1,2212.39,38,"CRC 1,800.00",2300,38
4198696000022933561,2025-05,1,10353.98,0,"CRC 7,657.20",7657.2,0
4198696000005292825,2025-07,1,8711.5,3,"CRC 6,996.01",6996.01,3
4198696000015465147,2025-11,1,43362.83,21,"CRC 21,600.00",13805,21
4198696000031553145,2025-10,1,65784.07,0,"CRC 49,950.00",49950,0
4198696000000140581,2023-11,2,1254.51,79,CRC 570.24,445.5,79
4198696000000588340,2024-01,2,3716.81,68,"CRC 1,500.00",1499.3000000000002,68
4198696000000836985,2024-03,1,2212.39,38,"CRC 1,800.00",2300,38
4198696000000866544,2025-01,1,8584.07,6,"CRC 6,318.68",6318.68,6
4198696000000836985,2024-05,1,2212.39,38,"CRC 1,800.00",2300,38
4198696000008457161,2024-08,1,10442.48,0,"CRC 7,700.00",7700,0
4198696000000602356,2024-09,1,13185.84,11,"CRC 11,324.54",11324.539999999999,11
4198696000000136756,2025-03,1,21238.94,32,"CRC 10,600.00",7557,32
4198696000020642545,2025-04,1,23610.62,0,"CRC 22,338.05",22338.05,0
4198696000002572887,2025-05,1,27079.65,3,"CRC 20,000.00",20000,3
4198696000018627980,2025-07,1,31592.92,29,"CRC 20,800.00",13310,29
4198696000000602536,2025-08,1,4336.28,225,"CRC 3,680.18",3680.18,225
4198696000015464958,2025-09,1,56991.15,26,"CRC 33,400.00",21395,26
4198696000024047735,2025-10,1,14247.79,0,"CRC 9,228.45",44000,0
4198696000001197232,2023-11,1,13274.34,0,"CRC 9,800.00",9800,0
4198696000001735038,2023-12,1,33805.31,0,"CRC 25,000.00",25000,0
4198696000000138493,2023-12,1,5132.74,4,"CRC 2,534.40",1980,4
4198696000001613924,2024-01,1,24690.27,1,"CRC 23,489.10",23489.1,1
4198696000000143515,2024-01,1,9734.51,13,"CRC 6,000.00",3927,13
4198696000000670020,2024-02,1,1061.95,0,CRC 761.80,825.72,0
4198696000003159088,2024-04,1,10442.48,2,"CRC 8,650.00",8650,2
4198696000002572824,2024-10,1,24913.27,12,"CRC 20,000.00",20000,12
4198696000010805595,2024-10,1,69026.55,93,"CRC 39,000.00",26389,93
4198696000000863236,2024-10,2,38053.1,6,"CRC 14,084.59",14084.59,6
4198696000012946745,2024-11,1,6676.11,0,"CRC 3,325.00",3325,0
4198696000000602536,2024-12,1,4336.28,225,"CRC 3,680.18",3680.18,225
4198696000000861202,2024-12,1,10176.99,6,"CRC 7,507.29",7507.289999999999,6
4198696000007811372,2025-02,4,4955.75,459,CRC 590.00,390.5,459
4198696000007811597,2025-02,2,6513.27,188,"CRC 1,510.00",1006.5,188
4198696000004417943,2024-05,1,22389.38,314,"CRC 14,000.00",9185,314
4198696000006141399,2024-06,1,40530.97,0,"CRC 30,000.00",30000,0
