Product_ID,Available_Stock,Cost_Fallback
4198696000000136423,44,CRC 401.28
4198696000000136459,58,"CRC 1,633.28"
4198696000000136495,17,"CRC 7,000.00"
4198696000000136531,18,"CRC 14,000.00"
4198696000000136567,6,"CRC 7,962.24"
4198696000000136603,6,"CRC 7,962.24"
4198696000000136639,5,"CRC 7,068.16"
4198696000000136675,2,"CRC 17,198.72"
4198696000000136711,20,"CRC 8,638.08"
4198696000000136747,34,"CRC 10,600.00"
4198696000000136783,6,"CRC 7,399.04"
4198696000000136819,6,"CRC 9,278.72"
4198696000000136855,4,"CRC 15,312.00"
4198696000000136891,3,"CRC 9,320.96"
4198696000000136927,1,"CRC 8,546.56"
4198696000000136963,6,"CRC 10,299.52"
4198696000000136999,46,"CRC 10,800.00"
4198696000000137035,19,"CRC 5,200.00"
4198696000000137071,4,"CRC 6,167.04"
4198696000000137107,122,"CRC 14,000.00"
4198696000000137143,6,"CRC 5,526.40"
4198696000000137179,3,"CRC 8,764.80"
4198696000000137215,3,"CRC 8,060.80"
4198696000000137251,3,"CRC 17,438.08"
4198696000000137287,20,"CRC 8,426.88"
4198696000000137323,5,"CRC 6,990.72"
4198696000000137359,5,"CRC 7,603.20"
4198696000000137395,6,"CRC 21,549.44"
4198696000000137431,28,"CRC 1,386.88"
4198696000000137467,50,CRC 809.60
4198696000000137503,49,"CRC 2,865.28"
4198696000000137539,50,"CRC 2,984.96"
4198696000000137575,42,CRC 330.88
4198696000000137611,50,CRC 830.72
4198696000000137647,50,"CRC 1,196.80"
4198696000000137683,50,CRC 851.84
4198696000000137719,49,"CRC 7,687.68"
4198696000000137755,48,"CRC 4,146.56"
4198696000000137791,48,"CRC 2,330.24"
4198696000000137827,50,"CRC 6,462.72"
4198696000000137863,50,"CRC 3,111.68"
4198696000000137899,50,"CRC 8,518.40"
4198696000000137935,45,"CRC 2,759.68"
4198696000000137971,45,"CRC 2,731.52"
4198696000000138007,50,"CRC 2,386.56"
4198696000000138043,50,"CRC 2,999.04"
4198696000000138079,47,"CRC 6,913.28"
4198696000000138115,50,"CRC 4,604.16"
4198696000000138151,48,"CRC 12,073.60"
4198696000000138187,50,"CRC 3,344.00"
4198696000000138223,47,"CRC 4,090.24"
4198696000000138259,50,"CRC 4,723.84"
4198696000000138295,26,"CRC 68,000.00"
4198696000000138331,20,"CRC 2,949.76"
4198696000000138367,5,"CRC 4,216.96"
4198696000000138403,5,"CRC 7,694.72"
4198696000000138439,4,"CRC 5,716.48"
4198696000000138475,46,"CRC 5,000.00"
4198696000000138511,4,"CRC 2,703.36"
4198696000000138547,0,"CRC 2,534.40"
4198696000000138583,137,"CRC 3,700.00"
4198696000000138619,51,"CRC 2,879.36"
4198696000000138655,5,CRC 746.24
4198696000000138691,43,"CRC 1,689.60"
4198696000000138727,49,"CRC 1,344.64"
4198696000000138763,15,CRC 21.12
4198696000000138799,100,CRC 112.64
4198696000000138835,100,CRC 168.96
4198696000000138871,96,CRC 112.64
4198696000000138907,100,CRC 570.24
4198696000000138943,29,"CRC 2,710.40"
4198696000000138979,21,"CRC 2,696.32"
4198696000000139015,30,"CRC 2,830.08"
4198696000000139051,20,"CRC 7,462.40"
4198696000000139087,30,"CRC 4,181.76"
