"key","item_id","sku","item_name","month_year","month_date","total_quantity","net_sales","currency","last_updated"
"4198696000033413716-2025-10","4198696000033413716","800-4539","SOPORTE COMPENSADOR TRASERO LH-RH TIPO: KIT / MOD: NISSAN-SENTRA-B14 /95-99 4X2","2025-10","2025-10-01","2.00","36460.00","USD","2025-11-06 01:01"
"4198696000033407742-2025-10","4198696000033407742","800-4538","ROL EMPUJE HYUNDAI. H-1 01-13/TER 2.9 (T/CANGREJO)(41412-49650)","2025-10","2025-10-01","1.00","13189.00","USD","2025-11-06 01:01"
"4198696000033386815-2025-10","4198696000033386815","800-4534","BOMBA PRINCIPAL CLUTCH TOYOTA RAV4 96-05 S/RECIP 5/8","2025-10","2025-10-01","1.00","14071.00","USD","2025-11-06 01:01"
"4198696000033386690-2025-10","4198696000033386690","800-4533","PASTILLA FRENO CHEVROLET AVEO 10- EPICA DW NUB/LANO/LEGAN","2025-10","2025-10-01","1.00","20531.00","USD","2025-11-06 01:01"
"4198696000033386570-2025-10","4198696000033386570","800-4532","RETENEDOR CIGUENAL DELANTERO /ARBOL LEVAS SPO 2.0 98-03/PIC 1.2/HYUNDAI ACCENT BLUE (34x48x7)(NJ324)","2025-10","2025-10-01","1.00","3783.00","USD","2025-11-06 01:01"
"4198696000033386105-2025-10","4198696000033386105","800-4531","ESPIRAL NISSAN SENTRA B15 00-06 ALMERA DELANTERA","2025-10","2025-10-01","2.00","38590.00","USD","2025-11-06 01:01"
"4198696000033376194-2025-10","4198696000033376194","800-4530","SE-A111R ROTULA DIRECCION RH / TOYOTA-COROLLA- CROSS 4X2 19-25","2025-10","2025-10-01","1.00","8407.00","USD","2025-11-06 01:01"
"4198696000033376181-2025-10","4198696000033376181","800-4529","SE-A111L ROTULA DIRECCION LH / TOYOTA-COROLLA- CROSS 4X2 19-25","2025-10","2025-10-01","1.00","8407.00","USD","2025-11-06 01:01"
"4198696000033370605-2025-10","4198696000033370605","800-4528","ROTULA ESTABILIZADORA DELANTERA DERECHA HYUNDAI ACCENT VERNA. 06/11, KIA RIO.05/11=1G500, 54830-1E000, SLK-8080R, CLKK-28R,TIPO Z. 312X10","2025-10","2025-10-01","1.00","5048.00","USD","2025-11-06 01:01"
"4198696000033370592-2025-10","4198696000033370592","800-4527","ROTULA ESTABILIZADORA DELANTERA IZQUIERDA LH HYUNDAI ACCENT VERNA. 06/11, KIA RIO. 05/11=1G500, 1E000, CLKK-28L, SLK-8080L, 312X10","2025-10","2025-10-01","1.00","5292.00","USD","2025-11-06 01:01"
"4198696000033370579-2025-10","4198696000033370579","800-4526","TIJERETA RH DERECHA HUNIDAI ACCENT VERNA. 05/11, SIN ROTULA, KIA RIO. 05/12, RK640404","2025-10","2025-10-01","1.00","23937.00","USD","2025-11-06 01:01"
"4198696000033358994-2025-10","4198696000033358994","800-4525","PUNTA EJE GEELY PANDA 1,3 08-","2025-10","2025-10-01","1.00","20000.00","USD","2025-11-06 01:01"
"4198696000033358300-2025-10","4198696000033358300","800-4523","KIT CLUTCH TOYOTA HILUX 2.8CC 3L","2025-10","2025-10-01","1.00","80885.00","USD","2025-11-06 01:01"
"4198696000033358144-2025-10","4198696000033358144","800-4522","SENSOR FLUJO DE AIRE MAF MAZDA 323 , MAZDA 3 , MAZDA 6, MAZDA PROTEGE 99 + 1.6CC","2025-10","2025-10-01","1.00","39027.00","USD","2025-11-06 01:01"
"4198696000033356974-2025-10","4198696000033356974","800-4537","TAPA VALVULAS HYUNDAI ACCENT KOREANA 1.6 DOHC","2025-10","2025-10-01","1.00","42920.00","USD","2025-11-06 01:01"
"4198696000033356800-2025-10","4198696000033356800","800-4536","VALVULA DE VVT TOYOTA","2025-10","2025-10-01","1.00","38319.00","USD","2025-11-06 01:01"
"4198696000033356413-2025-10","4198696000033356413","800-4535","AMORTIGUADOR HYUNDAI ACCENT 06-10 Kia Rio 05-10 (348007) Trasero R/L (Getz Traseros) 05621-343398 G. Kia Picanto 11-15 Kia. Morning 11-16","2025-10","2025-10-01","2.00","44452.00","USD","2025-11-06 01:01"
"4198696000033269508-2025-10","4198696000033269508","800-4515","DISCO F. KIA PICANTO 04--/ MORNING 11-17 / HY i10","2025-10","2025-10-01","2.00","44602.00","USD","2025-11-06 01:01"
"4198696000033269316-2025-10","4198696000033269316","800-4514","VVT121 TUCSON 2011+ ESCAPE","2025-10","2025-10-01","1.00","37430.00","USD","2025-11-06 01:01"
"4198696000033252870-2025-10","4198696000033252870","800-4513","COMPENSADOR SZ BALENO CULTUS ESTEEM 95-02 TRAS RH","2025-10","2025-10-01","1.00","39243.00","USD","2025-11-06 01:01"
"4198696000033252859-2025-10","4198696000033252859","800-4512","COMPENSADOR SZ BALENO CULTUS ESTEEM 95-02 TRAS LH","2025-10","2025-10-01","1.00","39243.00","USD","2025-11-06 01:01"
"4198696000033252598-2025-10","4198696000033252598","800-4510","SOPORTE MOTOR FONTAL MITSUBISHI GRANDIS","2025-10","2025-10-01","1.00","16460.00","USD","2025-11-06 01:01"
"4198696000033252587-2025-10","4198696000033252587","800-4509","SOPORTE MOTOR TRASERO MITSUBISHI GRANDIS","2025-10","2025-10-01","1.00","20354.00","USD","2025-11-06 01:01"
